name,index,pct,trimethoprim_percent,code,is_london
NHS HAVERING CCG,132,08F,69.05223880597015,08F,True
NHS HILLINGDON CCG,133,08G,27.457658321060386,08G,True
NHS ISLINGTON CCG,134,08H,56.678567031884775,08H,True
NHS KINGSTON CCG,135,08J,66.80156823068167,08J,True
NHS LAMBETH CCG,136,08K,67.78968398111151,08K,True
NHS LEWISHAM CCG,137,08L,35.22403522403522,08L,True
NHS NEWHAM CCG,138,08M,67.71825396825398,08M,True
NHS REDBRIDGE CCG,139,08N,70.03657507268125,08N,True
NHS RICHMOND CCG,140,08P,62.259850211657444,08P,True
NHS SOUTHWARK CCG,141,08Q,68.63947182268333,08Q,True
NHS MERTON CCG,142,08R,66.10812933630056,08R,True
NHS SUTTON CCG,143,08T,65.97824892892453,08T,True
NHS TOWER HAMLETS CCG,144,08V,63.86973586506842,08V,True
NHS WALTHAM FOREST CCG,145,08W,67.89312308366185,08W,True
NHS WANDSWORTH CCG,146,08X,64.79928344597346,08X,True
NHS WEST LONDON CCG,147,08Y,53.58041032428855,08Y,True
NHS CENTRAL LONDON (WESTMINSTER) CCG,148,09A,48.8123872519543,09A,True
NHS ASHFORD CCG,149,09C,59.578544061302686,09C,False
NHS BRIGHTON AND HOVE CCG,150,09D,61.029861914155504,09D,False
NHS CANTERBURY AND COASTAL CCG,151,09E,70.13824224625743,09E,False
"NHS EASTBOURNE, HAILSHAM AND SEAFORD CCG",152,09F,66.4590599568178,09F,False
NHS COASTAL WEST SUSSEX CCG,153,09G,65.25444363282202,09G,False
NHS CRAWLEY CCG,154,09H,62.530413625304135,09H,False
"NHS DARTFORD, GRAVESHAM AND SWANLEY CCG",155,09J,60.08205982041981,09J,False
NHS EAST SURREY CCG,156,09L,62.86122012129861,09L,False
NHS GUILDFORD AND WAVERLEY CCG,157,09N,61.287137599856386,09N,False
NHS HASTINGS AND ROTHER CCG,158,09P,58.76085887559417,09P,False
NHS MEDWAY CCG,159,09W,60.23779065392429,09W,False
NHS HORSHAM AND MID SUSSEX CCG,160,09X,57.26349833797503,09X,False
NHS NORTH WEST SURREY CCG,161,09Y,52.510009239297815,09Y,False
NHS SOUTH KENT COAST CCG,162,10A,59.63310299440605,10A,False
NHS SURREY HEATH CCG,163,10C,61.194942903752036,10C,False
NHS SWALE CCG,164,10D,69.62398197885982,10D,False
NHS THANET CCG,165,10E,69.31245022564376,10E,False
NHS BRACKNELL AND ASCOT CCG,166,10G,65.44117647058823,10G,False
NHS CHILTERN CCG,167,10H,58.995244359000296,10H,False
NHS NORTH HAMPSHIRE CCG,168,10J,55.76703153079562,10J,False
NHS FAREHAM AND GOSPORT CCG,169,10K,66.4073609368465,10K,False
NHS ISLE OF WIGHT CCG,170,10L,71.48542666510593,10L,False
NHS NEWBURY AND DISTRICT CCG,171,10M,53.41815097540288,10M,False
NHS NORTH AND WEST READING CCG,172,10N,49.19806042521447,10N,False
NHS OXFORDSHIRE CCG,173,10Q,52.25995225995226,10Q,False
NHS PORTSMOUTH CCG,174,10R,72.75084262380088,10R,False
NHS SLOUGH CCG,175,10T,64.31233362910382,10T,False
NHS SOUTH EASTERN HAMPSHIRE CCG,176,10V,64.44851769206248,10V,False
NHS SOUTH READING CCG,177,10W,58.57461024498887,10W,False
NHS SOUTHAMPTON CCG,178,10X,64.56090399501736,10X,False
NHS AYLESBURY VALE CCG,179,10Y,57.776778352447344,10Y,False
NHS WEST HAMPSHIRE CCG,180,11A,65.05259852410111,11A,False
"NHS WINDSOR, ASCOT AND MAIDENHEAD CCG",181,11C,68.67040244523687,11C,False
NHS WOKINGHAM CCG,182,11D,49.96722171233775,11D,False
NHS BATH AND NORTH EAST SOMERSET CCG,183,11E,55.14125213710006,11E,False
NHS BRISTOL CCG,184,11H,62.44026760114686,11H,False
NHS DORSET CCG,185,11J,68.36271086618149,11J,False
NHS GLOUCESTERSHIRE CCG,186,11M,65.59722222222221,11M,False
NHS KERNOW CCG,187,11N,70.34325325018791,11N,False
NHS NORTH SOMERSET CCG,188,11T,62.56558590071304,11T,False
NHS SOMERSET CCG,189,11X,62.90534150880083,11X,False
NHS SOUTH GLOUCESTERSHIRE CCG,190,12A,67.95218443147859,12A,False
NHS SWINDON CCG,191,12D,55.196674128557724,12D,False
NHS WIRRAL CCG,192,12F,75.50242731116563,12F,False
NHS BIRMINGHAM CROSSCITY CCG,193,13P,58.86358597535869,13P,False
NHS NEWCASTLE GATESHEAD CCG,194,13T,66.62558106775603,13T,False
NHS MANCHESTER CCG,195,14L,64.17625163475404,14L,False
NHS LIVERPOOL CCG,196,99A,70.77993409007689,99A,False
NHS NORTH TYNESIDE CCG,197,99C,64.32619212163097,99C,False
NHS SOUTH LINCOLNSHIRE CCG,198,99D,56.63453111305871,99D,False
NHS BASILDON AND BRENTWOOD CCG,199,99E,71.94897131479979,99E,False
NHS CASTLE POINT AND ROCHFORD CCG,200,99F,72.69613259668508,99F,False
NHS SOUTHEND CCG,201,99G,74.7630710254499,99G,False
NHS SURREY DOWNS CCG,202,99H,62.26593531303196,99H,False
NHS WEST KENT CCG,203,99J,62.43204577968526,99J,False
NHS HIGH WEALD LEWES HAVENS CCG,204,99K,59.72777460498763,99K,False
NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,205,99M,55.80236486486486,99M,False
NHS WILTSHIRE CCG,206,99N,55.10834956258308,99N,False
"NHS NORTHERN, EASTERN AND WESTERN DEVON CCG",207,99P,71.76397674037077,99P,False
NHS SOUTH DEVON AND TORBAY CCG,208,99Q,66.50057273768614,99Q,False
