nm,pres_stat,bnf_code
Generic Thicken Aid powder,4,
Generic PKU gel powder 24g sachets,4,
Generic Phlexy-10 drink mix 20g sachets,4,
Docosahexaenoic acid 300mg / Eicosapentaenoic acid 60mg capsules,2,
Generic PKU Anamix Junior powder 36g sachets,4,
Generic PKU express 15 powder 25g sachets,4,
Generic Nutilis Clear powder,4,
Generic Nutilis powder,4,
Hydrocortisone 1% / Hydroquinone 4% in Aqueous cream,1,
Generic Resource ThickenUp powder,4,
Generic Resource ThickenUp Clear powder,4,
Generic Phlexy-Vits powder 7g sachets,4,090401000BBJJA0
Silver coated barrier dressing sterile spray,4,
Pulsed electromagnetic stimulator,4,
Polysaccharide wound dressing gel,4,
Neocate Advance powder sachets,4,
Generic Pro-Cal powder,4,
Generic Maxijul Super Soluble powder,4,
Generic Optifibre powder,4,
Generic Calshake powder sachets,4,
Limb protectors adult half arm,2,
Limb protectors adult half arm large,2,
Limb protectors adult half arm slim,2,
Sterile water inhalation solution 340ml bottles,2,
Sterile water inhalation solution 440ml bottles,2,
Sterile water inhalation solution 760ml bottles,2,
Sterile water inhalation solution 1.07litre bottles,2,
Sodium nitrite 300mg/10ml solution for injection vials and Sodium thiosulfate 12.5g/50ml solution for injection vials,1,
Generic Foodlink Complete powder,4,
Barium sulfate 250mg/5ml oral suspension sugar free,1,
Generic Spongostan Film sponge 20cm x 7cm x 0.05cm,4,
Iodine 1% aqueous solution,1,
Generic Ultraveen Itch Relief cream,4,
Generic Fresubin 3.2kcal drink,4,090402000BBYSA0
Generic Glytactin BetterMilk 15 oral powder 52g sachets,4,
Generic Glytactin Restore 5 oral powder 20g sachets,4,
Generic Glytactin Complete 15 81g bars,4,
Generic Gelita-Cel Fibrillar gauze dressing 100mm x 100mm,4,
Generic Gelita-Cel Fibrillar gauze dressing 25mm x 50mm,4,
Generic Gelita-Cel Fibrillar gauze dressing 50mm x 100mm,4,
Generic Gelita-Cel Fibrillar gauze dressing 50mm x 75mm,4,
Generic Gelita-Cel X-Sorb gauze dressing 25mm x 25mm,4,
Generic Gelita-Cel X-Sorb gauze dressing 50mm x 75mm,4,
Generic Gelita-Cel X-Sorb gauze dressing 25mm x 90mm,4,
Generic Gelita-Cel X-Sorb gauze dressing 70mm x 100mm,4,
Generic Gelita-Cel X-Sorb gauze dressing 140mm x 200mm,4,
Generic Gelita-Cel Standard gauze dressing 50mm x 12.5mm,4,
Generic Gelita-Cel Standard gauze dressing 50mm x 70mm,4,
Generic Gelita-Cel Standard gauze dressing 70mm x 100mm,4,
Generic Gelita-Cel Standard gauze dressing 50mm x 350mm,4,
Generic Gelita-Cel Standard gauze dressing 100mm x 200mm,4,
Generic Gelita-Spon Standard sponge 60mm x 20mm x 7mm,4,
Generic Brilliant Peel ILM dye ophthalmic solution 0.5ml vials,4,
Generic Brilliant Peel ILM dye ophthalmic solution 0.5ml pre-filled syringes,4,
Transparent absorbent acrylic dressing with adhesive border 8cm x 15cm,4,20032400009
Generic Canthacur-PS collodion,4,
Carbenoxolone 2% gel,1,
Gabapentin 10% gel,1,
Pilocarpine 0.2% solution for iontophoresis,1,
Salicylic acid 75% in White soft paraffin,1,
Calcium folinate 0.3% mouthwash,1,
Desferrioxamine 10% eye drops preservative free,1,
Cantharidin 0.7% collodion,1,
Generic Cantharone Plus collodion,4,
Polyurethane foam film dressing sterile without adhesive border 10cm x 13cm heel,4,
Generic Epimax ointment,4,
Coal tar 20% / Zinc oxide 15% in Yellow soft paraffin,1,
Polyurethane foam film dressing sterile without adhesive border 40cm x 70cm rectangular,2,
Tracheostomy foam dressing 9cm x 9cm,2,
Generic Spongostan Special sponge 7cm x 5cm x 0.1cm,4,
Generic Spongostan Standard sponge 7cm x 5cm x 1cm,4,
Generic Spongostan anal sponge 8cm x 3cm,4,
Sodium carboxymethylcellulose dressing 9cm x 10cm rectangular,2,
Sodium carboxymethylcellulose dressing 9cm x 25cm rectangular,2,
Sodium carboxymethylcellulose dressing 9cm x 15cm rectangular,2,
Sodium carboxymethylcellulose dressing 9cm x 35cm rectangular,2,
Sodium carboxymethylcellulose with silver dressing 13cm x 10cm rectangular,2,
Sodium carboxymethylcellulose with silver dressing 17cm x 15cm rectangular,2,
Sodium carboxymethylcellulose with silver dressing 23cm x 30cm rectangular,2,
Generic Custodiol -CE solution 1litre bags,4,
Mycophenolate mofetil 0.1% in White soft paraffin,1,
Glycine 1.5% / Ethanol 1% irrigation solution 3litre bottles,2,
Generic Dermatonics Once Callus Removing Balm,4,
Generic AproDerm ointment,4,
Boric acid 2% ear drops,1,
Ambroxol 30mg/5ml oral solution,1,
Silver coated barrier dressing sterile 40cm x 40cm square,4,
Silver coated barrier dressing sterile 10cm x 120cm rectangular,4,
Plaster of Paris bandage BP 1988 10cm x 20m,1,
Plaster of Paris bandage BP 1988 15cm x 20m,1,
Plaster of Paris bandage BP 1988 20cm x 20m,1,
Plaster of Paris bandage BP 1988 20cm x 2.7m,1,
Cholesterol testing strips,2,
Generic Clinisan emollient skin cleansing foam,4,
Generic 1 Primary Wound Dressing spray,4,
Soft silicone fixation tape 10cm,4,
Cenegermin 20micrograms/ml eye drops preservative free,1,
Generic Preload oral powder 50g sachets,4,
Betamethasone valerate 0.1% ointment 25% / Coal tar solution 5% / Salicylic acid 3% in Emulsifying ointment,1,
Chlorhexidine gluconate 0.2% eye drops preservative free,1,
Generic Adex gel,4,
Generic KetoClassic 3:1 Breakfast 47g sachets,4,
Sodium chloride 0.9% inhalation solution 2.5ml vials,1,
Generic Leech Nosda kit,4,
Generic HirudoSalt powder,4,
Generic Udderly Smooth Extra Care cream with 10% urea,4,
Generic Dermatonics Dry Skin Balm,4,
Glycerol phenylbutyrate 1.1g/ml oral liquid,1,
Paraffin gauze dressing BP sterile normal loading 175-220g per square metre 10cm x 7m,2,
Generic Healon GV 1.4% ophthalmic viscosurgical device 0.55ml pre-filled syringes,4,
Generic Healon GV 1.4% ophthalmic viscosurgical device 0.85ml pre-filled syringes,4,
Generic Healon5 2.3% ophthalmic viscosurgical device 0.6ml pre-filled syringes,4,
Benzocaine 17.9% oromucosal gel,1,
Generic PrismOcal B22 solution for haemofiltration 5litre bags,4,
Generic Prismocitrate 18/0 solution for haemofiltration 5litre bags,4,
Generic NeilMed Sinus Rinse starter kit,4,
Generic NeilMed Sinus Rinse sachets,4,
Generic NeilMed Sinus Rinse kit,4,
Generic Zeroveen cream,4,
Generic Lube in a Tube lubricating jelly,4,21140000027
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 18cm x 18cm heel,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 15cm x 19cm sacral,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 25cm x 25cm sacral,4,
Generic Adept Adhesion Reduction irrigation solution 1.5litre bags,4,
Medicinal leeches,4,
Generic SMA PRO High Energy liquid,4,090900000BBLGA0
Generic Neocate Junior powder,4,
Tracheostomy dressing sterile 6cm x 7cm,4,
Carmoisine 1% cutaneous solution,1,
Mitomycin 0.02% eye drops,1,
Mitomycin 0.04% eye drops,1,
Generic Ostenil Mini 10mg/1ml injection pre-filled syringes,4,
Generic Synolis 40mg/2ml injection pre-filled syringes,4,
Tracheostomy dressing sterile 9cm x 9.8cm,4,
Generic Hydro-Caine Gel,4,
Generic Aquagel lubricating jelly,4,
Generic OptiLube Active CHG Free sterile lubricating jelly,4,
Generic OptiLube Active sterile lubricating jelly,4,
Generic OptiLube sterile lubricating jelly,4,
Generic Sutherland lubricating jelly,4,
Generic Cathejell Lidocaine C,4,
Generic Cathejell Lidocain,4,
Generic Cathejell Mono,4,
Generic K-Y Jelly non-sterile,4,
Methylcellulose 5mg/ml enema,1,
Generic TauroLock catheter lock solution 3ml ampoules,4,
Generic TauroLock catheter lock solution 5ml ampoules,4,
Generic TauroLock catheter lock solution 10ml vials,4,
Generic TauroLock-Hep100 catheter lock solution 3ml ampoules,4,
Generic TauroLock-Hep500 catheter lock solution 5ml ampoules,4,
Generic TauroLock-U25.000 powder for solution vials,4,
Generic TauroLock-U25.000 catheter lock solution 5ml ampoules,4,
Generic TauroLock-U25.000 catheter lock solution 5ml ampoules and powder for solution vials,4,
Lymphoedema garments armsleeve with silicone top/band/border and mitten,4,
Lymphoedema garments armsleeve with shoulder strap and mitten,4,
Generic Viscoseal 5mg/ml injection pre-filled syringes,4,
Generic Amvisc 1.2% solution for intracameral injection 0.8ml pre-filled syringes,4,
Sodium hyaluronate 0.3% eye drops,9,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 10cm x 10.5cm,4,
Generic Venclexta tablets starting pack,4,
Hydrocolloid dressing semi-permeable sterile without adhesive border 20cm x 30cm rectangular,2,
Generic Ugo 4weeks kit,4,
Iodine aqueous topical solution,1,
Sodium hypochlorite 0.05% solution,1,
Interferon alfa-2b 1million units/ml eye drops preservative free,1,
Disodium edetate 0.37% ophthalmic solution preservative free,1,
Disodium edetate 0.38% eye drops,1,
Lymphoedema garments adjustable armsleeve with gauntlet,4,21270002199
Compound zinc paste 77% / Compound benzoin tincture 3% ointment,1,
"Adrenaline (base) 25micrograms/ml (1 in 40,000) topical solution",1,
Ethanol 18% eye drops preservative free,1,
Amikacin 2.5% eye drops preservative free,1,
Phosphate 0.5mmol/ml / Sodium 0.9mmol/ml oral solution sugar free,1,
Generic Surgiflo Hemostatic Matrix kit,4,
Generic Steritalc F4 vials,4,
Generic Steritalc 3g spray,4,
Generic Steritalc PF3 Poudrage kit,4,
Generic Nutricomp Drink Plus,4,
Generic Cacicol eye drops 0.33ml unit dose preservative free,4,
Cocaine 10% eye drops preservative free,1,
Generic AproDerm gel,4,
"Generic Floseal Hemostatic Matrix 2,500units/5ml kit",4,
"Generic Floseal Hemostatic Matrix 5,000units/10ml kit",4,
Generic Pliazon cream,4,
Mannitol 2.5% / Carob bean gum 0.2% oral solution,1,
Salicylic acid 2% / Chlorhexidine 0.36% in Industrial methylated spirit 50% lotion,1,
Bevacizumab 1% eye drops,1,
Potassium iodide 4% / Iodine 2% topical solution,1,
Lactobacillus oral drops sugar free,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 5cm x 5cm,4,
Generic Swalloweze Clear Instant Food & Fluid Thickener powder sugar free,4,
Generic Altrashot 120ml bottles,4,
Phenazone 54mg/ml / Benzocaine 14mg/ml ear drops,1,
Salicylic acid 0.5% in Emulsifying ointment,1,
Lymphoedema garments made to measure below knee footless,4,
Lymphoedema garments made to measure thigh length footless,4,
Foscarnet sodium 2% cream,1,
Hexamidine isethionate 0.1% eye drops,1,
Diphencyprone 0.00001% in acetone liquid,1,
Diphencyprone 0.0001% in acetone liquid,1,
Diphencyprone 0.0005% in acetone liquid,1,
Diphencyprone 0.002% in acetone liquid,1,
Diphencyprone 0.008% in acetone liquid,1,
Diphencyprone 0.02% in acetone liquid,1,
Diphencyprone 0.04% in acetone liquid,1,
Diphencyprone 0.2% in acetone liquid,1,
Diphencyprone 0.25% in acetone liquid,1,
Diphencyprone 0.3% in acetone liquid,1,
Diphencyprone 0.4% in acetone liquid,1,
Diphencyprone 0.375% in acetone liquid,1,
Diphencyprone 0.75% in acetone liquid,1,
Diphencyprone 1.25% in acetone liquid,1,
Diphencyprone 1.5% in acetone liquid,1,
Diphencyprone 3.5% in acetone liquid,1,
Diphencyprone 4% in acetone liquid,1,
Diphencyprone 5% in acetone liquid,1,
Diphencyprone 8% in acetone liquid,1,
Diphencyprone 10% in acetone liquid,1,
Generic Fortisip 2kcal liquid,4,090402000BBXRA0
Generic Medline Remedy Moisturising Barrier cream,4,
Generic Medline Remedy Moisturising Barrier cream 2g sachets,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 22cm x 23cm,4,
Lymphoedema garments adjustable toe wrap/piece,4,
Generic Aymes oral powder 38g sachets,4,
Generic ExoCream,4,
Generic SLO Milkshake+1 oral powder 50g sachets,4,
Generic SLO Milkshake+2 oral powder 50g sachets,4,
Lancets sterile single use 1.5mm/28gauge,4,21010900869
Generic Jobst Compri2 non-woven padding layer 1 10cm x 3.5m,4,
Generic Jobst Compri2 cohesive compression bandage layer 2 10cm x 5.5m,4,
Generic Jobst Compri2 non-woven padding layer 1 10cm x 5.2m,4,
Generic Jobst Compri2 cohesive compression bandage layer 2 10cm x 7.5m,4,
Generic Jobst Compri2 lite non-woven padding layer 1 10cm x 3.5m,4,
Generic Jobst Compri2 lite cohesive compression bandage layer 2 10cm x 5.5m,4,
Generic Jobst Compri2 lite non-woven padding layer 1 10cm x 5.2m,4,
Generic Jobst Compri2 lite cohesive compression bandage layer 2 10cm x 7.5m,4,
Aluminium chloride 35% / Isopropyl alcohol 32.5% solution,1,
Phenol 2% in Compound zinc paste,1,
Salicylic acid 5% / Propylene glycol 47.5% in Clobetasol 0.05% cream,1,
Coal tar solution 3.3% / Propylene glycol 20% in Fluocinolone acetonide 0.025% gel,1,
Generic Oxepa liquid,4,
Polihexanide 0.02% catheter maintenance solution,1,21130000125
Tolvaptan 90mg tablets,2,
Sub-compression wadding bandage 5cm x 2.7m,2,
Sub-compression wadding bandage 7.5cm x 2.7m,2,
Sub-compression wadding bandage 10cm x 2.7m,2,
Sub-compression wadding bandage 15cm x 2.7m,2,
Sub-compression wadding bandage 20cm x 2.7m,2,
Dimeticone 4% gel,9,
Lymphoedema garments made to measure armsleeve with bra strap,4,
Coal tar solution 6% / Salicylic acid 3% in Emulsifying ointment,1,
Clobetasol 0.05% ointment 50% in Carmellose gelatin paste,1,
Soft silicone wound contact dressing sterile 10cm x 20cm,4,
Barium sulfate 94% powder for rectal suspension,1,
Barium sulfate 4.9% oral suspension sugar free,1,
Barium sulfate 98% powder for oral suspension sugar free,1,
Generic Nutricrem Starter Pack dessert,4,
Sucrose 24% oral drops,2,
Pyrogallol 24% / Wheatgerm oil 23% ointment,1,
Generic Savlon Dual Action gel,4,
Urea 40% ointment,1,
Salicylic acid 5% in Hydrous ointment,1,1305020S0AACZCZ
Podophyllum 25% in Industrial methylated spirit,1,
Generic Meritene Energis Soup oral powder 50g sachets,4,
Generic Meritene Energis oral powder 30g sachets,4,
Generic Elave Intensive cream,4,
Generic Microair Barrier socks,4,
Lymphoedema garments made to measure handpiece,4,
Generic MooGoo Irritable skin balm,4,
Phenol 80% cutaneous solution,1,
Sodium hyaluronate 0.03% eye drops preservative free,9,21300000113
Lidocaine 2% / Adrenaline (base) 0.05% nasal spray,1,
Lancets sterile single use 1.8mm/30gauge,4,
Lancets sterile single use 2.2mm/23gauge,4,
Trimebutine 5.8% / Ruscogenins 0.5% ointment,1,
Vapour-permeable adhesive film dressing 4cm x 5cm,4,
Sodium hyaluronate 0.4% eye drops preservative free,9,
Vapour-permeable adhesive film dressing 5cm x 5.7cm,4,
Prednicarbate 0.25% cream,1,
Potassium hydroxide 10% topical solution,1,
Potassium hydroxide 30% topical solution,1,
Generic Fresubin 2kcal Creme dessert,4,
Sulfur 2% in Aqueous cream,1,1306010T0AAATAT
Generic Pro-Cal powder starter pack,4,
Generic oraNurse unflavoured toothpaste,4,
Yellow soft paraffin 72.75% / Wool fat 19.98% / Salicylic acid 3% ointment,1,
Emulsifying wax 3% cutaneous emulsion,1,
Activated charcoal non-absorbent dressing 20cm x 20cm,2,
Activated charcoal non-absorbent dressing 4cm x 6.4cm,2,
Activated charcoal non-absorbent dressing 4cm x 6.5cm,2,
Activated charcoal non-absorbent dressing 10cm x 15cm,2,
Activated charcoal non-absorbent dressing 10cm x 25cm,2,
Generic Xerostom dry mouth spray sugar free,4,
Generic Dermalex Repair Scalp Psoriasis gel,4,
Ketamine 5% nasal spray,1,
Lymphoedema garments made to measure below knee closed toe with silicone top/band/border,4,
Lymphoedema garments made to measure below knee open toe with silicone top/band/border,4,
Lymphoedema garments made to measure thigh length closed toe with silicone top/band/border,4,
Lymphoedema garments made to measure thigh length open toe with silicone top/band/border,4,
Desmopressin 360micrograms/ml oral solution,1,0605020E0AABTBT
Generic Epimax cream,4,
White soft paraffin 35% / Liquid paraffin light 45% ointment,9,
Hydrocolloid dressing thin semi-permeable sterile without adhesive border 5cm x 5cm square,4,
Hernia support garments,4,
Generic ProSource Plus liquid 30ml sachets gluten free,4,
Hypromellose 2% in balanced salt solution for intraocular irrigation 5ml vials,2,
Generic PKU Air liquid,4,
Phenol 90% cutaneous solution,1,
Phenol 95% cutaneous solution,1,
Magnesium sulfate 1.23% cutaneous solution,1,
Lidocaine 0.2% mouthwash,1,
Hydrocortisone 1% / Tretinoin 0.1% / Hydroquinone 5% cutaneous solution,1,
Coal tar solution strong 1% in Emulsifying ointment,1,1305020C0AAFQFQ
Keratin dressing,2,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 17cm x 17.5cm,4,
Generic Alveogyl paste,4,
Formocresol 20% dental liquid,1,
Hydrogen peroxide 1.5% solution,1,
Brinzolamide 10mg/ml / Brimonidine 2mg/ml eye drops,1,1106000ALAAAAAA
Generic imuDERM emollient,4,21220000119
Olive oil 20% / Compound benzoin tincture 3% in Compound zinc paste,1,
Hydrochloric acid 18% dental solution,1,
Iodine 1% in Boric acid ear powder,1,
Lidocaine 4% / Tetracaine 0.5% / Adrenaline (base) 0.1% gel,1,
Lidocaine 4% / Adrenaline (base) 0.02% nasal solution,1,
Dithranol 2% / Salicylic acid 2% / Coal tar 1% in White soft paraffin,1,
Propylene glycol 40% / Clobetasol 0.05% ointment 25% / Coal tar solution 5% in Generic Unguentum M cream,4,
Hypromellose 2% solution for injection 2ml pre-filled syringes,2,
Sodium hyaluronate 30mg / Sodium chondroitin sulfate 40mg solution for injection 1ml pre-filled syringes,2,
Sodium bicarbonate 0.625% mouthwash,1,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 8cm x 8cm,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 13cm x 13cm,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 20cm x 20cm sacrum,4,
Trypan blue 0.06%/1ml ophthalmic solution vials,2,
Dithranol 0.2% ointment,1,
Dithranol 0.6% ointment,1,
Clobetasol 0.05% ointment 25% / Coal tar solution 6% in Generic Unguentum M cream,4,
Coal tar solution 2% / Salicylic acid 1% ointment,1,
Propylene glycol 40% / Coal tar solution 5% in Generic Unguentum M cream,4,
Cocaine 10% / Adrenaline (base) 0.005% topical solution,1,
Cocaine 25% / Adrenaline (base) 0.1% oromucosal paste,1,
Ferric subsulfate solution,1,
Diphencyprone 0.5% in acetone liquid,1,
Lancets sterile single use 1.5mm/30gauge,4,
Carmellose 0.5% eye drops preservative free,1,
Carmellose 1% eye drops preservative free,1,
Lancets sterile single use 1.6mm/28gauge,4,
