year,chemical,total_items,total_tabs_caps
2017,Tolvaptan,153,1899
2017,Tripotassium Dicitratobismuthate,159,11296
2017,Aprepitant,160,1383
2019,Benzatropine Mesilate,160,3941
2017,Indoramin,163,10123
2019,Cilazapril,165,5656
2018,Perindopril Tosilate/Indapamide,170,7382
2019,Atropine Sulfate,174,9298
2017,Atropine Sulfate,181,9917
2018,Orphenadrine Hydrochloride,187,9001
2019,Alverine Citrate/Simeticone,195,17036
2019,Oestrogens Conjugated with Bazedoxifene,201,12382
2019,Perphenazine,201,11341
2018,Paracetamol & Caffeine,206,14836
2018,Paracetamol & Ibuprofen,208,14591
2019,Other Bisphosphonate & Other Preps,213,1323
2017,Paracetamol & Caffeine,215,14008
2019,Diazoxide,221,25011
2019,Secobarbital Sodium,223,11133
2019,Co-Codaprin (Codeine Phos/Aspirin),224,21268
2019,Aspirin Combined Preparations,225,17822
2018,Prasterone,230,16509
2017,Co-Danthramer (Dantron/Poloxamer 188),233,14214
2019,Butobarbital,234,13425
2019,Magnesium Carbonate,239,15331
2018,Thioridazine,240,18754
2019,Sultiame,241,15200
2018,Timolol With Diuretic,246,11582
2017,Paracetamol & Ibuprofen,246,17486
2018,Atropine Sulfate,252,16698
2018,Doxylamine Succinate/Pyridoxine HCl,255,8595
2018,Co-Danthrusate (Dantron/Docusate Sod),256,14251
2017,Retigabine,263,23947
2017,Oestrogens Conjugated with Bazedoxifene,265,14725
2017,Fenofibrate/Simvastatin,271,10241
2019,Amobarbital Sodium,277,16451
2017,Nicotinic Acid Derivatives,278,25223
2019,Nabilone,283,13552
2017,Timolol With Diuretic,297,13588
2019,Pentosan Polysulfate Sodium,301,28945
2017,Thioridazine,309,24299
2018,Pentosan Polysulfate Sodium,317,29273
2017,Perphenazine,322,22100
2018,Benzatropine Mesilate,327,9213
2018,Perphenazine,330,19952
2019,Granisetron Hydrochloride,332,10457
2018,Co-Codaprin (Codeine Phos/Aspirin),333,32586
2017,Prasterone,333,20679
2019,Azilsartan Medoxomil,342,15260
2018,Oestrogens Conjugated with Bazedoxifene,347,22470
2019,Tolcapone,348,31712
2017,Co-Codaprin (Codeine Phos/Aspirin),349,36905
2018,Eluxadoline,350,18732
2019,Trimetazidine Hydrochloride,351,21612
2019,Nimodipine,362,34916
2018,Pergolide Mesilate,367,17517
2019,Phenindione,381,36885
2019,Co-Flumactone (Hydroflumeth/Spironol),390,18638
2019,Dipyridamole & Aspirin,395,25674
2017,Benzatropine Mesilate,398,11808
2018,Magnesium Carbonate,413,30674
2017,Perindopril Tosilate,421,15125
2017,Pentosan Polysulfate Sodium,423,41314
2019,Cyproterone Acetate,424,19042
2017,Isradipine,444,36302
2018,Aspirin Combined Preparations,450,35634
2018,Cilazapril,451,16277
2017,Magnesium Carbonate,454,32899
2017,Nabilone,454,24888
2019,Meprobamate,457,28036
2017,Perindopril Tosilate/Indapamide,476,21306
2019,Triamterene With Thiazides,496,19791
2018,Secobarbital Sodium,499,22089
2018,Nabilone,500,21600
2018,Amobarbital Sodium,509,28778
2017,Sultiame,510,26887
2018,Butobarbital,512,26783
2018,Lofexidine Hydrochloride,516,19562
2019,Stiripentol,520,47359
2019,Phenoxybenzamine Hydrochloride,521,57607
2018,Other Stimulant Laxative Preps,535,29000
2018,Other Bisphosphonate & Other Preps,535,2959
2017,Secobarbital Sodium,536,25381
2017,Azilsartan Medoxomil,541,22970
2017,Trimetazidine Hydrochloride,549,34133
2019,Asenapine,550,22318
2018,Azilsartan Medoxomil,573,25145
2017,Amobarbital Sodium,574,32680
2018,Granisetron Hydrochloride,590,17866
2018,Cyproterone Acetate,594,27094
2017,Butobarbital,596,30936
2018,Trimetazidine Hydrochloride,609,39607
2018,Sultiame,612,28590
2017,Other Bisphosphonate & Other Preps,652,3527
2017,Cyproterone Acetate,664,32393
2017,Granisetron Hydrochloride,665,18897
2017,Stiripentol,669,66809
2017,Aspirin Combined Preparations,681,54292
2018,Phenindione,694,69218
2019,Ergotamine Tartrate,698,25303
2018,Tolcapone,713,69319
2019,Lubiprostone,722,32976
2019,Co-Phenotrope (Diphenox HCl/Atrop Sulph),737,60766
2019,Pirenzepine,755,28908
2018,Stiripentol,755,72229
2019,Metyrapone,759,80807
2018,Diamorphine Hydrochloride (Systemic),764,92826
2019,Tryptophan,775,97782
2019,Moxisylyte Hydorchloride,780,89578
2019,Flunarizine Dihydroch,781,37237
2017,Phenindione,810,89336
2019,Sildenafil(Vasodilator Antihypertensive),810,55223
2019,Nalmefene,811,15761
2018,Nimodipine,820,72487
2017,Tolcapone,851,83437
2019,Hydrochlorothiazide,852,31949
2017,Nimodipine,863,82409
2017,Co-Phenotrope (Diphenox HCl/Atrop Sulph),865,97696
2018,Prednisone,870,42787
2017,Other Stimulant Laxative Preps,871,51398
2017,Other Hypnotic Preps,895,54679
2018,Triamterene With Thiazides,917,36248
2018,Alverine Citrate/Simeticone,930,82481
2017,Triamterene With Thiazides,951,38544
2018,Co-Phenotrope (Diphenox HCl/Atrop Sulph),961,102912
2019,Quinapril Hydrochloride with Diuretic,963,45502
2019,Pentazocine Hydrochloride,969,108945
2019,Magnesium Trisilicate,975,94293
2017,Pergolide Mesilate,989,58339
2019,Isocarboxazid,998,60976
2018,Oxprenolol Hydrochloride,1001,72023
2018,Meprobamate,1059,63240
2018,Asenapine,1084,42630
2017,Ergotamine Tartrate,1102,41548
2019,Acipimox,1105,93800
2017,Phenoxybenzamine Hydrochloride,1115,116622
2018,Co-Flumactone (Hydroflumeth/Spironol),1125,52140
2017,Asenapine,1133,44353
2018,Ergotamine Tartrate,1134,42395
2019,Ulipristal Acet,1161,44472
2019,Doxylamine Succinate/Pyridoxine HCl,1163,42580
2019,Tiagabine,1165,94069
2019,Paliperidone,1180,32567
2018,Phenoxybenzamine Hydrochloride,1185,128689
2019,Isometheptene Mucate,1268,44188
2019,Dipipanone Hydrochloride,1269,93722
2019,Phenytoin,1276,111935
2018,Sildenafil(Vasodilator Antihypertensive),1292,94871
2018,Flunarizine Dihydroch,1297,61224
2017,Flunarizine Dihydroch,1301,62129
2017,Orphenadrine Hydrochloride,1357,63729
2017,Pirenzepine,1373,47263
2019,Pindolol,1395,79228
2018,Pirenzepine,1401,51697
2019,Mexiletine Hydrochloride,1415,155108
2018,Moxisylyte Hydorchloride,1419,165418
2017,Sildenafil(Vasodilator Antihypertensive),1428,110579
2018,Diazoxide,1430,158949
2019,Clozapine,1432,85392
2017,Hydrochlorothiazide,1440,56090
2018,Mesterolone,1469,104485
2017,Co-Flumactone (Hydroflumeth/Spironol),1476,62487
2017,Meprobamate,1476,87768
2018,Nalmefene,1515,29701
2018,Tryptophan,1521,177084
2017,Diamorphine Hydrochloride (Systemic),1546,189688
2018,Metyrapone,1576,169696
2017,Diazoxide,1630,204570
2017,Metyrapone,1631,180468
2017,Isocarboxazid,1647,119297
2018,Hydrochlorothiazide,1673,61576
2017,Moxisylyte Hydorchloride,1680,191859
2019,Beclometasone Dipropionate (Systemic),1698,49196
2017,Prednisone,1702,98201
2019,Ethinylestradiol,1712,106068
2017,Paliperidone,1722,44926
2017,Cilazapril,1735,66824
2018,Isocarboxazid,1762,109520
2017,Tryptophan,1819,199968
2017,Opicapone,1832,54258
2018,Pentazocine Hydrochloride,1833,203082
2019,Levothyroxine Sodium & Liothyronine,1840,224589
2017,Co-Danthrusate (Dantron/Docusate Sod),1841,99891
2018,Paliperidone,1869,51983
2019,Nicotine,1916,238728
2018,Dipyridamole & Aspirin,1921,125810
2017,Safinamide,1935,55352
2019,Mianserin Hydrochloride,1943,89253
2019,Perindopril + Calcium Channel Blocker,1998,80032
2017,Mesterolone,2012,153068
2019,Clomifene Citrate,2013,53925
2019,Loperamide Hydrochloride & Simeticone,2043,107777
2017,Saxagliptin/Dapagliflozin,2049,70752
2019,Compound Alginates&Prop Indigestion Prep,2062,131298
2018,Magnesium Trisilicate,2074,189277
2018,Acipimox,2097,165666
2017,Perindopril + Calcium Channel Blocker,2128,86515
2018,Quinapril Hydrochloride with Diuretic,2172,102618
2019,Pimozide,2173,75166
2018,Tiagabine,2174,170698
2019,Xipamide,2188,75661
2017,Pentazocine Hydrochloride,2264,247762
2019,Triamterene With Loop Diuretics,2269,85939
2017,Tiagabine,2286,181783
2018,Isometheptene Mucate,2287,84718
2019,Spironolactone With Loop Diuretics,2289,76731
2017,Nalmefene,2328,41914
2019,Magnesium Oxide,2334,261226
2017,Lofexidine Hydrochloride,2368,89621
2017,Acipimox,2380,193919
2017,Isometheptene Mucate,2395,90466
2017,Testosterone Undecanoate,2472,182216
2018,Phenytoin,2547,220208
2017,Magnesium Trisilicate,2558,231122
2018,Clozapine,2611,162832
2019,Cloral Betaine,2638,94925
2017,Phenytoin,2655,219935
2019,Benperidol,2672,132453
2018,Beclometasone Dipropionate (Systemic),2691,82827
2018,Perindopril + Calcium Channel Blocker,2715,110890
2019,Quinagolide Hydrochloride,2722,130315
2018,Dipipanone Hydrochloride,2723,200473
2017,Quinapril Hydrochloride with Diuretic,2787,130021
2019,Deflazacort,2813,236385
2017,Beclometasone Dipropionate (Systemic),2819,88509
2019,Misoprostol,2850,193315
2019,Danazol,2905,139068
2017,Clozapine,2910,175396
2019,Aluminium Hydroxide,3004,284212
2019,Paracetamol Combined Preparations,3029,300695
2019,Other Test For Helicobacter Pylori Preps,3105,3116
2019,Methylprednisolone,3174,103299
2019,Alendronic Acid & Colecalciferol,3238,15919
2017,Mexiletine Hydrochloride,3245,296061
2018,Mexiletine Hydrochloride,3272,302759
2017,Calcium Carbonate,3332,259472
2019,Dimenhydrinate/Cinnarizine,3352,265348
2017,Dipipanone Hydrochloride,3380,264744
2019,Tolfenamic Acid,3452,50467
2018,Levothyroxine Sodium & Liothyronine,3457,413573
2018,Nicotine,3466,439958
2018,Compound Alginates&Prop Indigestion Prep,3492,221626
2019,Vigabatrin,3537,365548
2018,Mianserin Hydrochloride,3569,150711
2019,Disopyramide Phosphate,3585,228934
2019,Tranylcypromine Sulfate,3592,249394
2019,Calcium Carbonate,3603,250680
2018,Co-Zidocapt (Hydchloroth/Captopril),3636,167161
2018,Loperamide Hydrochloride & Simeticone,3651,197130
2017,Pimozide,3673,143126
2018,Pimozide,3685,135412
2019,Testosterone Undecanoate,3706,259245
2017,Compound Alginates&Prop Indigestion Prep,3718,241856
2019,Trifluoperazine,3753,227195
2019,Amiloride HCl With Loop Diuretics,3766,137999
2019,Piracetam,3786,477122
2017,Mianserin Hydrochloride,3803,164716
2018,Pindolol,3847,241489
2019,Estradiol and Estriol with Progestogen,3901,368536
2017,Oxprenolol Hydrochloride,3920,341636
2017,Loperamide Hydrochloride & Simeticone,3942,207408
2018,Clomifene Citrate,3947,102246
2017,Levothyroxine Sodium & Liothyronine,3973,472917
2017,Estradiol and Estriol with Progestogen,4069,392504
2018,Estradiol and Estriol with Progestogen,4078,392171
2018,Xipamide,4103,150187
2018,Spironolactone With Loop Diuretics,4136,146376
2017,Magnesium Oxide,4143,459316
2018,Magnesium Oxide,4164,447427
2019,Nateglinide,4178,349814
2019,Ramipril with Calcium Channel Blocker,4338,195098
2017,Amiloride Hydrochloride With Thiazides,4363,188297
2018,Triamterene With Loop Diuretics,4421,172996
2017,Deflazacort,4550,372186
2017,Nicotine,4556,584467
2017,Spironolactone With Loop Diuretics,4612,168510
2019,Olmesartan Medox/Amlodipine/Hydchloroth,4635,149083
2019,Imidapril Hydrochloride,4641,162428
2017,Xipamide,4722,176108
2018,Benperidol,4814,244424
2018,Deflazacort,4862,405221
2018,Quinagolide Hydrochloride,4891,232642
2019,Hydromorphone Hydrochloride,4892,326006
2017,Paracetamol Combined Preparations,4909,478982
2017,Benperidol,4944,254723
2018,Paracetamol Combined Preparations,4951,493545
2017,Quinagolide Hydrochloride,4965,237839
2017,Triamterene With Loop Diuretics,4983,203371
2017,Pindolol,5127,318162
2018,Danazol,5180,253623
2017,Clomifene Citrate,5183,133669
2019,Gemfibrozil,5234,322278
2019,Saxagliptin/Dapagliflozin,5252,177847
2018,Ethinylestradiol,5253,315485
2017,Danazol,5405,282658
2017,Lubiprostone,5408,256669
2019,Sucralfate,5435,468926
2018,Misoprostol,5466,372942
2018,Calcium Carbonate,5491,380572
2018,Methylprednisolone,5513,182088
2018,Disopyramide Phosphate,5572,365114
2018,Safinamide,5629,156219
2018,Aluminium Hydroxide,5657,561344
2018,Other Test For Helicobacter Pylori Preps,5668,5703
2018,Cloral Betaine,5672,189946
2017,Methylprednisolone,5753,181475
2018,Testosterone Undecanoate,5762,404049
2018,Lubiprostone,5789,283074
2017,Aluminium Hydroxide,5806,600313
2019,Rufinamide,5824,519426
2019,Sodium Clodronate,5849,369694
2019,Acebutolol Hydrochloride,5860,340889
2019,Famotidine,5872,258727
2017,Cloral Betaine,5887,210915
2019,Nizatidine,5895,273198
2019,Safinamide,5960,168362
2017,Disopyramide Phosphate,5978,391729
2017,Other Test For Helicobacter Pylori Preps,5978,5991
2018,Dimenhydrinate/Cinnarizine,6022,477629
2017,Olmesartan Medox/Amlodipine/Hydchloroth,6059,206321
2018,Tranylcypromine Sulfate,6096,453610
2018,Tolfenamic Acid,6153,90333
2019,Simeticone,6196,395824
2017,Misoprostol,6213,430490
2019,Saxagliptin/Metformin,6256,370758
2018,Trifluoperazine,6258,411063
2017,Dimenhydrinate/Cinnarizine,6265,502067
2018,Ulipristal Acet,6329,252084
2018,Saxagliptin/Dapagliflozin,6438,223678
2019,Canagliflozin/Metformin,6469,399735
2018,Piracetam,6550,827410
2018,Vigabatrin,6575,682266
2017,Tolfenamic Acid,6641,95092
2017,Co-Zidocapt (Hydchloroth/Captopril),6683,311668
2017,Ethinylestradiol,6727,421450
2017,Tranylcypromine Sulfate,6728,503194
2017,Piracetam,6776,855304
2017,Vigabatrin,6780,715316
2019,Olsalazine Sodium,6826,847965
2018,Alendronic Acid & Colecalciferol,6954,34580
2017,Brivaracetam,6985,396264
2019,Nadolol,7161,268978
2017,Guanfacine,7207,233459
2018,Olmesartan Medox/Amlodipine/Hydchloroth,7213,238555
2018,Amiloride HCl With Loop Diuretics,7256,275102
2019,Bromocriptine,7483,403043
2019,Chlortalidone,7535,216160
2017,Canagliflozin/Metformin,7672,471683
2019,Quinapril Hydrochloride,7693,309562
2019,Sodium Cromoglicate,7707,1407970
2019,Atenolol With Calcium Channel Blocker,7731,375882
2019,Buprenorph HCl/Naloxone HCl,7736,164534
2019,Phenelzine Sulfate,7768,647002
2017,Sucralfate,7880,695866
2019,Disopyramide,7923,722150
2019,Fosinopril Sodium,8039,357727
2018,Ramipril with Calcium Channel Blocker,8100,372694
2019,Clomethiazole,8117,364524
2018,Nateglinide,8143,693298
2019,Rutosides,8260,760957
2019,Methylcellulose,8339,1130020
2017,Naloxegol,8364,219291
2017,Amiloride HCl With Loop Diuretics,8626,334749
2019,Enalapril Maleate with Diuretic,8629,363488
2019,Fentanyl,8649,437257
2018,Hydromorphone Hydrochloride,8663,564758
2018,Sucralfate,8716,757174
2017,Alendronic Acid & Colecalciferol,8758,43472
2018,Imidapril Hydrochloride,8775,308879
2019,Eletriptan,8892,100281
2017,Ramipril with Calcium Channel Blocker,8952,409472
2019,Torasemide,9084,324050
2019,Co-Proxamol (Dextroprop HCl/Paracet),9143,1288189
2019,Nicardipine Hydrochloride,9253,721047
2018,Canagliflozin/Metformin,9437,579855
2019,Lurasidone,9470,223532
2019,Pethidine Hydrochloride,9671,750842
2017,Hydromorphone Hydrochloride,9755,635358
2018,Opicapone,9760,271592
2017,Lurasidone,9826,233471
2019,Olmesartan Medoxomil/Hydrochlorothiazide,9836,358328
2017,Imidapril Hydrochloride,9840,350036
2018,Gemfibrozil,9883,602707
2017,Nadolol,9935,387411
2019,Glibenclamide,9978,687530
2019,Riluzole,10009,564017
2019,Opicapone,10019,271821
2019,Naltrexone Hydrochloride,10049,223711
2018,Rufinamide,10132,918507
2017,Nateglinide,10143,859056
2019,Moclobemide,10201,546154
2018,Famotidine,10219,453418
2017,Rufinamide,10242,914241
2019,Olmesartan Medoxomil/Amlodipine,10292,375161
2017,Famotidine,10406,456448
2019,Promazine Hydrochloride,10530,475433
2019,Simvastatin & Ezetimibe,10667,388302
2019,Lormetazepam,10706,347433
2019,Glycopyrronium Bromide,10771,817729
2018,Promazine Hydrochloride,10780,451471
2019,Timolol,10799,470850
2019,Metolazone,10825,136166
2019,Propafenone Hydrochloride,10960,962027
2017,Saxagliptin/Metformin,10990,649410
2018,Sodium Clodronate,11069,680142
2019,Eslicarbazepine Acetate,11144,455076
2017,Gemfibrozil,11215,694640
2018,Saxagliptin/Metformin,11341,677723
2019,Agomelatine,11349,449841
2017,Eslicarbazepine Acetate,11352,392071
2018,Simeticone,11372,726887
2018,Nadolol,11401,430470
2019,Aliskiren,11557,407666
2018,Acebutolol Hydrochloride,11633,672388
2019,Tolbutamide,11733,834635
2019,Pentoxifylline,11755,731659
2017,Simeticone,11796,751437
2017,Chlortalidone,11988,355325
2017,Sodium Cromoglicate,12046,2112988
2018,Olsalazine Sodium,12257,1538207
2019,Minoxidil,12336,684460
2019,Guanfacine,12370,413417
2019,Brivaracetam,12455,670341
2018,Sodium Cromoglicate,12495,2279844
2018,Chlortalidone,12696,367997
2019,Cilostazol,12842,719538
2017,Olsalazine Sodium,12843,1641362
2019,Loprazolam Mesilate,13017,389769
2019,Acenocoumarol,13040,1558618
2018,Lurasidone,13137,296811
2019,Fluvoxamine Maleate,13145,665973
2019,Dronedarone Hydrochloride,13308,818540
2017,Sodium Clodronate,13487,825250
2018,Guanfacine,13945,473617
2018,Brivaracetam,13958,776246
2019,Valsartan/Amlodipine,13961,575683
2018,Bromocriptine,14028,777017
2019,Doxepin,14096,666692
2017,Eletriptan,14145,155839
2019,Naloxegol,14191,349472
2018,Phenelzine Sulfate,14274,1193785
2017,Acebutolol Hydrochloride,14333,800210
2019,Ethosuximide,14368,1608879
2019,Reboxetine,14421,763368
2017,Empagliflozin/Metformin,14430,929778
2019,Bupropion Hydrochloride,14489,812349
2019,Ciprofibrate,14595,462940
2018,Eletriptan,14650,164702
2017,Bromocriptine,14700,812716
2018,Atenolol With Calcium Channel Blocker,14777,718622
2018,Fosinopril Sodium,15149,687747
2017,Phenelzine Sulfate,15157,1262382
2018,Eslicarbazepine Acetate,15610,601764
2018,Disopyramide,16019,1453873
2018,Quinapril Hydrochloride,16077,664380
2018,Naloxegol,16102,393565
2018,Clomethiazole,16272,725107
2018,Fentanyl,16425,826337
2019,Oestrogens Conjugated with Progestogen,16513,1541236
2018,Torasemide,16560,572103
2017,Fosinopril Sodium,16572,761420
2017,Disopyramide,16576,1544467
2018,Methylcellulose,16706,2275456
2019,Tetrabenazine,16785,908954
2017,Atenolol With Calcium Channel Blocker,16961,836058
2018,Rutosides,16975,1577439
2018,Olmesartan Medoxomil/Amlodipine,17281,634043
2017,Fentanyl,17641,914520
2017,Trifluoperazine,17671,1398130
2018,Riluzole,17686,987909
2017,Olmesartan Medoxomil/Amlodipine,17800,652151
2017,Torasemide,17955,622102
2018,Moclobemide,18014,983653
2017,Riluzole,18062,1000639
2018,Enalapril Maleate with Diuretic,18083,769305
2019,Acarbose,18097,1414026
2019,Selegiline Hydrochloride,18366,635826
