year,chemical,total_items,total_tabs_caps
2017,Ticlopidine Hydrochloride,21,1240
2019,Biperiden Hydrochloride,23,138
2018,Tripotassium Dicitratobismuthate,23,1792
2017,Tadalafil (Vasodilator Antihypertensive),23,500
2017,Naltrexone/Bupropion,24,3024
2018,Bosentan,24,1596
2017,Oxandrolone,25,1892
2017,Oxitriptan,26,5460
2019,Isradipine,26,1792
2019,Caffeine,27,3662
2017,Perindopril Erbumine with Diuretic,27,1384
2019,Oxprenolol Hydrochloride,28,1785
2018,Tadalafil (Vasodilator Antihypertensive),28,896
2019,Mesterolone,29,2515
2017,Dydrogesterone,30,3180
2017,Caffeine,31,4414
2018,Oxandrolone,32,2279
2018,Other Preparations For Biliary Disorders,32,3456
2018,Dydrogesterone,35,2128
2018,Bisoprolol Fumarate/Aspirin,35,858
2019,Orphenadrine Hydrochloride,36,3190
2019,Bosentan,39,1400
2018,Aspirin & Caffeine,39,2083
2019,Indoramin,40,1797
2019,Co-Zidocapt (Hydchloroth/Captopril),40,2182
2019,Cortisone Acetate,41,3235
2019,Quinidine Sulfate,41,6065
2019,Eluxadoline,42,2590
2019,Ertugliflozin,43,1491
2019,Fluphenazine Hydrochloride,43,2047
2017,Bosentan,43,2082
2018,Triamterene,44,2722
2017,Triamterene,44,2882
2018,Fenofibrate/Simvastatin,45,1542
2018,Caffeine,47,6072
2018,Naltrexone/Bupropion,48,6656
2019,Aprepitant,49,572
2017,Aspirin & Caffeine,50,2660
2019,Nefazodone Hydrochloride,51,5672
2018,"Estradiol, Estriol and Estrone",53,3078
2018,Furosemide/Potassium,56,2191
2019,Oxitriptan,56,12338
2019,Chlorothiazide,57,6152
2019,Amiloride Hydrochloride With Thiazides,61,1456
2019,Co-Danthrusate (Dantron/Docusate Sod),62,3248
2017,Furosemide/Potassium,64,2940
2019,Diamorphine Hydrochloride (Systemic),65,2812
2018,Co-Triamterzide(Triamterene/Hydchloroth),68,2863
2019,Tolvaptan,68,662
2016,Bendroflumethiazide,69,1288
2018,Co-Danthramer (Dantron/Poloxamer 188),77,4438
2019,Other Stimulant Laxative Preps,78,3038
2018,Felbamate,81,9164
2019,Pitolisant Hydrochloride,81,3405
2017,Pitolisant Hydrochloride,83,2303
2019,Prednisone,85,3536
2019,Paracetamol & Caffeine,85,7936
2017,Cyclopenthiazide,85,2779
2017,Fluphenazine Hydrochloride,86,5009
2017,Other Preparations For Biliary Disorders,87,6885
2018,Fluphenazine Hydrochloride,87,4323
2018,Cortisone Acetate,92,7408
2019,Timolol With Diuretic,92,4214
2017,Felbamate,93,9342
2019,Paracetamol & Ibuprofen,99,7266
2018,Indoramin,100,6194
2017,Quinidine Sulfate,103,16394
2017,Cortisone Acetate,108,8431
2017,Bisoprolol Fumarate/Aspirin,108,2599
2019,Thioridazine,109,8542
2019,Prasterone,113,7763
2018,Nicotinic Acid Derivatives,113,13356
2018,Nefazodone Hydrochloride,117,11334
2018,Quinidine Sulfate,119,19170
2018,Tolvaptan,122,1417
2017,Alverine Citrate/Simeticone,126,11928
2017,"Estradiol, Estriol and Estrone",127,7647
2018,Isradipine,132,12880
2018,Chlorothiazide,137,13664
2019,Benzatropine Mesilate,141,3474
2017,Nefazodone Hydrochloride,143,14539
2018,Amiloride Hydrochloride With Thiazides,144,6370
2017,Chlorothiazide,144,13556
2019,Atropine Sulfate,147,7948
2019,Cilazapril,148,5040
2017,Co-Triamterzide(Triamterene/Hydchloroth),149,5089
2018,Pitolisant Hydrochloride,150,5962
2018,Aprepitant,152,1221
2017,Tolvaptan,153,1899
2017,Tripotassium Dicitratobismuthate,159,11296
2017,Aprepitant,160,1383
2017,Indoramin,163,10123
2018,Perindopril Tosilate/Indapamide,170,7382
2019,Oestrogens Conjugated with Bazedoxifene,172,10654
2019,Perphenazine,174,9865
2019,Other Bisphosphonate & Other Preps,177,1129
2019,Alverine Citrate/Simeticone,179,15586
2017,Atropine Sulfate,181,9917
2018,Orphenadrine Hydrochloride,187,9001
2019,Secobarbital Sodium,187,9451
2019,Aspirin Combined Preparations,194,15222
2019,Magnesium Carbonate,196,12941
2019,Diazoxide,200,23115
2019,Co-Codaprin (Codeine Phos/Aspirin),202,19188
2018,Paracetamol & Caffeine,206,14836
2018,Paracetamol & Ibuprofen,208,14591
2019,Butobarbital,209,11869
2017,Paracetamol & Caffeine,215,14008
2019,Sultiame,219,13415
2018,Prasterone,230,16509
2017,Co-Danthramer (Dantron/Poloxamer 188),233,14214
2019,Amobarbital Sodium,237,14084
2019,Nabilone,238,11284
2018,Thioridazine,240,18754
2019,Pentosan Polysulfate Sodium,241,22904
2018,Timolol With Diuretic,246,11582
2017,Paracetamol & Ibuprofen,246,17486
2018,Atropine Sulfate,252,16698
2018,Doxylamine Succinate/Pyridoxine HCl,255,8595
2018,Co-Danthrusate (Dantron/Docusate Sod),256,14251
2017,Retigabine,263,23947
2017,Oestrogens Conjugated with Bazedoxifene,265,14725
2017,Fenofibrate/Simvastatin,271,10241
2017,Nicotinic Acid Derivatives,278,25223
2019,Granisetron Hydrochloride,281,8871
2019,Azilsartan Medoxomil,293,13132
2019,Trimetazidine Hydrochloride,295,18326
2017,Timolol With Diuretic,297,13588
2019,Tolcapone,300,26644
2019,Nimodipine,305,28506
2017,Thioridazine,309,24299
2018,Pentosan Polysulfate Sodium,317,29273
2017,Perphenazine,322,22100
2018,Benzatropine Mesilate,327,9213
2018,Perphenazine,330,19952
2019,Cyproterone Acetate,332,14866
2018,Co-Codaprin (Codeine Phos/Aspirin),333,32586
2017,Prasterone,333,20679
2019,Phenindione,335,32838
2019,Dipyridamole & Aspirin,335,21862
2019,Co-Flumactone (Hydroflumeth/Spironol),338,16067
2018,Oestrogens Conjugated with Bazedoxifene,347,22470
2017,Co-Codaprin (Codeine Phos/Aspirin),349,36905
2018,Eluxadoline,350,18732
2018,Pergolide Mesilate,367,17517
2017,Benzatropine Mesilate,398,11808
2019,Meprobamate,400,24937
2018,Magnesium Carbonate,413,30674
2017,Perindopril Tosilate,421,15125
2017,Pentosan Polysulfate Sodium,423,41314
2019,Triamterene With Thiazides,429,16718
2019,Stiripentol,431,39087
2017,Isradipine,444,36302
2019,Phenoxybenzamine Hydrochloride,446,49624
2018,Aspirin Combined Preparations,450,35634
2018,Cilazapril,451,16277
2017,Magnesium Carbonate,454,32899
2017,Nabilone,454,24888
2019,Asenapine,465,18752
2017,Perindopril Tosilate/Indapamide,476,21306
2018,Secobarbital Sodium,499,22089
2018,Nabilone,500,21600
2018,Amobarbital Sodium,509,28778
2017,Sultiame,510,26887
2018,Butobarbital,512,26783
2018,Lofexidine Hydrochloride,516,19562
2018,Other Stimulant Laxative Preps,535,29000
2018,Other Bisphosphonate & Other Preps,535,2959
2017,Secobarbital Sodium,536,25381
2017,Azilsartan Medoxomil,541,22970
2017,Trimetazidine Hydrochloride,549,34133
2018,Azilsartan Medoxomil,573,25145
2017,Amobarbital Sodium,574,32680
2018,Granisetron Hydrochloride,590,17866
2018,Cyproterone Acetate,594,27094
2017,Butobarbital,596,30936
2019,Ergotamine Tartrate,597,22050
2019,Pirenzepine,602,24112
2018,Trimetazidine Hydrochloride,609,39607
2018,Sultiame,612,28590
2019,Co-Phenotrope (Diphenox HCl/Atrop Sulph),620,50246
2019,Flunarizine Dihydroch,650,30408
2017,Other Bisphosphonate & Other Preps,652,3527
2017,Cyproterone Acetate,664,32393
2017,Granisetron Hydrochloride,665,18897
2019,Metyrapone,666,71622
2017,Stiripentol,669,66809
2019,Moxisylyte Hydorchloride,670,76726
2019,Tryptophan,676,84620
2019,Sildenafil(Vasodilator Antihypertensive),678,46643
2017,Aspirin Combined Preparations,681,54292
2018,Phenindione,694,69218
2019,Nalmefene,694,13320
2019,Lubiprostone,705,32192
2018,Tolcapone,713,69319
2019,Hydrochlorothiazide,747,28155
2018,Stiripentol,755,72229
2018,Diamorphine Hydrochloride (Systemic),764,92826
2017,Phenindione,810,89336
2018,Nimodipine,820,72487
2019,Quinapril Hydrochloride with Diuretic,836,39524
2019,Magnesium Trisilicate,836,80681
2019,Pentazocine Hydrochloride,840,94315
2017,Tolcapone,851,83437
2019,Isocarboxazid,862,52668
2017,Nimodipine,863,82409
2017,Co-Phenotrope (Diphenox HCl/Atrop Sulph),865,97696
2018,Prednisone,870,42787
2017,Other Stimulant Laxative Preps,871,51398
2017,Other Hypnotic Preps,895,54679
2018,Triamterene With Thiazides,917,36248
2018,Alverine Citrate/Simeticone,930,82481
2019,Acipimox,943,81221
2017,Triamterene With Thiazides,951,38544
2018,Co-Phenotrope (Diphenox HCl/Atrop Sulph),961,102912
2019,Doxylamine Succinate/Pyridoxine HCl,969,35830
2019,Ulipristal Acet,985,37501
2017,Pergolide Mesilate,989,58339
2018,Oxprenolol Hydrochloride,1001,72023
2019,Paliperidone,1006,27702
2019,Tiagabine,1008,81175
2018,Meprobamate,1059,63240
2018,Asenapine,1084,42630
2019,Isometheptene Mucate,1086,38013
2019,Dipipanone Hydrochloride,1093,80421
2017,Ergotamine Tartrate,1102,41548
2017,Phenoxybenzamine Hydrochloride,1115,116622
2018,Co-Flumactone (Hydroflumeth/Spironol),1125,52140
2017,Asenapine,1133,44353
2018,Ergotamine Tartrate,1134,42395
2019,Phenytoin,1143,100430
2018,Phenoxybenzamine Hydrochloride,1185,128689
2019,Clozapine,1206,73942
2019,Mexiletine Hydrochloride,1221,131464
2018,Sildenafil(Vasodilator Antihypertensive),1292,94871
2018,Flunarizine Dihydroch,1297,61224
2019,Pindolol,1298,73725
2017,Flunarizine Dihydroch,1301,62129
2017,Orphenadrine Hydrochloride,1357,63729
2017,Pirenzepine,1373,47263
2018,Pirenzepine,1401,51697
2018,Moxisylyte Hydorchloride,1419,165418
2017,Sildenafil(Vasodilator Antihypertensive),1428,110579
2018,Diazoxide,1430,158949
2017,Hydrochlorothiazide,1440,56090
2019,Beclometasone Dipropionate (Systemic),1460,42354
2018,Mesterolone,1469,104485
2017,Co-Flumactone (Hydroflumeth/Spironol),1476,62487
2017,Meprobamate,1476,87768
2018,Nalmefene,1515,29701
2018,Tryptophan,1521,177084
2019,Ethinylestradiol,1542,96549
2017,Diamorphine Hydrochloride (Systemic),1546,189688
2019,Levothyroxine Sodium & Liothyronine,1556,188742
2018,Metyrapone,1576,169696
2017,Diazoxide,1630,204570
2017,Metyrapone,1631,180468
2017,Isocarboxazid,1647,119297
2019,Nicotine,1666,206651
2018,Hydrochlorothiazide,1673,61576
2017,Moxisylyte Hydorchloride,1680,191859
2019,Mianserin Hydrochloride,1696,76562
2017,Prednisone,1702,98201
2017,Paliperidone,1722,44926
2019,Perindopril + Calcium Channel Blocker,1733,69479
2017,Cilazapril,1735,66824
2019,Loperamide Hydrochloride & Simeticone,1736,92185
2019,Clomifene Citrate,1738,46769
2018,Isocarboxazid,1762,109520
2019,Compound Alginates&Prop Indigestion Prep,1769,111997
2017,Tryptophan,1819,199968
2017,Opicapone,1832,54258
2018,Pentazocine Hydrochloride,1833,203082
2017,Co-Danthrusate (Dantron/Docusate Sod),1841,99891
2018,Paliperidone,1869,51983
2019,Pimozide,1878,65220
2019,Xipamide,1891,64973
2018,Dipyridamole & Aspirin,1921,125810
2017,Safinamide,1935,55352
2019,Triamterene With Loop Diuretics,1955,74326
2019,Spironolactone With Loop Diuretics,1961,65838
2019,Magnesium Oxide,1991,224438
2017,Mesterolone,2012,153068
2017,Saxagliptin/Dapagliflozin,2049,70752
2018,Magnesium Trisilicate,2074,189277
2018,Acipimox,2097,165666
2017,Perindopril + Calcium Channel Blocker,2128,86515
2018,Quinapril Hydrochloride with Diuretic,2172,102618
2018,Tiagabine,2174,170698
2017,Pentazocine Hydrochloride,2264,247762
2019,Cloral Betaine,2275,82132
2019,Benperidol,2277,113119
2017,Tiagabine,2286,181783
2018,Isometheptene Mucate,2287,84718
2019,Quinagolide Hydrochloride,2323,110847
2017,Nalmefene,2328,41914
2017,Lofexidine Hydrochloride,2368,89621
2017,Acipimox,2380,193919
2017,Isometheptene Mucate,2395,90466
2019,Deflazacort,2408,201653
2019,Misoprostol,2457,165995
2017,Testosterone Undecanoate,2472,182216
2019,Danazol,2490,118929
2018,Phenytoin,2547,220208
2017,Magnesium Trisilicate,2558,231122
2019,Paracetamol Combined Preparations,2577,255246
2018,Clozapine,2611,162832
2017,Phenytoin,2655,219935
2019,Other Test For Helicobacter Pylori Preps,2687,2698
2018,Beclometasone Dipropionate (Systemic),2691,82827
2019,Aluminium Hydroxide,2702,259515
2018,Perindopril + Calcium Channel Blocker,2715,110890
2018,Dipipanone Hydrochloride,2723,200473
2019,Methylprednisolone,2739,88476
2019,Alendronic Acid & Colecalciferol,2767,13611
2017,Quinapril Hydrochloride with Diuretic,2787,130021
2017,Beclometasone Dipropionate (Systemic),2819,88509
2019,Dimenhydrinate/Cinnarizine,2890,228928
2017,Clozapine,2910,175396
2019,Tolfenamic Acid,2964,43177
2019,Vigabatrin,3016,310592
2019,Disopyramide Phosphate,3054,195753
2019,Calcium Carbonate,3061,213286
2019,Tranylcypromine Sulfate,3105,214087
2019,Estradiol and Estriol with Progestogen,3119,294336
2019,Testosterone Undecanoate,3155,220578
2019,Trifluoperazine,3198,195255
2017,Mexiletine Hydrochloride,3245,296061
2019,Piracetam,3258,407123
2018,Mexiletine Hydrochloride,3272,302759
2019,Amiloride HCl With Loop Diuretics,3274,120673
2017,Calcium Carbonate,3332,259472
2017,Dipipanone Hydrochloride,3380,264744
2018,Levothyroxine Sodium & Liothyronine,3457,413573
2018,Nicotine,3466,439958
2018,Compound Alginates&Prop Indigestion Prep,3492,221626
2018,Mianserin Hydrochloride,3569,150711
2018,Co-Zidocapt (Hydchloroth/Captopril),3636,167161
2019,Nateglinide,3646,304125
2018,Loperamide Hydrochloride & Simeticone,3651,197130
2017,Pimozide,3673,143126
2018,Pimozide,3685,135412
2017,Compound Alginates&Prop Indigestion Prep,3718,241856
2019,Ramipril with Calcium Channel Blocker,3757,169257
2017,Mianserin Hydrochloride,3803,164716
2018,Pindolol,3847,241489
2017,Oxprenolol Hydrochloride,3920,341636
2017,Loperamide Hydrochloride & Simeticone,3942,207408
2019,Olmesartan Medox/Amlodipine/Hydchloroth,3946,127215
2018,Clomifene Citrate,3947,102246
2017,Levothyroxine Sodium & Liothyronine,3973,472917
2019,Imidapril Hydrochloride,4001,140560
2017,Estradiol and Estriol with Progestogen,4069,392504
2018,Estradiol and Estriol with Progestogen,4078,392171
2018,Xipamide,4103,150187
2018,Spironolactone With Loop Diuretics,4136,146376
2017,Magnesium Oxide,4143,459316
2018,Magnesium Oxide,4164,447427
2019,Hydromorphone Hydrochloride,4205,279215
2017,Amiloride Hydrochloride With Thiazides,4363,188297
2018,Triamterene With Loop Diuretics,4421,172996
2019,Saxagliptin/Dapagliflozin,4492,152677
2019,Gemfibrozil,4498,275092
2017,Deflazacort,4550,372186
2017,Nicotine,4556,584467
2017,Spironolactone With Loop Diuretics,4612,168510
2019,Sucralfate,4630,399161
2017,Xipamide,4722,176108
2018,Benperidol,4814,244424
2018,Deflazacort,4862,405221
2018,Quinagolide Hydrochloride,4891,232642
2017,Paracetamol Combined Preparations,4909,478982
2017,Benperidol,4944,254723
2018,Paracetamol Combined Preparations,4951,493545
2019,Safinamide,4963,140426
2017,Quinagolide Hydrochloride,4965,237839
2017,Triamterene With Loop Diuretics,4983,203371
2019,Rufinamide,5008,444794
2019,Famotidine,5030,221344
2019,Sodium Clodronate,5034,318366
2019,Acebutolol Hydrochloride,5045,292345
2019,Nizatidine,5047,232665
2017,Pindolol,5127,318162
2018,Danazol,5180,253623
2017,Clomifene Citrate,5183,133669
2018,Ethinylestradiol,5253,315485
2019,Saxagliptin/Metformin,5363,318587
2019,Simeticone,5384,342432
2017,Danazol,5405,282658
2017,Lubiprostone,5408,256669
2018,Misoprostol,5466,372942
2018,Calcium Carbonate,5491,380572
2019,Canagliflozin/Metformin,5501,340111
2018,Methylprednisolone,5513,182088
2018,Disopyramide Phosphate,5572,365114
2018,Safinamide,5629,156219
2018,Aluminium Hydroxide,5657,561344
2018,Other Test For Helicobacter Pylori Preps,5668,5703
2018,Cloral Betaine,5672,189946
2017,Methylprednisolone,5753,181475
2018,Testosterone Undecanoate,5762,404049
2018,Lubiprostone,5789,283074
2017,Aluminium Hydroxide,5806,600313
2019,Olsalazine Sodium,5870,728835
2017,Cloral Betaine,5887,210915
2017,Disopyramide Phosphate,5978,391729
2017,Other Test For Helicobacter Pylori Preps,5978,5991
2018,Dimenhydrinate/Cinnarizine,6022,477629
2017,Olmesartan Medox/Amlodipine/Hydchloroth,6059,206321
2018,Tranylcypromine Sulfate,6096,453610
2019,Nadolol,6110,229357
2018,Tolfenamic Acid,6153,90333
2017,Misoprostol,6213,430490
2018,Trifluoperazine,6258,411063
2017,Dimenhydrinate/Cinnarizine,6265,502067
2018,Ulipristal Acet,6329,252084
2019,Bromocriptine,6375,343515
2019,Chlortalidone,6433,183555
2018,Saxagliptin/Dapagliflozin,6438,223678
2018,Piracetam,6550,827410
2018,Vigabatrin,6575,682266
2019,Sodium Cromoglicate,6581,1196599
2017,Tolfenamic Acid,6641,95092
2019,Phenelzine Sulfate,6657,551268
2019,Quinapril Hydrochloride,6668,268454
2017,Co-Zidocapt (Hydchloroth/Captopril),6683,311668
2019,Atenolol With Calcium Channel Blocker,6694,325467
2017,Ethinylestradiol,6727,421450
2017,Tranylcypromine Sulfate,6728,503194
2017,Piracetam,6776,855304
2017,Vigabatrin,6780,715316
2019,Buprenorph HCl/Naloxone HCl,6829,145921
2019,Fosinopril Sodium,6927,309669
2019,Disopyramide,6929,639855
2018,Alendronic Acid & Colecalciferol,6954,34580
2017,Brivaracetam,6985,396264
2019,Clomethiazole,7069,318761
2019,Methylcellulose,7093,959977
2017,Guanfacine,7207,233459
2018,Olmesartan Medox/Amlodipine/Hydchloroth,7213,238555
2018,Amiloride HCl With Loop Diuretics,7256,275102
2019,Fentanyl,7307,366928
2019,Rutosides,7363,685022
2019,Enalapril Maleate with Diuretic,7405,311235
2019,Eletriptan,7612,85932
2017,Canagliflozin/Metformin,7672,471683
2019,Torasemide,7785,277817
2017,Sucralfate,7880,695866
2019,Co-Proxamol (Dextroprop HCl/Paracet),7891,1111699
2019,Nicardipine Hydrochloride,7949,619882
2018,Ramipril with Calcium Channel Blocker,8100,372694
2018,Nateglinide,8143,693298
2019,Lurasidone,8149,189907
2019,Pethidine Hydrochloride,8346,646801
2017,Naloxegol,8364,219291
2019,Opicapone,8446,229012
2019,Olmesartan Medoxomil/Hydrochlorothiazide,8501,310492
2019,Riluzole,8563,482109
2019,Glibenclamide,8589,592892
2017,Amiloride HCl With Loop Diuretics,8626,334749
2019,Naltrexone Hydrochloride,8640,190467
2019,Promazine Hydrochloride,8659,392020
2018,Hydromorphone Hydrochloride,8663,564758
2018,Sucralfate,8716,757174
2017,Alendronic Acid & Colecalciferol,8758,43472
2019,Olmesartan Medoxomil/Amlodipine,8772,320002
2018,Imidapril Hydrochloride,8775,308879
2019,Moclobemide,8777,469369
2017,Ramipril with Calcium Channel Blocker,8952,409472
2019,Lormetazepam,9175,300002
2019,Simvastatin & Ezetimibe,9205,335828
2019,Glycopyrronium Bromide,9221,703432
2019,Metolazone,9254,116528
2019,Timolol,9271,403844
2019,Propafenone Hydrochloride,9395,825872
2018,Canagliflozin/Metformin,9437,579855
2019,Eslicarbazepine Acetate,9482,385762
2019,Agomelatine,9716,384901
2017,Hydromorphone Hydrochloride,9755,635358
2018,Opicapone,9760,271592
2017,Lurasidone,9826,233471
2017,Imidapril Hydrochloride,9840,350036
2018,Gemfibrozil,9883,602707
2019,Aliskiren,9924,350608
2017,Nadolol,9935,387411
2019,Pentoxifylline,10089,628850
2018,Rufinamide,10132,918507
2019,Tolbutamide,10142,722345
2017,Nateglinide,10143,859056
2018,Famotidine,10219,453418
2017,Rufinamide,10242,914241
2019,Guanfacine,10303,344301
2019,Brivaracetam,10385,561299
2017,Famotidine,10406,456448
2019,Minoxidil,10609,591092
2018,Promazine Hydrochloride,10780,451471
2017,Saxagliptin/Metformin,10990,649410
2019,Cilostazol,11012,615543
2018,Sodium Clodronate,11069,680142
2017,Gemfibrozil,11215,694640
2019,Acenocoumarol,11221,1340217
2019,Fluvoxamine Maleate,11330,572090
2018,Saxagliptin/Metformin,11341,677723
2017,Eslicarbazepine Acetate,11352,392071
2018,Simeticone,11372,726887
2018,Nadolol,11401,430470
2019,Dronedarone Hydrochloride,11419,702859
2018,Acebutolol Hydrochloride,11633,672388
2017,Simeticone,11796,751437
2019,Loprazolam Mesilate,11861,353995
2019,Naloxegol,11913,295028
2019,Valsartan/Amlodipine,11938,492700
2017,Chlortalidone,11988,355325
2017,Sodium Cromoglicate,12046,2112988
2019,Doxepin,12103,572143
2019,Ethosuximide,12237,1368668
2018,Olsalazine Sodium,12257,1538207
2019,Reboxetine,12334,654180
2019,Bupropion Hydrochloride,12391,693176
2018,Sodium Cromoglicate,12495,2279844
2019,Ciprofibrate,12566,399527
2018,Chlortalidone,12696,367997
2017,Olsalazine Sodium,12843,1641362
2018,Lurasidone,13137,296811
2017,Sodium Clodronate,13487,825250
2019,Oestrogens Conjugated with Progestogen,13910,1300870
2018,Guanfacine,13945,473617
2018,Brivaracetam,13958,776246
2018,Bromocriptine,14028,777017
2017,Eletriptan,14145,155839
2018,Phenelzine Sulfate,14274,1193785
2017,Acebutolol Hydrochloride,14333,800210
2019,Tetrabenazine,14383,778539
2017,Empagliflozin/Metformin,14430,929778
2018,Eletriptan,14650,164702
2017,Bromocriptine,14700,812716
2018,Atenolol With Calcium Channel Blocker,14777,718622
2018,Fosinopril Sodium,15149,687747
2017,Phenelzine Sulfate,15157,1262382
2019,Acarbose,15594,1215565
2018,Eslicarbazepine Acetate,15610,601764
2019,Selegiline Hydrochloride,15761,546087
2019,Glipizide,15817,1241728
2019,Metformin Hydrochloride/Pioglitazone,15910,1038277
2019,Trimipramine Maleate,16010,827834
2018,Disopyramide,16019,1453873
2018,Quinapril Hydrochloride,16077,664380
2018,Naloxegol,16102,393565
2019,Cimetidine,16157,965494
2018,Clomethiazole,16272,725107
2018,Fentanyl,16425,826337
2019,Disulfiram,16447,382395
2019,Linaclotide,16459,532315
2019,Perindopril Arginine,16519,661410
2018,Torasemide,16560,572103
2017,Fosinopril Sodium,16572,761420
2017,Disopyramide,16576,1544467
2019,Betamethasone Sodium Phosphate,16608,1308907
2019,Promethazine Teoclate,16647,499866
2018,Methylcellulose,16706,2275456
2017,Atenolol With Calcium Channel Blocker,16961,836058
2018,Rutosides,16975,1577439
2019,Levomepromazine Maleate,17111,598805
