month,supplier,bnf_name,bnf_code,total_items,total_cost
2016-01-01,Microtest,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp   ,1502010V0AAAAAA,1,13.04
2016-01-01,EMIS,Calc Folinate_Inj 10mg/ml 10ml Vl       ,0801000I0AAATAT,1,129.09
2016-01-01,Microtest,Pamidronate Disod_I/V Inf 9mg/ml 10ml Vl,0606020P0AAAHAH,1,157.44
2016-01-01,TPP,Ceftazidime Pentahyd_Inj 2g Vl          ,0501021H0AAACAC,1,352.83
2016-01-01,Microtest,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,2,5.54
2016-01-01,INPS,Viridal Duo_S/Pack Inj 20mcg Cart       ,0704050B0BCAGBL,4,181.43
2016-01-01,Microtest,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,4,445.88999999999993
2016-01-01,EMIS,Emtricitabine/Tenofovir_Tab 200mg/245mg ,0503010AAAAAAAA,1,460.08
2016-01-01,EMIS,Ondemet_Tab 8mg                         ,0406000S0BCADAC,1,50.22
2016-01-01,TPP,Calc Folinate_Inj 7.5mg/ml 2ml Amp      ,0801000I0AAAGAG,2,273.88
2016-01-01,TPP,Fluclox Sod_Inj 1g Vl                   ,0501012G0AAAEAE,2,99.69
2016-01-01,TPP,Co-Amoxiclav_Inj 500mg/100mg Vl         ,0501013K0AAAEAE,2,78.66
2016-01-01,INPS,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,4,192.96999999999997
2016-01-01,EMIS,Levetiracetam_I/V Inf 100mg/ml 5ml Vl   ,0408010A0AAAJAJ,5,2350.2299999999996
2016-01-01,EMIS,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,2,208.70999999999998
2016-01-01,EMIS,Toradol_Inj 30mg/ml 1ml Amp             ,1501042E0BBAAAA,2,114.98
2016-01-01,INPS,Daptomycin_I/V Inf 500mg Vl (Dry)       ,0501070Y0AAABAB,1,572.63
2016-01-01,EMIS,Meropenem_Inj 500mg Vl (Dry)            ,0501022A0AAAAAA,12,2722.7299999999996
2016-01-01,Microtest,Viridal Duo_S/Pack Inj 20mcg Cart       ,0704050B0BCAGBL,1,22.69
2016-01-01,EMIS,Levobupivac HCl_Inj 5mg/ml 10ml Amp     ,1502010V0AAABAB,1,1.5
2016-01-01,EMIS,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,5,45.25999999999999
2016-01-01,TPP,Viridal Duo_S/Pack Inj 20mcg Cart       ,0704050B0BCAGBL,12,680.2299999999999
2016-01-01,EMIS,Methotrexate_Inj 2.5mg/ml 2ml Vl        ,0801030P0AAAIAI,3,70.21000000000001
2016-01-01,TPP,Enbrel_Inj 50mg/ml Pfs                  ,1001030D0BBACAC,1,660.39
2016-01-01,TPP,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,3,848.9
2016-01-01,TPP,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,3,1995.0
2016-01-01,TPP,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,177,17159.37
2016-01-01,INPS,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,6,771.37
2016-01-01,EMIS,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,35,2655.9399999999996
2016-01-01,TPP,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,23,725.5
2016-01-01,INPS,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,4,36.769999999999996
2016-01-01,EMIS,Viridal Duo_S/Pack Inj 20mcg Cart       ,0704050B0BCAGBL,2,68.03
2016-01-01,TPP,Erythromycin_Lactobi I/V Inf 1g Vl      ,0501050K0AAAAAA,1,3175.35
2016-01-01,INPS,Ceftazidime Pentahyd_Inj 1g Vl          ,0501021H0AAABAB,1,454.65
2016-01-01,INPS,Nutricia_preOp Liq                      ,090402000BBQFA0,1,21.35
2016-01-01,EMIS,Ketamine_Inj 50mg/ml 10ml Vl            ,1501010F0AAABAB,15,737.34
2016-01-01,INPS,Ceftriaxone Sod_Inj 2g Vl               ,0501021G0AAADAD,3,407.48
2016-01-01,TPP,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,34,1319.14
2016-01-01,EMIS,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,35,2610.5699999999997
2016-01-01,TPP,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,16,504.53999999999996
2016-01-01,EMIS,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,4,111.66000000000001
2016-01-01,Microtest,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,8,1201.82
2016-01-01,INPS,Daptomycin_I/V Inf 350mg Vl (Dry)       ,0501070Y0AAAAAA,2,1202.5500000000002
2016-01-01,EMIS,Fluclox Sod_Inj 500mg Vl                ,0501012G0AAADAD,1,63.47
2016-01-01,TPP,Ceftriaxone Sod_Inj 250mg Vl            ,0501021G0AAABAB,4,13.36
2016-01-01,TPP,Daptomycin_I/V Inf 350mg Vl (Dry)       ,0501070Y0AAAAAA,1,916.21
2016-01-01,EMIS,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,12,3336.2700000000004
2016-01-01,EMIS,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,8,139.81
2016-01-01,TPP,Ketalar_Inj 10mg/ml 20ml Vl             ,1501010F0BBACAA,1,23.38
2016-01-01,EMIS,Co-Amoxiclav_Inj 500mg/100mg Vl         ,0501013K0AAAEAE,4,88.35
2016-01-01,INPS,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,1,8.86
2016-01-01,EMIS,Ceftazidime Pentahyd_Inj 2g Vl          ,0501021H0AAACAC,2,601.14
2016-01-01,TPP,Methotrexate_Inj 2.5mg/ml 2ml Vl        ,0801030P0AAAIAI,2,55.44
2016-01-01,EMIS,Co-Amoxiclav_Inj 1g/200mg Vl            ,0501013K0AAAFAF,4,41.470000000000006
2016-01-01,EMIS,Ceftazidime Pentahyd_Inj 1g Vl          ,0501021H0AAABAB,3,847.74
2016-01-01,TPP,Piperacillin/Tazobactam_Inj 2g/0.25g Vl ,0501014S0AAAAAA,2,613.7
2016-01-01,TPP,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp   ,1502010V0AAAAAA,5,58.79
2016-01-01,Microtest,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,6,195.68
2016-01-01,TPP,Adren_Inj 1/10 000 10ml Pfs             ,0207030A0AAABAB,1,126.91
2016-01-01,INPS,Promixin_Inj 1 000 000u Vl (Dry)        ,0501070I0BCABAB,1,166.26
2016-01-01,INPS,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,9,601.29
2016-01-01,TPP,Meropenem_Inj 1g Vl (Dry)               ,0501022A0AAABAB,2,476.53
2016-01-01,Microtest,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,2,55.28
2016-01-01,TPP,Vancomycin HCl_Inj 500mg Vl             ,0501070U0AAACAC,1,15.71
2016-01-01,EMIS,Nutricia_preOp Liq                      ,090402000BBQFA0,4,341.41
2016-01-01,TPP,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,26,3235.199999999999
2016-01-01,EMIS,Tranexamic Acid_Inj 100mg/ml 5ml Amp    ,0211000P0AAAAAA,32,1623.7699999999998
2016-01-01,EMIS,Botox_Inj 100u Vl                       ,0409030B0BCAAAE,1,132.63
2016-01-01,EMIS,Cefuroxime Sod_Inj 1.5g Vl              ,0501021J0AAACAC,2,55.989999999999995
2016-01-01,TPP,Ketamine_Inj 50mg/ml 10ml Vl            ,1501010F0AAABAB,8,413.15
2016-01-01,INPS,Amoxicillin Sod_Inj 500mg Vl            ,0501013C0AAADAD,10,340.55
2016-01-01,EMIS,Vancomycin HCl_Inj 500mg Vl             ,0501070U0AAACAC,5,291.92
2016-01-01,EMIS,Ceftriaxone Sod_Inj 250mg Vl            ,0501021G0AAABAB,9,37.790000000000006
2016-01-01,INPS,Meropenem_Inj 500mg Vl (Dry)            ,0501022A0AAAAAA,1,285.79
2016-01-01,EMIS,Fluclox Sod_Inj 1g Vl                   ,0501012G0AAAEAE,4,425.46000000000004
2016-01-01,INPS,Tranexamic Acid_Inj 100mg/ml 5ml Amp    ,0211000P0AAAAAA,2,15.68
2016-01-01,INPS,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,2,1285.77
2016-01-01,EMIS,Cefuroxime Sod_Inj 750mg Vl             ,0501021J0AAABAB,2,13.98
2016-01-01,EMIS,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,41,3176.84
2016-01-01,EMIS,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,138,1002.4200000000001
2016-01-01,TPP,Vancomycin HCl_Inj 1g Vl                ,0501070U0AAAFAF,1,66.97
2016-01-01,TPP,Amoxicillin Sod_Inj 1g Vl               ,0501013C0AAAEAE,1,101.24
2016-01-01,TPP,Levetiracetam_I/V Inf 100mg/ml 5ml Vl   ,0408010A0AAAJAJ,3,469.8
2016-01-01,TPP,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,5,467.61
2016-01-01,EMIS,Promixin_Inj 1 000 000u Vl (Dry)        ,0501070I0BCABAB,1,55.43
2016-01-01,EMIS,Ceftriaxone Sod_Inj 2g Vl               ,0501021G0AAADAD,31,4588.490000000001
2016-01-01,TPP,Nutricia_preOp Liq                      ,090402000BBQFA0,6,119.53999999999999
2016-01-01,EMIS,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,1,132.16
2016-01-01,EMIS,Piperacillin/Tazobactam_Inj 4g/0.5g Vl  ,0501014S0AAABAB,5,1549.23
2016-01-01,INPS,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,29,221.68
2016-01-01,INPS,Botox_Inj Pdr 200u Vl                   ,0409030B0BCACAG,4,1787.04
2016-01-01,TPP,Amoxicillin Sod_Inj 500mg Vl            ,0501013C0AAADAD,3,17.439999999999998
2016-01-01,TPP,Cefuroxime Sod_Inj 250mg Vl             ,0501021J0AAAAAA,1,97.35
2016-01-01,INPS,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,1,32.34
2016-01-01,TPP,Botox_Inj 100u Vl                       ,0409030B0BCAAAE,1,255.3
2016-01-01,INPS,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,4,93.07000000000001
2016-01-01,EMIS,Noxafil_Oral Susp 40mg/ml               ,0502010A0BBAAAA,11,38108.59
2016-01-01,EMIS,Daptomycin_I/V Inf 350mg Vl (Dry)       ,0501070Y0AAAAAA,2,1202.55
2016-01-01,EMIS,Vancomycin HCl_Inj 1g Vl                ,0501070U0AAAFAF,1,103.92
2016-01-01,INPS,Chirocaine_Inj 5mg/ml 10ml Amp          ,1502010V0BBABAB,3,4.49
2016-01-01,Microtest,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,1,76.26
2016-01-01,TPP,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,30,1598.7
2016-01-01,EMIS,Amoxicillin Sod_Inj 500mg Vl            ,0501013C0AAADAD,7,84.00999999999999
2016-01-01,EMIS,Omeprazole_Inf 40mg Vl                  ,0103050P0AAAVAV,2,348.11
2016-01-01,INPS,Esomeprazole_I/V Inf 40mg Vl (Dry)      ,0103050E0AAACAC,1,86.74
2016-01-01,TPP,Meropenem_Inj 500mg Vl (Dry)            ,0501022A0AAAAAA,10,3309.19
2016-01-01,TPP,Tranexamic Acid_Inj 100mg/ml 5ml Amp    ,0211000P0AAAAAA,17,433.88
2016-01-01,Microtest,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,1,18.59
2016-01-01,INPS,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,4,16.64
2016-01-01,INPS,Botox_Inj 100u Vl                       ,0409030B0BCAAAE,5,1659.4
2016-01-01,EMIS,Chirocaine_Inj 2.5mg/ml 10ml Amp        ,1502010V0BBAAAA,3,3.9000000000000004
2016-01-01,TPP,Noxafil_Oral Susp 40mg/ml               ,0502010A0BBAAAA,1,453.67
2016-02-01,EMIS,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,3,342.21000000000004
2016-02-01,TPP,Methotrexate_Inj 2.5mg/ml 2ml Vl        ,0801030P0AAAIAI,1,80.07
2016-02-01,TPP,Ceftazidime Pentahyd_Inj 2g Vl          ,0501021H0AAACAC,1,683.71
2016-02-01,INPS,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,2,274.03
2016-02-01,INPS,Ketamine_Inj 50mg/ml 10ml Vl            ,1501010F0AAABAB,1,81.17
2016-02-01,TPP,Piperacillin/Tazobactam_Inj 2g/0.25g Vl ,0501014S0AAAAAA,1,219.62
2016-02-01,INPS,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,1,622.01
2016-02-01,INPS,Meropenem_Inj 500mg Vl (Dry)            ,0501022A0AAAAAA,4,1288.6
2016-02-01,EMIS,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,5,40.709999999999994
2016-02-01,EMIS,Amoxicillin Sod_Inj 1g Vl               ,0501013C0AAAEAE,1,42.71
2016-02-01,INPS,Esomeprazole_I/V Inf 40mg Vl (Dry)      ,0103050E0AAACAC,1,86.91
2016-02-01,Microtest,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,2,83.0
2016-02-01,TPP,Noxafil_Oral Susp 40mg/ml               ,0502010A0BBAAAA,2,1818.32
2016-02-01,TPP,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,8,108.64000000000001
2016-02-01,TPP,Cefuroxime Sod_Inj 750mg Vl             ,0501021J0AAABAB,1,6.62
2016-02-01,Microtest,Botox_Inj 100u Vl                       ,0409030B0BCAAAE,1,127.91
2016-02-01,EMIS,Cefuroxime Sod_Inj 750mg Vl             ,0501021J0AAABAB,1,23.33
2016-02-01,EMIS,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,36,3153.01
2016-02-01,TPP,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,14,652.31
2016-02-01,EMIS,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,3,392.34000000000003
2016-02-01,TPP,Rapifen Intensive Care_Inj 5mg/1ml Amp  ,1501043A0BBADAD,1,64.4
2016-02-01,EMIS,Amoxicillin Sod_Inj 500mg Vl            ,0501013C0AAADAD,5,37.27
2016-02-01,Microtest,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,4,551.9200000000001
2016-02-01,Microtest,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,4,466.87
2016-02-01,TPP,Calc Folinate_Inj 7.5mg/ml 2ml Amp      ,0801000I0AAAGAG,1,57.86
2016-02-01,EMIS,Levetiracetam_I/V Inf 100mg/ml 5ml Vl   ,0408010A0AAAJAJ,2,1412.12
2016-02-01,EMIS,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,237,24592.700000000004
2016-02-01,TPP,Meropenem_Inj 500mg Vl (Dry)            ,0501022A0AAAAAA,13,4555.500000000001
2016-02-01,TPP,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,10,319.29
2016-02-01,TPP,Mitoxantrone_Inj 2mg/ml 10ml Vl         ,0801020R0AAAAAA,1,112.78
2016-02-01,EMIS,Methotrexate_Inj 2.5mg/ml 2ml Vl        ,0801030P0AAAIAI,2,64.64
2016-02-01,TPP,Ondemet_Tab 8mg                         ,0406000S0BCADAC,2,372.40000000000003
2016-02-01,TPP,Nexium I.V._I/V Inf 40mg Vl (Dry)       ,0103050E0BBACAC,1,3.95
2016-02-01,INPS,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,12,1109.68
2016-02-01,Microtest,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,5,229.05
2016-02-01,TPP,Zoledronic Acid_I/V Inf 40mcg/ml 100ml  ,0606020V0AAADAD,1,161.17
2016-02-01,EMIS,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,11,4295.99
2016-02-01,EMIS,Noxafil_Oral Susp 40mg/ml               ,0502010A0BBAAAA,21,71369.09
2016-02-01,Microtest,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,4,409.91999999999996
2016-02-01,INPS,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,1,26.61
2016-02-01,EMIS,Fluclox Sod_Inj 1g Vl                   ,0501012G0AAAEAE,4,825.54
2016-02-01,Microtest,Cefuroxime Sod_Inj 750mg Vl             ,0501021J0AAABAB,4,195.95
2016-02-01,INPS,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,4,441.78999999999996
2016-02-01,INPS,Viridal Duo_S/Pack Inj 10mcg Cart       ,0704050B0BCAHBM,3,111.84
2016-02-01,TPP,Fluclox Sod_Inj 500mg Vl                ,0501012G0AAADAD,1,22.69
2016-02-01,INPS,Nutricia_preOp Liq                      ,090402000BBQFA0,1,34.22
2016-02-01,EMIS,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,2,97.19
2016-02-01,EMIS,Amoxicillin Sod_Inj 250mg Vl            ,0501013C0AAACAC,1,9.44
2016-02-01,INPS,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,2,27.79
2016-02-01,TPP,Tranexamic Acid_Inj 100mg/ml 5ml Amp    ,0211000P0AAAAAA,12,221.82
2016-02-01,EMIS,Ertapenem Sod_I/V Inf 1g Vl (Dry)       ,0501022B0AAAAAA,15,3807.88
2016-02-01,INPS,Ceftriaxone Sod_Inj 2g Vl               ,0501021G0AAADAD,3,692.28
2016-02-01,TPP,Cefuroxime Sod_Inj 250mg Vl             ,0501021J0AAAAAA,2,195.08
2016-02-01,INPS,Meropenem_Inj 1g Vl (Dry)               ,0501022A0AAABAB,1,1145.42
2016-02-01,EMIS,Co-Amoxiclav_Inj 500mg/100mg Vl         ,0501013K0AAAEAE,5,147.48000000000002
2016-02-01,INPS,Amoxicillin Sod_Inj 500mg Vl            ,0501013C0AAADAD,5,180.19
2016-02-01,INPS,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,1,19.85
2016-02-01,EMIS,Cyclophosphamide_Inj 1g Vl              ,0801010H0AAADAD,1,15.8
2016-02-01,EMIS,Toradol_Inj 30mg/ml 1ml Amp             ,1501042E0BBAAAA,1,55.67
2016-02-01,TPP,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp   ,1502010V0AAAAAA,5,48.58
2016-02-01,TPP,Toradol_Inj 30mg/ml 1ml Amp             ,1501042E0BBAAAA,1,9.93
2016-02-01,EMIS,Ketamine_Inj 50mg/ml 10ml Vl            ,1501010F0AAABAB,9,836.06
2016-02-01,EMIS,Cefotaxime Sod_Inj 500mg Vl             ,0501021D0AAAAAA,1,5.55
2016-02-01,INPS,Botox_Inj 100u Vl                       ,0409030B0BCAAAE,2,639.51
2016-02-01,EMIS,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,31,2225.45
2016-02-01,EMIS,Vancomycin HCl_Inj 500mg Vl             ,0501070U0AAACAC,4,263.8
2016-02-01,INPS,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,2,55.26
2016-02-01,EMIS,Vancomycin HCl_Inj 1g Vl                ,0501070U0AAAFAF,3,998.14
2016-02-01,EMIS,Enbrel_Inj 25mg Vl + Dil                ,1001030D0BBAAAA,1,82.84
2016-02-01,TPP,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,1,32.4
2016-02-01,INPS,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,32,240.47000000000003
2016-02-01,INPS,Chirocaine_Inj 5mg/ml 10ml Amp          ,1502010V0BBABAB,5,7.5
2016-02-01,TPP,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,26,1546.53
2016-02-01,EMIS,Meropenem_Inj 1g Vl (Dry)               ,0501022A0AAABAB,7,2090.06
2016-02-01,EMIS,Fluclox Sod_Inj 500mg Vl                ,0501012G0AAADAD,1,22.69
2016-02-01,EMIS,Co-Amoxiclav_Inj 1g/200mg Vl            ,0501013K0AAAFAF,2,100.21000000000001
2016-02-01,INPS,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp  ,0304010G0AAAAAA,6,524.96
2016-02-01,INPS,Promixin_Inj 1 000 000u Vl (Dry)        ,0501070I0BCABAB,1,166.59
2016-02-01,EMIS,Tranexamic Acid_Inj 100mg/ml 5ml Amp    ,0211000P0AAAAAA,24,758.34
2016-02-01,EMIS,Methotrexate_Inj 25mg/ml 2ml Vl         ,0801030P0AAANAN,2,37.41
2016-02-01,INPS,Cefotaxime Sod_Inj 500mg Vl             ,0501021D0AAAAAA,1,55.54
2016-02-01,TPP,Promixin_Inj 1 000 000u Vl (Dry)        ,0501070I0BCABAB,1,166.58
2016-02-01,TPP,Vancomycin HCl_Inj 1g Vl                ,0501070U0AAAFAF,1,67.11
2016-02-01,TPP,Ertapenem Sod_I/V Inf 1g Vl (Dry)       ,0501022B0AAAAAA,6,937.3399999999999
2016-02-01,TPP,Amikacin_Inj 250mg/ml 2ml Vl            ,0501040C0AAAAAA,7,5730.530000000001
2016-02-01,INPS,Rapifen Intensive Care_Inj 5mg/1ml Amp  ,1501043A0BBADAD,1,21.47
2016-02-01,TPP,Gentamicin Sulf_Inj 40mg/ml 2ml Vl      ,0501040H0AAAMAM,26,2400.4400000000005
2016-02-01,INPS,Ertapenem Sod_I/V Inf 1g Vl (Dry)       ,0501022B0AAAAAA,2,234.34
2016-02-01,EMIS,Ceftriaxone Sod_Inj 1g Vl               ,0501021G0AAACAC,47,2376.4100000000003
2016-02-01,TPP,Fluclox Sod_Inj 1g Vl                   ,0501012G0AAAEAE,1,127.08
2016-02-01,TPP,Ketalar_Inj 50mg/ml 10ml Vl             ,1501010F0BBAAAB,1,81.17
2016-02-01,Microtest,Ceftriaxone Sod_Inj 2g Vl               ,0501021G0AAADAD,3,266.28
2016-02-01,EMIS,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,1,55.24
2016-02-01,INPS,Daptomycin_I/V Inf 350mg Vl (Dry)       ,0501070Y0AAAAAA,1,114.77
2016-02-01,EMIS,Chirocaine_Inj 2.5mg/ml 10ml Amp        ,1502010V0BBAAAA,1,1.3
2016-02-01,TPP,Piperacillin/Tazobactam_Inj 4g/0.5g Vl  ,0501014S0AAABAB,5,1118.24
2016-02-01,TPP,Meropenem_Inj 1g Vl (Dry)               ,0501022A0AAABAB,4,2655.88
2016-02-01,INPS,Botox_Inj Pdr 200u Vl                   ,0409030B0BCACAG,7,2813.82
2016-02-01,TPP,Ceftazidime Pentahyd_Inj 1g Vl          ,0501021H0AAABAB,1,325.4
2016-02-01,EMIS,Ceftriaxone Sod_Inj 250mg Vl            ,0501021G0AAABAB,10,40.03
2016-02-01,EMIS,Piperacillin/Tazobactam_Inj 4g/0.5g Vl  ,0501014S0AAABAB,6,2416.76
2016-02-01,INPS,Levetiracetam_I/V Inf 100mg/ml 5ml Vl   ,0408010A0AAAJAJ,1,117.83
2016-02-01,TPP,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,128,915.3299999999998
2016-02-01,EMIS,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp   ,1502010V0AAAAAA,3,22.44
2016-02-01,Microtest,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,2,16.91
2016-02-01,TPP,Phenylbutazone_Tab 100mg                ,1001010Q0AAABAB,2,248.32999999999998
2016-02-01,TPP,Cefotaxime Sod_Inj 500mg Vl             ,0501021D0AAAAAA,1,27.78
2016-02-01,INPS,Ceftazidime Pentahyd_Inj 2g Vl          ,0501021H0AAACAC,1,97.68
