bnf_name,bnf_code,items
Qvar 100_Autohaler 100mcg (200 D),0302000C0BJADBH,5514
Fluticasone/Formoterol_Inh 125/5mcg 120D,0302000N0AABJBJ,5358
AirFluSal Forspiro_Inh 500/50mcg (60D),0302000N0BGAAAZ,5235
Qvar 50 E-Breathe_Inha 50mcg (200 D),0302000C0BJAEBG,5040
Fluticasone/Salmeterol_Inh 250/50mcg 60D,0302000N0AAAYAY,4963
AirFluSal_Inh 125mcg/25mcg (120D),0302000N0BGABBF,4929
Symbicort_Inh Pressurised 200/6mcg(120D),0302000K0BDADBB,4813
Fluticasone/Formoterol_Inh 250/10mcg120D,0302000N0AABKBK,4660
Fluticasone Prop_Inha 50mcg (120 D) CFF,0302000N0AABHBH,4513
AirFluSal_Inh 250mcg/25mcg (120D),0302000N0BGACBG,4510
Budesonide/Formoterol_InhaB/A 100/6(120D,0302000K0AAALAL,4444
Budesonide_Pdr For Inh 200mcg (100 D),0302000K0AAAGAG,3786
Fluticasone Prop_Inha 125mcg (120 D) CFF,0302000N0AABABA,3772
Fluticasone Prop_Inha 250mcg (120 D) CFF,0302000N0AABCBC,3445
Fluticasone/Salmeterol_Inh 100/50mcg 60D,0302000N0AAAXAX,3056
Easyhaler_Beclomet 200mcg (200 D),0302000C0BNAABU,2727
Beclomet Diprop_Inha 50mcg (200 D) CFF,0302000C0AABEBE,2645
Combisal_Inha 125mcg/25mcg (120 D),0302000N0BLABBF,2372
Easyhaler_Budesonide 100mcg (200 D),0302000K0BGAAAK,2317
Beclomet/Formoterol_Inh 200/6 (120D) CFF,0302000C0AABZBZ,2256
Qvar 50_Autohaler 50mcg (200 D),0302000C0BJACBG,2209
Flixotide_Evohaler 50mcg (120 D),0302000N0BBBBBH,2114
Combisal_Inha 250mcg/25mcg (120 D),0302000N0BLACBG,2102
Pulmicort_Turbohaler 100mcg (200 D),0302000K0BBAKAK,2061
Fluticasone/Vilanterol_Inha 184/22mcg30D,0302000V0AAAAAA,2034
Beclomet/Formoterol_Inh 100/6 (120D) Dry,0302000C0AABYBY,2007
Pulmicort_Turbohaler 400mcg (50 D),0302000K0BBAIAH,1902
Soprobec_Inha 100mcg (200 D),0302000C0BTACBF,1712
Fobumix_Easyhaler 160mcg/4.5mcg (120 D),0302000K0BIACAM,1702
Fluticasone/Formoterol_Inh 50/5mcg 120 D,0302000N0AABLBL,1697
Combisal_Inha 50mcg/25mcg (120 D),0302000N0BLAABE,1642
Easyhaler_Budesonide 200mcg (200 D),0302000K0BGABAX,1595
Flixotide_Evohaler 125mcg (120 D),0302000N0BBAXBA,1580
Flixotide_Accuhaler 100mcg (60 D),0302000N0BBASAS,1523
Beclomet/Formoterol_Inh 200/6 (120D) Dry,0302000C0AACACA,1473
Budesonide/Formoterol_Inha200/6(120D)CFF,0302000K0AABBBB,1473
Ciclesonide_Inh 160mcg (60 D) CFF,0302000U0AAACAC,1462
Flixotide_Evohaler 250mcg (120 D),0302000N0BBAZBC,1410
Budesonide_Pdr For Inh 100mcg (200 D),0302000K0AAAKAK,1386
Kelhale_Inha 100mcg (200 D),0302000C0BSABBF,1384
Fluticasone Prop_Pdr For Inh 100mcg(60D),0302000N0AAASAS,1315
Budesonide_Pdr For Inh 400mcg (50 D),0302000K0AAAHAH,1244
Ciclesonide_Inh 160mcg (120 D) CFF,0302000U0AAABAB,1025
Fobumix_Easyhaler 320mcg/9mcg (60 D),0302000K0BIAAAU,1019
Beclomet Diprop_Inha B/A100mcg(200 D)CFF,0302000C0AABHBH,973
Kelhale_Inha 50mcg (200 D),0302000C0BSAABE,826
Flixotide_Accuhaler 250mcg (60 D),0302000N0BBATAT,799
Fluticasone Prop_Pdr For Inh 250mcg(60D),0302000N0AAATAT,743
Fobumix_Easyhaler 160mcg/4.5mcg (60 D),0302000K0BIABBC,731
Budesonide_Inh Soln 1mg/2ml Ud Vl,0302000K0AAAIAI,728
Budesonide_Inh Soln 500mcg/2ml Ud Vl,0302000K0AAAJAJ,717
Fobumix_Easyhaler 80mcg/4.5mcg (120 D),0302000K0BIADAL,577
Aerivio Spiromax_Inh 500/50mcg (60D),0302000N0BHAAAZ,563
Ciclesonide_Inh 80mcg (120 D) CFF,0302000U0AAAAAA,551
Soprobec_Inha 50mcg (200 D),0302000C0BTAABE,547
Flixotide_Accuhaler 50mcg (60 D),0302000N0BBARAR,415
Flixotide_Accuhaler 500mcg (60 D),0302000N0BBAUAU,412
Easyhaler_Budesonide 400mcg (100 D),0302000K0BGACAY,402
Beclomet Diprop_Inha 200mcg (200 D) CFF,0302000C0AABVBV,378
Alvesco 160_Inh 160mcg (60 D) CFF,0302000U0BBACAC,358
Fluticasone Prop_Pdr For Inh 500mcg(60D),0302000N0AAAUAU,351
Pulmicort_Respule 250mcg/ml 2ml Ud,0302000K0BBAJAJ,293
Soprobec_Inha 200mcg (200 D),0302000C0BTABBV,276
Fluticasone Prop_Pdr For Inh 50mcg (60D),0302000N0AAARAR,258
Alvesco 160_Inh 160mcg (120 D) CFF,0302000U0BBABAB,256
Flutiform_K-haler 125/5mcg (120 D),0302000N0BDADBP,203
Fusacomb Easyhaler_Inha 500/50mcg (60 D),0302000N0BKABAZ,201
Alvesco 80_Inh 80mcg (120 D) CFF,0302000U0BBAAAA,195
Pulmicort_Respule 500mcg/ml 2ml Ud,0302000K0BBAGAI,183
Aloflute_Inh 250mcg/25mcg (120D),0302000N0BJABBG,176
Stalpex_Inha 500/50mcg (60 D),0302000N0BMAAAZ,160
Aloflute_Inh 125mcg/25mcg (120D),0302000N0BJAABF,156
Beclomet Diprop_Pdr For Inh 200mcg(200D),0302000C0AABUBU,147
Budesonide_Pdr For Inh 200mcg (100D)+Dev,0302000K0AAAVAV,145
Fluticasone Prop_Inh Soln 500mcg/2ml Ud,0302000N0AAAVAV,141
Budesonide_Pdr For Inh 200mcg (100D) Ref,0302000K0AAAWAW,133
Beclomet Diprop_Inha 250mcg (200 D) CFF,0302000C0AABWBW,111
Fluticasone/Formoterol_InhBA125/5mcg120D,0302000N0AABPBP,107
Flutiform_K-haler 50/5mcg (120 D),0302000N0BDAEBQ,101
Fusacomb Easyhaler_Inha 250/50mcg (60 D),0302000N0BKAAAY,100
Beclomet Diprop_Inha B/A 50mcg(200 D)CFF,0302000C0AABGBG,95
Fluticasone Prop_Inh Soln 2mg/2ml Ud,0302000N0AAAWAW,70
Fluticasone/Formoterol_Inh BA50/5mcg120D,0302000N0AABQBQ,64
Budelin Novolizer_Inh 200mcg 100D Ref,0302000K0BFABAC,56
Mometasone Fur_Pdr For Inh 200mcg (60 D),0302000R0AAABAB,54
Budelin Novolizer_Inh 200mcg (100 D),0302000K0BFAAAV,53
Asmanex Twisthaler_D/P Inh 200mcg (60 D),0302000R0BBABAB,53
Mometasone Fur_Pdr For Inh 400mcg (60 D),0302000R0AAADAD,49
Mometasone Fur_Pdr For Inh 400mcg (30 D),0302000R0AAACAC,43
Flixotide_Nebules 500mcg/2ml Ud,0302000N0BBAVAV,42
Asmanex Twisthaler_D/P Inh 400mcg (60 D),0302000R0BBADAD,24
Flixotide_Nebules 2mg/2ml Ud,0302000N0BBAWAW,21
Asmanex Twisthaler_D/P Inh 200mcg (30 D),0302000R0BBAAAA,21
Asmanex Twisthaler_D/P Inh 400mcg (30 D),0302000R0BBACAC,20
Soprobec_Inha 250mcg (200 D),0302000C0BTADBW,20
Mometasone Fur_Pdr For Inh 200mcg (30 D),0302000R0AAAAAA,17
Beclomet Diprop_Inha 100mcg (200D),0302000C0AAABAB,5
Beclomet Diprop_Inha 200mcg (200D),0302000C0AAARAR,1
