year,bnfcode,bnfname,total_items,total_qty,actual_cost
2015,0410030A0BEACAI,Gabup_Tab Subling 1mg                   ,1,14,3.72
2019,0410030A0AAACAC,Buprenorphine_Tab Subling 400mcg S/F,173,5647,1214.1925999999999
2018,0410030A0BBABAD,Subutex_Tab Subling 2mg,510,11973,10162.31216
2015,0410030A0BBAAAC,Subutex_Tab Subling 400mcg              ,762,25980,5575.790000000001
2013,0410030A0AAACAC,Buprenorphine_Tab Subling 400mcg S/F    ,298,10078,2151.3500000000004
2014,0410030A0AAAEAE,Buprenorphine_Tab Subling 8mg S/F       ,4236,58754,34629.02000000002
2011,0410030A0AAAAAA,Acamprosate Calc_Tab E/C 333mg          ,11,1848,243.57999999999998
2012,0410030A0BBACAE,Subutex_Tab Subling 8mg                 ,3786,65688,165281.06999999995
2018,0410030A0AAALAL,Buprenorphine_Oral Lyophilisate 2mg S/F,1,14,11.9364
2018,0410030A0AAADAD,Buprenorphine_Tab Subling 2mg S/F,9319,234282,119787.57616000003
2018,0410030A0BBACAE,Subutex_Tab Subling 8mg,502,10263,26070.25816
2016,0410030A0BCACAE,Prefibin_Tab Subling 8mg                ,1,14,30.0
