bnf_code,name,vpid,form,form_indicator,form_size,form_units,unit_of_measure,numerator,numerator_unit_of_measure,denominator,denominator_unit_of_measure,ingredient_count
0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,39,mg,1,ml,3
0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,3
0101010L0BEACA0,Maalox Plus chewable tablets,4934111000001104,Chewable tablet,Discrete,1,tablet,tablet,25,mg,,,3
0101010L0BEACA0,Maalox Plus chewable tablets,4934111000001104,Chewable tablet,Discrete,1,tablet,tablet,200,mg,,,3
0101010L0BGACA0,Wind Relief chewable tablets,11772311000001108,Chewable tablet,Discrete,1,tablet,tablet,25,mg,,,3
0101010L0BGACA0,Wind Relief chewable tablets,11772311000001108,Chewable tablet,Discrete,1,tablet,tablet,164,mg,,,3
0101010L0BGACA0,Wind Relief chewable tablets,11772311000001108,Chewable tablet,Discrete,1,tablet,tablet,351,mg,,,3
0101010L0BHAAA0,Actonorm gel,12563411000001101,Oral suspension,Discrete,5,ml,spoonful,5,mg,1,ml,3
0101010L0BHAAA0,Actonorm gel,12563411000001101,Oral suspension,Discrete,5,ml,spoonful,40,mg,1,ml,3
0101010L0BHAAA0,Actonorm gel,12563411000001101,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,3
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,50,mg,1,gram,7
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,100,microgram,1,gram,7
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,145,mg,1,gram,7
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,373,mg,1,gram,7
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,381.4,mg,1,gram,7
0101010L0BHABA0,Actonorm oral powder,8087511000001102,Powder,Continuous,,,,500,microgram,1,gram,7
0101010N0AAAAAA,Antacid & Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,2,mg,1,ml,3
0101010N0AAAAAA,Antacid & Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,20,mg,1,ml,3
0101010N0AAAAAA,Antacid & Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,40,mg,1,ml,3
0101010N0AAABAB,Antacid and Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,2,mg,1,ml,3
0101010N0AAABAB,Antacid and Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,20,mg,1,ml,3
0101010N0AAABAB,Antacid and Oxetacaine oral suspension,10147111000001108,Oral suspension,Continuous,,,,40,mg,1,ml,3
0101010P0AAAAAA,Co-simalcite 125mg/500mg/5ml oral suspension sugar free,3336211000001108,Oral suspension,Discrete,5,ml,spoonful,25,mg,1,ml,2
0101010P0AAAAAA,Co-simalcite 125mg/500mg/5ml oral suspension sugar free,3336211000001108,Oral suspension,Discrete,5,ml,spoonful,100,mg,1,ml,2
0101010P0BBAAAA,Altacite Plus oral suspension,3336211000001108,Oral suspension,Discrete,5,ml,spoonful,25,mg,1,ml,2
0101010P0BBAAAA,Altacite Plus oral suspension,3336211000001108,Oral suspension,Discrete,5,ml,spoonful,100,mg,1,ml,2
0101010Q0AAABAB,Magnesium hydroxide 300mg chewable tablets,4623411000001107,Chewable tablet,Discrete,1,tablet,tablet,300,mg,,,1
0101010Q0AAAGAG,Magnesium hydroxide 7.45-8.35% oral suspension BP,34309111000001101,Oral suspension,Discrete,5,ml,spoonful,79,mg,1,ml,1
0101010Q0BCAAAB,Cream of Magnesia 300mg chewable tablets,4623411000001107,Chewable tablet,Discrete,1,tablet,tablet,300,mg,,,1
0101010Q0BDACAA,Phillips' Milk of Magnesia 415mg/5ml oral suspension,34309111000001101,Oral suspension,Discrete,5,ml,spoonful,79,mg,1,ml,1
0101010Q0BDAFAB,Phillips' Milk of Magnesia 300mg chewable tablets,4623411000001107,Chewable tablet,Discrete,1,tablet,tablet,300,mg,,,1
0101010R0AAAAAA,Simeticone 100mg capsules,3973511000001105,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010R0AAABAB,Simeticone 40mg/ml oral suspension sugar free,316968007,Oral suspension,Continuous,,,,40,mg,1,ml,1
0101010R0AAADAD,Simeticone 42mg/5ml oral drops,347779008,Oral drops,Continuous,,,,8.4,mg,1,ml,1
0101010R0AAAEAE,Simeticone 125mg chewable tablets,4623811000001109,Chewable tablet,Discrete,1,tablet,tablet,125,mg,,,1
0101010R0AAAGAG,Simeticone 66.7mg/ml oral drops sugar free,398729006,Oral drops,Continuous,,,,66.7,mg,1,ml,1
0101010R0AAAHAH,Simeticone 125mg capsules,4623711000001101,Capsule,Discrete,1,capsule,capsule,125,mg,,,1
0101010R0BBAAAA,Asilone Windcheaters 100mg capsules,3973511000001105,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010R0BCAAAB,Infacol 40mg/ml oral suspension,316968007,Oral suspension,Continuous,,,,40,mg,1,ml,1
0101010R0BEAAAD,Dentinox Infant colic drops,347779008,Oral drops,Continuous,,,,8.4,mg,1,ml,1
0101010R0BFAAAE,Wind-eze 125mg chewable tablets,4623811000001109,Chewable tablet,Discrete,1,tablet,tablet,125,mg,,,1
0101010R0BFABAH,Wind-eze 125mg gel caps,4623711000001101,Capsule,Discrete,1,capsule,capsule,125,mg,,,1
0101010R0BGAAAG,Woodward's colic drops,398729006,Oral drops,Continuous,,,,66.7,mg,1,ml,1
0101010R0BHAAAA,WindSetlers 100mg capsules,3973511000001105,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010S0AAAAAA,Calcium carbonate 800mg / Simeticone 125mg chewable tablets,4999511000001101,Chewable tablet,Discrete,1,tablet,tablet,125,mg,,,2
0101010S0AAAAAA,Calcium carbonate 800mg / Simeticone 125mg chewable tablets,4999511000001101,Chewable tablet,Discrete,1,tablet,tablet,800,mg,,,2
0101010S0BBAAAA,Remegel Wind Relief chewable tablets,4999511000001101,Chewable tablet,Discrete,1,tablet,tablet,125,mg,,,2
0101010S0BBAAAA,Remegel Wind Relief chewable tablets,4999511000001101,Chewable tablet,Discrete,1,tablet,tablet,800,mg,,,2
0101010T0BBAAA0,Original Andrews Salts effervescent powder,8043411000001101,Effervescent powder,Continuous,,,,174,mg,1,gram,3
0101010T0BBAAA0,Original Andrews Salts effervescent powder,8043411000001101,Effervescent powder,Continuous,,,,195,mg,1,gram,3
0101010T0BBAAA0,Original Andrews Salts effervescent powder,8043411000001101,Effervescent powder,Continuous,,,,226,mg,1,gram,3
0101010T0BCAAA0,Boots Effervescent Health Salts,8043411000001101,Effervescent powder,Continuous,,,,174,mg,1,gram,3
0101010T0BCAAA0,Boots Effervescent Health Salts,8043411000001101,Effervescent powder,Continuous,,,,195,mg,1,gram,3
0101010T0BCAAA0,Boots Effervescent Health Salts,8043411000001101,Effervescent powder,Continuous,,,,226,mg,1,gram,3
0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution,18411511000001103,Oral solution,Continuous,,,,88.23,mg,1,ml,1
0101010U0BBAAAA,Sodium citrate 0.3M oral solution,18411511000001103,Oral solution,Continuous,,,,88.23,mg,1,ml,1
0101012A0AAAAAA,Sodium bicarbonate 52.5mg/5ml / Terpeneless dill seed oil 2.3mg/5ml oral solution sugar free,4482211000001105,Oral solution,Discrete,5,ml,spoonful,10.5,mg,1,ml,2
0101012A0AAAAAA,Sodium bicarbonate 52.5mg/5ml / Terpeneless dill seed oil 2.3mg/5ml oral solution sugar free,4482211000001105,Oral solution,Discrete,5,ml,spoonful,460,microgram,1,ml,2
0101012A0BBAAAA,Woodward's gripe water,4482211000001105,Oral solution,Discrete,5,ml,spoonful,10.5,mg,1,ml,2
0101012A0BBAAAA,Woodward's gripe water,4482211000001105,Oral solution,Discrete,5,ml,spoonful,460,microgram,1,ml,2
0101012A0BDABA0,Children's 1 Month Plus Gripe mixture,11763711000001107,Oral solution,Discrete,5,ml,spoonful,10,mg,1,ml,1
0101012A0BEAAA0,Neo Baby Gripe mixture,8078911000001100,Oral solution,Discrete,5,ml,spoonful,2,microlitre,1,ml,3
0101012A0BEAAA0,Neo Baby Gripe mixture,8078911000001100,Oral solution,Discrete,5,ml,spoonful,10,mg,1,ml,3
0101012A0BEAAA0,Neo Baby Gripe mixture,8078911000001100,Oral solution,Discrete,5,ml,spoonful,500,nanolitre,1,ml,3
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,16596711000001103,Oral solution,Continuous,,,,84,mg,1,ml,1
0101012B0AAAEAE,Soda Mint orodispersible tablets,5146111000001100,Orodispersible tablet,Discrete,1,tablet,tablet,300,mg,,,1
0101012B0AAAEAE,Sodium bicarbonate compound orodispersible tablets,5146111000001100,Orodispersible tablet,Discrete,1,tablet,tablet,300,mg,,,1
0101012B0AAALAL,Sodium bicarbonate mixture paediatric,34194511000001100,Oral solution,Continuous,,,,10,gram,1,litre,5
0101012B0AAALAL,Sodium bicarbonate mixture paediatric,34194511000001100,Oral solution,Continuous,,,,20,ml,1,litre,5
0101012B0AAALAL,Sodium bicarbonate mixture paediatric,34194511000001100,Oral solution,Continuous,,,,40,ml,1,litre,5
0101012B0AAALAL,Sodium bicarbonate mixture paediatric,34194511000001100,Oral solution,Continuous,,,,370,ml,1,litre,5
0101012B0AAALAL,Sodium bicarbonate mixture paediatric,34194511000001100,Oral solution,Continuous,,,,500,ml,1,litre,5
0101012B0AAAPAP,Sodium bicarbonate powder,326596005,Powder,Continuous,,,,1,mg,1,mg,1
0101012B0AAATAT,Sodium bicarbonate 4.2g oral powder sachets,8818411000001103,Powder,Discrete,1,sachet,sachet,4.2,gram,,,1
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,8722611000001107,Oral solution,Continuous,,,,84,mg,1,ml,1
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,16596711000001103,Oral solution,Continuous,,,,84,mg,1,ml,1
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,14058411000001108,Oral suspension,Continuous,,,,84,mg,1,ml,1
0101012B0AAAVAV,Sodium bicarbonate 210mg/5ml oral solution,8722411000001109,Oral solution,Continuous,,,,42,mg,1,ml,1
0101012B0AAAWAW,Sodium bicarbonate 1g/5ml oral suspension,8722311000001102,Oral suspension,Continuous,,,,200,mg,1,ml,1
0101012B0AAAYAY,Sodium bicarbonate 425mg/5ml oral solution,13083711000001102,Oral solution,Continuous,,,,85,mg,1,ml,1
0101012B0AAAYAY,Sodium bicarbonate 425mg/5ml oral suspension,13083811000001105,Oral suspension,Continuous,,,,85,mg,1,ml,1
0101012B0AAAZAZ,Sodium bicarbonate 333mg/5ml oral solution,8722511000001108,Oral solution,Continuous,,,,66.6,mg,1,ml,1
0101012B0AABABA,Sodium bicarbonate 500mg/5ml oral solution,13084111000001101,Oral solution,Continuous,,,,100,mg,1,ml,1
0101012B0AABABA,Sodium bicarbonate 500mg/5ml oral suspension,13084211000001107,Oral suspension,Continuous,,,,100,mg,1,ml,1
0101012B0AABBBB,Sodium bicarbonate 293mg/5ml oral solution,13082911000001107,Oral solution,Continuous,,,,58.6,mg,1,ml,1
0101012B0AABBBB,Sodium bicarbonate 293mg/5ml oral suspension,13083011000001104,Oral suspension,Continuous,,,,58.6,mg,1,ml,1
0101012B0AABDBD,Sodium bicarbonate 70mg/5ml oral solution,13084811000001108,Oral solution,Continuous,,,,14,mg,1,ml,1
0101012B0AABDBD,Sodium bicarbonate 70mg/5ml oral suspension,13084911000001103,Oral suspension,Continuous,,,,14,mg,1,ml,1
0101012B0AABEBE,Sodium bicarbonate 290mg/5ml oral solution,13082511000001100,Oral solution,Continuous,,,,58,mg,1,ml,1
0101012B0AABEBE,Sodium bicarbonate 290mg/5ml oral suspension,13082611000001101,Oral suspension,Continuous,,,,58,mg,1,ml,1
0101012B0AABFBF,Sodium bicarbonate 252mg/5ml oral solution,13082311000001106,Oral solution,Continuous,,,,50.4,mg,1,ml,1
0101012B0AABFBF,Sodium bicarbonate 252mg/5ml oral suspension,13082411000001104,Oral suspension,Continuous,,,,50.4,mg,1,ml,1
0101012B0AABGBG,Sodium bicarbonate 168mg/5ml oral solution,13081511000001108,Oral solution,Continuous,,,,33.6,mg,1,ml,1
0101012B0AABGBG,Sodium bicarbonate 168mg/5ml oral suspension,13081611000001107,Oral suspension,Continuous,,,,33.6,mg,1,ml,1
0101012B0AABHBH,Sodium bicarbonate 100mg/5ml oral solution,8722211000001105,Oral solution,Continuous,,,,20,mg,1,ml,1
0101012B0AABIBI,Sodium bicarbonate 588mg/5ml oral solution,13084611000001109,Oral solution,Continuous,,,,117.6,mg,1,ml,1
0101012B0AABIBI,Sodium bicarbonate 588mg/5ml oral suspension,13084711000001100,Oral suspension,Continuous,,,,117.6,mg,1,ml,1
0101012B0AABJBJ,Sodium bicarbonate 40mg/5ml oral solution,13083511000001107,Oral solution,Continuous,,,,8,mg,1,ml,1
0101012B0AABJBJ,Sodium bicarbonate 40mg/5ml oral suspension,13083611000001106,Oral suspension,Continuous,,,,8,mg,1,ml,1
0101012B0AABKBK,Sodium bicarbonate 292mg/5ml oral solution,13082711000001105,Oral solution,Continuous,,,,58.4,mg,1,ml,1
0101012B0AABKBK,Sodium bicarbonate 292mg/5ml oral suspension,13082811000001102,Oral suspension,Continuous,,,,58.4,mg,1,ml,1
0101012B0AABLBL,Sodium bicarbonate 20mg/5ml oral solution,13081911000001101,Oral solution,Continuous,,,,4,mg,1,ml,1
0101012B0AABLBL,Sodium bicarbonate 20mg/5ml oral suspension,13082011000001108,Oral suspension,Continuous,,,,4,mg,1,ml,1
0101012B0AABMBM,Sodium bicarbonate 336mg/5ml oral solution,13083311000001101,Oral solution,Continuous,,,,67.2,mg,1,ml,1
0101012B0AABMBM,Sodium bicarbonate 336mg/5ml oral suspension,13083411000001108,Oral suspension,Continuous,,,,67.2,mg,1,ml,1
0101012B0AABNBN,Sodium bicarbonate 250mg/5ml oral solution,13082111000001109,Oral solution,Continuous,,,,50,mg,1,ml,1
0101012B0AABNBN,Sodium bicarbonate 250mg/5ml oral suspension,13082211000001103,Oral suspension,Continuous,,,,50,mg,1,ml,1
0101012B0AABPBP,Sodium bicarbonate 10mg/5ml oral solution,13081311000001102,Oral solution,Continuous,,,,2,mg,1,ml,1
0101012B0AABPBP,Sodium bicarbonate 10mg/5ml oral suspension,13081411000001109,Oral suspension,Continuous,,,,2,mg,1,ml,1
0101012B0AABQBQ,Sodium bicarbonate 45mg/5ml oral solution,13083911000001100,Oral solution,Continuous,,,,9,mg,1,ml,1
0101012B0AABQBQ,Sodium bicarbonate 45mg/5ml oral suspension,13084011000001102,Oral suspension,Continuous,,,,9,mg,1,ml,1
0101012B0AABRBR,Sodium bicarbonate 2.1g/5ml oral solution,13081711000001103,Oral solution,Continuous,,,,420,mg,1,ml,1
0101012B0AABRBR,Sodium bicarbonate 2.1g/5ml oral suspension,13081811000001106,Oral suspension,Continuous,,,,420,mg,1,ml,1
0101012B0AABSBS,Sodium bicarbonate 50mg/5ml oral suspension,13084311000001104,Oral suspension,Continuous,,,,10,mg,1,ml,1
0101012B0AABTBT,Sodium bicarbonate 300mg/5ml oral solution,13083111000001103,Oral solution,Continuous,,,,60,mg,1,ml,1
0101012B0AABTBT,Sodium bicarbonate 300mg/5ml oral suspension,13083211000001109,Oral suspension,Continuous,,,,60,mg,1,ml,1
0101012B0AABUBU,Sodium bicarbonate 52.5mg/5ml oral solution,13084411000001106,Oral solution,Continuous,,,,10.5,mg,1,ml,1
0101012B0AABUBU,Sodium bicarbonate 52.5mg/5ml oral suspension,13084511000001105,Oral suspension,Continuous,,,,10.5,mg,1,ml,1
0101012B0AABWBW,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,8722611000001107,Oral solution,Continuous,,,,84,mg,1,ml,1
0101012B0AABXBX,Sodium bicarbonate 50mg/5ml oral solution,8024911000001108,Oral solution,Discrete,5,ml,spoonful,10,mg,1,ml,1
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution,16596711000001103,Oral solution,Continuous,,,,84,mg,1,ml,1
0101012B0BDAABV,Bell's Baby Gripe mixture,8024911000001108,Oral solution,Discrete,5,ml,spoonful,10,mg,1,ml,1
0101012B0BEAABV,Nurse Harveys Gripe mixture,8024911000001108,Oral solution,Discrete,5,ml,spoonful,10,mg,1,ml,1
