,bnf_name,bnf_code,form_route
21,Spiriva_Pdr For Inh Cap 18mcg,0301020Q0BBABAB,powderinhalation.inhalation
22,Sirdupla_Inh 125mcg/25mcg (120D),0302000N0BFAABF,pressurizedinhalation.inhalation
23,Fluticasone Prop_Inha 50mcg (120 D) CFF,0302000N0AABHBH,pressurizedinhalation.inhalation
24,Beclomet Diprop_Inha 50mcg (200D),0302000C0AAAAAA,pressurizedinhalation.inhalation
25,Berotec 200_Inha 200mcg (200 D),0301011F0BBACAA,pressurizedinhalation.inhalation
26,Fostair NEXThaler_Inh 200mcg/6mcg (120D),0302000C0BRABCA,powderinhalation.inhalation
27,Atimos Modulite_Inh 12mcg (100D),0301011E0BDAAAD,pressurizedinhalation.inhalation
28,Clenil Modulite_Inha 200mcg (200D),0302000C0BPACBV,pressurizedinhalation.inhalation
29,Easyhaler_Salbutamol Sulf 200mcg (200D),0301011R0BWABCA,powderinhalation.inhalation
30,Budesonide_Pdr For Inh 200mcg (100D) Ref,0302000K0AAAWAW,powderinhalation.inhalation
31,Foradil_Inh Cap 12mcg + Inha,0301011E0BBAAAA,powderinhalation.inhalation
32,Bronchitol_Pdr Inh Cap 40mg + 2 Dev,0307000R0BBAAAA,powderinhalation.inhalation
33,Budesonide/Formoterol_Inha200/6(120D)CFF,0302000K0AABBBB,pressurizedinhalation.inhalation
34,Gppe Inha B/A_Duovent (200 D),0301040M0AAACAC,pressurizedinhalation.inhalation
35,Fluticasone Prop_Pdr For Inh 100mcg(60D),0302000N0AAASAS,powderinhalation.inhalation
36,Seretide 50_Evohaler 50mcg/25mcg (120 D),0302000N0BCADBE,pressurizedinhalation.inhalation
37,Aerobec Fte 250_Autohaler (200 D),0302000C0BEABAU,pressurizedinhalation.inhalation
38,Bronchitol_Pdr Inh Cap 40mg + 2 Dev,0307000R0BBAAAA,powderinhalation.inhalation
39,Pulmicort_Inha 100mcg (120 D) CFF,0302000K0BBAMAZ,pressurizedinhalation.inhalation
40,Fluticasone Prop_Pdr Inh 250mcg Disk+Dev,0302000N0AAAEAE,powderinhalation.inhalation
41,Tiotropium_Pdr For Inh Cap 10mcg + Dev,0301020Q0AAADAD,powderinhalation.inhalation
42,Salmeterol_Pdr For Inh 50mcg + Ref,0301011U0AAABAB,powderinhalation.inhalation
43,Beclomet Diprop_Inha B/A 50mcg (200 D),0302000C0AAASAS,pressurizedinhalation.inhalation
44,Fluticasone Prop_Pdr Inh 250mcg Disk Ref,0302000N0AAAFAF,powderinhalation.inhalation
45,Primatene_Mist Inha 220mcg (300 D),0301012A0BCABAB,pressurizedinhalation.inhalation
46,Budesonide/Formoterol_InhaB/A 200/6(120D,0302000K0AAAMAM,powderinhalation.inhalation
47,Fluticasone Prop_Pdr For Inh 50mcg (60D),0302000N0AAARAR,powderinhalation.inhalation
48,Beclomet Diprop_Inha 250mcg (200 D) CFF,0302000C0AABWBW,pressurizedinhalation.inhalation
49,Spiolto Respimat_Inha2.5/2.5mcg(60D)+Dev,0301040X0BBAAAA,pressurizedinhalation.inhalation
50,Beclomet Diprop_Inha B/A 50mcg(200 D)CFF,0302000C0AABGBG,pressurizedinhalation.inhalation
51,Fluticasone Prop_Pdr For Inh 500mcg(60D),0302000N0AAAUAU,powderinhalation.inhalation
52,Asmavent_Inha 100mcg (200D),0301011R0BYAAAP,pressurizedinhalation.inhalation
53,Salbutamol_Pdr For Inh Cap 200mcg,0301011R0AAAVAV,powderinhalation.inhalation
54,Beclomet Diprop_Pdr Inh 400mcg Disk Ref,0302000C0AAAQAQ,powderinhalation.inhalation
55,Flixotide_Disk 500mcg & Diskhaler,0302000N0BBAPAP,powderinhalation.inhalation
56,Pulmicort_Turbohaler 400mcg (50 D),0302000K0BBAIAH,powderinhalation.inhalation
57,Salbutamol_Pdr For Inh 400mcg Disk + Dev,0301011R0AAAJAJ,powderinhalation.inhalation
58,Fluticasone Prop_Inha 125mcg (120 D) CFF,0302000N0AABABA,pressurizedinhalation.inhalation
59,Easyhaler_Salbutamol Sulf 100mcg (200D),0301011R0BWAABZ,powderinhalation.inhalation
60,Symbicort_Turbohaler 400mcg/12mcg (60 D),0302000K0BDACAU,powderinhalation.inhalation
61,Fluticasone Prop_Inha 50mcg (120 D) CFF,0302000N0AABHBH,pressurizedinhalation.inhalation
62,Tiotropium_Inha 2.5mcg (60D) CFF + Dev,0301020Q0AAACAC,pressurizedinhalation.inhalation
63,Braltus_Pdr For Inh Cap 10mcg+Zonda Inh,0301020Q0BCAAAD,powderinhalation.inhalation
64,Serevent_Evohaler 25mcg (120 D),0301011U0BBAFAH,pressurizedinhalation.inhalation
65,Budelin Novolizer_Inh 200mcg 100D Ref,0302000K0BFABAC,powderinhalation.inhalation
66,Intal_Inha 5mg (112 D),0303010Q0BBAFAB,pressurizedinhalation.inhalation
67,Spiriva Respimat_Inha 2.5mcg (60D) + Dev,0301020Q0BBACAC,pressurizedinhalation.inhalation
68,Striverdi Respimat_Inha 2.5mcg (60D)+Dev,0301011Z0BBAAAA,pressurizedinhalation.inhalation
69,Salbutamol_Inha 100mcg (200 D),0301011R0AAAAAA,pressurizedinhalation.inhalation
70,Beclometasone 100 Cyclocaps_Cap 100mcg,0302000C0BMAAAE,powderinhalation.inhalation
71,Incruse Ellipta_Inh 55mcg (30D),0301020T0BBAAAA,powderinhalation.inhalation
72,DuoResp Spiromax_Inh 320mcg/9mcg (60 D),0302000K0BHABAU,powderinhalation.inhalation
73,Flixotide_Accuhaler 50mcg (60 D),0302000N0BBARAR,powderinhalation.inhalation
74,Easyhaler_Salbutamol Sulf 200mcg (200D),0301011R0BWABCA,powderinhalation.inhalation
75,Anoro Ellipta_Inha 55mcg/22mcg (30D),0301040W0BBAAAA,powderinhalation.inhalation
76,Berodual N_Inha 50mcg/20mcg (200 D),0301040M0BCABAD,pressurizedinhalation.inhalation
77,Budesonide_Inha 100mcg (120 D) CFF,0302000K0AAAZAZ,pressurizedinhalation.inhalation
78,Beclomet Diprop_Pdr For Inh Cap 200mcg,0302000C0AAAFAF,powderinhalation.inhalation
79,Formoterol Fumar_Inh 12mcg (100D) CFF,0301011E0AAADAD,pressurizedinhalation.inhalation
80,Beclomet Diprop_Inha 200mcg (200D),0302000C0AAARAR,pressurizedinhalation.inhalation
81,Fobumix_Easyhaler 80mcg/4.5mcg (120 D),0302000K0BIADAL,powderinhalation.inhalation
82,Seretide 250_Accuhaler 250mcg/50mcg(60D),0302000N0BCABAY,powderinhalation.inhalation
83,Pulmicort_Turbohaler 400mcg (50 D),0302000K0BBAIAH,powderinhalation.inhalation
84,Pulmicort_Turbohaler 200mcg (100 D),0302000K0BBAHAG,powderinhalation.inhalation
85,Symbicort_Inh 200mcg/6mcg (120 D),0302000K0BDADBB,pressurizedinhalation.inhalation
86,Duovent_Inha (200 D),0301040M0BBAAAA,pressurizedinhalation.inhalation
87,Flixotide_Disk 50mcg & Diskhaler,0302000N0BBAAAA,powderinhalation.inhalation
88,Asmabec Clickhaler_D/P Inh 250mcg(100 D),0302000C0BIAFBK,powderinhalation.inhalation
89,Atrovent Aerocaps_Cap 40mcg + Aerohaler,0301020I0BBAHAH,powderinhalation.inhalation
90,Duaklir Genuair_340mcg/12mcg (60D),0301040V0BBAAAA,powderinhalation.inhalation
91,Serevent_Disk 50mcg Ref,0301011U0BBABAB,powderinhalation.inhalation
92,Qvar 100 E-Breathe_Inha 100mcg (200 D),0302000C0BJAFBH,pressurizedinhalation.inhalation
93,Budesonide/Formoterol Inh B/A 400/12(60D,0302000K0AAAUAU,powderinhalation.inhalation
94,Flixotide_Evohaler 250mcg (120 D),0302000N0BBAZBC,pressurizedinhalation.inhalation
95,Beclazone 100_Inha 100mcg (200 D),0302000C0BFABAB,pressurizedinhalation.inhalation
96,Fluticasone Prop_Pdr Inh 50mcg Disk+Dev,0302000N0AAAAAA,powderinhalation.inhalation
97,Spiriva Respimat_Inha 2.5mcg (60D)+ Dev,0301020Q0BBACAC,pressurizedinhalation.inhalation
98,Formoterol Fumar_Pdr For Inh 12mcg(60 D,0301011E0AAACAC,powderinhalation.inhalation
99,Alvesco 80_Inh 80mcg (120 D) CFF,0302000U0BBAAAA,pressurizedinhalation.inhalation
100,AirFluSal Forspiro_Inh 500/50mcg (60D),0302000N0BGAAAZ,powderinhalation.inhalation
101,Atrovent_Inha 20mcg (200 D) CFF,0301020I0BBAJAN,pressurizedinhalation.inhalation
102,Tiotropium_Pdr For Inh Cap 10mcg + Dev,0301020Q0AAADAD,powderinhalation.inhalation
103,Terbut Sulph_Inha 250mcg (400 D),0301011V0AAAAAA,pressurizedinhalation.inhalation
104,Beclomet Diprop_Inha B/A 400mcg (100 D),0302000C0AABSBS,powderinhalation.inhalation
105,Beclazone 50 E-Breathe_Inha 50mcg (200D),0302000C0BFADAS,pressurizedinhalation.inhalation
106,Fluticasone Prop_Inha 250mcg (120 D) CFF,0302000N0AABCBC,pressurizedinhalation.inhalation
107,Symbicort_Inh Pressurised 200/6mcg(120D),0302000K0BDADBB,pressurizedinhalation.inhalation
108,Becotide 100_Inha 100mcg (200 D),0302000C0BCAHAB,pressurizedinhalation.inhalation
109,Flixotide_Disk 250mcg Ref,0302000N0BBAFAF,powderinhalation.inhalation
110,Flixotide_Disk 100mcg & Diskhaler,0302000N0BBACAC,powderinhalation.inhalation
111,Easyhaler_Salbutamol Sulph 200mcg (200D),0301011R0BWABCA,powderinhalation.inhalation
112,Fluticasone Prop_Pdr Inh 500mcg Disk Ref,0302000N0AAAQAQ,powderinhalation.inhalation
113,Terbut Sulf_B/A Inha 500mcg (100 D),0301011V0AAALAL,powderinhalation.inhalation
114,Budesonide_Inha 50mcg (200 D),0302000K0AAAAAA,pressurizedinhalation.inhalation
115,Beclazone 50 E-Breathe_Inha 50mcg(200 D),0302000C0BFADAS,pressurizedinhalation.inhalation
116,Flixotide_Evohaler 50mcg (120 D),0302000N0BBBBBH,pressurizedinhalation.inhalation
117,Salbutamol_Inha 100mcg (200 D) CFF,0301011R0AAAPAP,pressurizedinhalation.inhalation
118,Indacaterol Mal_Pdr Inh Cap 150mcg + Dev,0301011X0AAAAAA,powderinhalation.inhalation
119,Budesonide_Inha 200mcg (120 D) CFF,0302000K0AABABA,pressurizedinhalation.inhalation
120,Asmabec Clickhaler_D/P Inh 50mcg (200 D),0302000C0BIADBI,powderinhalation.inhalation
121,Serevent_Accuhaler 50mcg (60 D),0301011U0BBAEAE,powderinhalation.inhalation
122,Sirdupla_Inh 125mcg/25mcg (120D),0302000N0BFAABF,pressurizedinhalation.inhalation
123,Eklira_Inh 322mcg (60D) (Genuair),0301020R0BBAAAA,powderinhalation.inhalation
124,AirSalb_Inha 100mcg (200 D) CFF,0301011R0BZAAAP,pressurizedinhalation.inhalation
125,Olodaterol_Inha 2.5mcg (60D) CFF + Dev,0301011Z0AAAAAA,pressurizedinhalation.inhalation
126,Fluticasone Prop_Pdr Inh 100mcg Disk+Dev,0302000N0AAACAC,powderinhalation.inhalation
127,Ciclesonide_Inh 80mcg (120 D) CFF,0302000U0AAAAAA,pressurizedinhalation.inhalation
128,Fobumix_Easyhaler 160mcg/4.5mcg (60 D),0302000K0BIABBC,powderinhalation.inhalation
129,Salbutamol_Inha 100mcg (200 D),0301011R0AAAAAA,pressurizedinhalation.inhalation
130,Aloflute_Inh 250mcg/25mcg (120D),0302000N0BJABBG,pressurizedinhalation.inhalation
131,Beclomet Diprop_Inha B/A 250mcg (200 D),0302000C0AAAUAU,pressurizedinhalation.inhalation
132,Beclomet/Formoterol_Inh 200/6 (120D) CFF,0302000C0AABZBZ,pressurizedinhalation.inhalation
133,Fluticasone/Formoterol_Inh 50/5mcg 120 D,0302000N0AABLBL,pressurizedinhalation.inhalation
134,Easyhaler_Budesonide 200mcg (200 D),0302000K0BGABAX,powderinhalation.inhalation
135,Budesonide/Formoterol Inh 200/6(120D)CFF,0302000K0AABBBB,pressurizedinhalation.inhalation
136,Mometasone Fur_Pdr For Inh 400mcg (30 D),0302000R0AAACAC,powderinhalation.inhalation
137,Serevent_Disk 50mcg Ref,0301011U0BBABAB,powderinhalation.inhalation
138,Intal_Spincap 20mg,0303010Q0BBACAD,powderinhalation.inhalation
139,Beclazone 200_Inha 200mcg (200 D),0302000C0BFAGAR,pressurizedinhalation.inhalation
140,Neovent_Inha 25mcg (120 D) CFF,0301011U0BDAAAH,pressurizedinhalation.inhalation
141,Salbutamol_Pdr For Inh 200mcg (100 D),0301011R0AABYBY,powderinhalation.inhalation
142,Beclomet Diprop_Pdr Inh 400mcg Disk+Dev,0302000C0AAAJAJ,powderinhalation.inhalation
143,Becodisks_Disk 200mcg Ref,0302000C0BHADAK,powderinhalation.inhalation
144,Relvar Ellipta_Inha 92mcg/22mcg (30 D),0302000V0BBABAB,powderinhalation.inhalation
145,Salbutamol_Inha B/A 100mcg (200 D) CFF,0301011R0AABUBU,pressurizedinhalation.inhalation
146,Duaklir Genuair_340mcg/12mcg (60D),0301040V0BBAAAA,powderinhalation.inhalation
147,Oxis 12_Turbohaler 12mcg (60 D),0301011E0BCABAC,powderinhalation.inhalation
148,Foradil_Inh Cap 12mcg + Inha,0301011E0BBAAAA,powderinhalation.inhalation
149,Pulvinal Salbutamol_Inh 200mcg (100 D),0301011R0BTAABX,powderinhalation.inhalation
150,Becotide 200_Inha 200mcg (200 D),0302000C0BCAQAR,pressurizedinhalation.inhalation
151,Clenil Modulite_Inha 100mcg (200D),0302000C0BPABBF,pressurizedinhalation.inhalation
152,Flixotide_Accuhaler 100mcg (60 D),0302000N0BBASAS,powderinhalation.inhalation
153,Budelin Novolizer_Inh 200mcg 100D Ref,0302000K0BFABAC,powderinhalation.inhalation
154,Bricanyl_Turbohaler 500mcg (100 D),0301011V0BBAMAL,powderinhalation.inhalation
155,Sirdupla_Inh 250mcg/25mcg (120D),0302000N0BFABBG,pressurizedinhalation.inhalation
156,Relvar Ellipta_Inha 184mcg/22mcg (30 D),0302000V0BBAAAA,powderinhalation.inhalation
157,Pulmicort_Turbohaler 200mcg (100 D),0302000K0BBAHAG,powderinhalation.inhalation
158,Salbutamol_Pdr For Inh 100mcg (200 D),0301011R0AABZBZ,powderinhalation.inhalation
159,Budelin Novolizer_Inh 200mcg (100 D),0302000K0BFAAAV,powderinhalation.inhalation
160,Terbut Sulf_Inha 250mcg (400 D) + Spac,0301011V0AAAFAF,pressurizedinhalation.inhalation
161,Atrovent_Autohaler 20mcg (200 D),0301020I0BBAGAG,pressurizedinhalation.inhalation
162,Becloforte_Disk 400mcg & Diskhaler,0302000C0BBACAJ,powderinhalation.inhalation
163,Ventodisks_Disk 400mcg & Diskhaler,0301011R0BLACAJ,powderinhalation.inhalation
164,Budesonide_Pdr For Inh 200mcg (100 D),0302000K0AAAGAG,powderinhalation.inhalation
165,Seretide 500_Accuhaler 500mcg/50mcg(60D),0302000N0BCACAZ,powderinhalation.inhalation
166,Pulmicort_Turbohaler 100mcg (200 D),0302000K0BBAKAK,powderinhalation.inhalation
167,Becotide_R/Cap 100mcg,0302000C0BCACAE,powderinhalation.inhalation
168,Becotide_R/Cap 200mcg,0302000C0BCADAF,powderinhalation.inhalation
169,Anoro Ellipta_Inha 65mcg/22mcg (30D),0301040W0BBAAAA,powderinhalation.inhalation
170,Filair 50_Inha 50mcg (200 D),0302000C0BGAAAA,pressurizedinhalation.inhalation
171,AirFluSal_Inh 250mcg/25mcg (120D),0302000N0BGACBG,pressurizedinhalation.inhalation
172,Beclazone 100_Inha 100mcg (200 D),0302000C0BFABAB,pressurizedinhalation.inhalation
173,Fluticasone/Salmeterol_Inh 250/25mcg120D,0302000N0AABGBG,pressurizedinhalation.inhalation
174,Fostair_Inh 200mcg/6mcg (120D) CFF,0302000C0BQABBZ,pressurizedinhalation.inhalation
175,Flixotide_Accuhaler 500mcg (60 D),0302000N0BBAUAU,powderinhalation.inhalation
176,Tilade_Inha 2mg (112 D) CFF,0303010J0BBAFAD,pressurizedinhalation.inhalation
177,Atrovent_Autohaler 20mcg (200 D),0301020I0BBAGAG,pressurizedinhalation.inhalation
178,Combivent_Inha (200 D),0301040R0BBAAAA,pressurizedinhalation.inhalation
179,Oxivent_Inha 100mcg (200 D),0301020P0BBAAAA,pressurizedinhalation.inhalation
180,Budesonide_Pdr For Inh 100mcg (200 D),0302000K0AAAKAK,powderinhalation.inhalation
181,Trelegy Ellipta_Inha 92/55/22mcg (30 D),0302000V0BCAAA0,powderinhalation.inhalation
182,Easyhaler_Beclomet 200mcg (200 D),0302000C0BNAABU,powderinhalation.inhalation
183,Flixotide_Evohaler 125mcg (120 D),0302000N0BBAXBA,pressurizedinhalation.inhalation
184,Ciclesonide_Inh 160mcg (120 D) CFF,0302000U0AAABAB,pressurizedinhalation.inhalation
185,Seretide 250_Evohaler 250mcg/25mcg(120D),0302000N0BCAFBG,pressurizedinhalation.inhalation
186,Fluticasone/Vilanterol_Inha 92/22mcg 30D,0302000V0AAABAB,powderinhalation.inhalation
187,Serevent_Accuhaler 50mcg (60 D),0301011U0BBAEAE,powderinhalation.inhalation
188,Qvar 100_Autohaler 100mcg (200 D),0302000C0BJADBH,pressurizedinhalation.inhalation
189,Formoterol Fumar_Pdr Inh Cap 12mcg +Dev,0301011E0AAAAAA,powderinhalation.inhalation
190,Nedocromil Sod_Inha 2mg (112 D) CFF,0303010J0AAADAD,pressurizedinhalation.inhalation
191,Pulvinal Salbutamol_Inh 200mcg (100 D),0301011R0BTAABX,powderinhalation.inhalation
192,Salmeterol_Inha 25mcg (120 D),0301011U0AAACAC,pressurizedinhalation.inhalation
193,Tiotropium_Pdr For Inh Cap 18mcg,0301020Q0AAABAB,powderinhalation.inhalation
194,Seretide 125_Evohaler 125mcg/25mcg(120D),0302000N0BCAEBF,pressurizedinhalation.inhalation
195,Flixotide_Accuhaler 250mcg (60 D),0302000N0BBATAT,powderinhalation.inhalation
196,Salbulin Novolizer_Inh 100mcg (200D) Ref,0301011R0BXABCC,powderinhalation.inhalation
197,Fluticasone Prop_Pdr Inh 100mcg Disk Ref,0302000N0AAADAD,powderinhalation.inhalation
198,Qvar 100_Inha 100mcg (200 D),0302000C0BJABBF,pressurizedinhalation.inhalation
199,Ciclesonide_Inh 160mcg (120 D) CFF,0302000U0AAABAB,pressurizedinhalation.inhalation
200,Seebri_Breezhaler Inh Cap 55mcg + Dev,0301020S0BBAAAA,powderinhalation.inhalation
201,Flixotide_Evohaler 50mcg (120 D),0302000N0BBBBBH,pressurizedinhalation.inhalation
202,Salmeterol_Pdr For Inh 50mcg (60 D),0301011U0AAAEAE,powderinhalation.inhalation
203,Qvar 50_Inha 50mcg (200 D),0302000C0BJAABE,pressurizedinhalation.inhalation
204,Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0BIAFAP,pressurizedinhalation.inhalation
205,Qvar 50_Autohaler 50mcg (200 D),0302000C0BJACBG,pressurizedinhalation.inhalation
206,Formoterol Fumar_Pdr For Inh 12mcg(60 D),0301011E0AAACAC,powderinhalation.inhalation
207,Mometasone Fur_Pdr For Inh 200mcg (30 D),0302000R0AAAAAA,powderinhalation.inhalation
208,Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0BIAFAP,pressurizedinhalation.inhalation
209,Terbut Sulph_Inha 250mcg (400 D) + Spac,0301011V0AAAFAF,pressurizedinhalation.inhalation
210,Serevent_Inha 25mcg (60 D),0301011U0BBADAD,pressurizedinhalation.inhalation
211,Ventolin_Accuhaler 200mcg (60 D),0301011R0BEAHAQ,powderinhalation.inhalation
212,Beclomet Diprop_Inha B/A 100mcg (200 D),0302000C0AAATAT,pressurizedinhalation.inhalation
213,Terbut Sulph_B/A Inha 500mcg (100 D),0301011V0AAALAL,powderinhalation.inhalation
214,Beclomet Diprop_Pdr Inh 100mcg Disk Ref,0302000C0AAALAL,powderinhalation.inhalation
215,Braltus_Pdr For Inh Cap 10mcg+Zonda Inh,0301020Q0BCAAAD,powderinhalation.inhalation
216,Fobumix_Easyhaler 320mcg/9mcg (60 D),0302000K0BIAAAU,powderinhalation.inhalation
217,Bricanyl_Turbohaler 500mcg (100 D),0301011V0BBAMAL,powderinhalation.inhalation
218,Tiotropium/Olodaterol_Inha2.5/2.5mcg 60D,0301040X0AAAAAA,pressurizedinhalation.inhalation
219,Beclomet Diprop_Inha B/A 250mcg (200 D),0302000C0AAAUAU,pressurizedinhalation.inhalation
220,Becodisks_Disk 400mcg Ref,0302000C0BHAFAQ,powderinhalation.inhalation
221,Beclomet Diprop_Pdr Inh 200mcg Disk+Dev,0302000C0AAAHAH,powderinhalation.inhalation
222,AirSalb_Inha 100mcg (200 D) CFF,0301011R0BZAAAP,pressurizedinhalation.inhalation
223,Flixotide_Inha 25mcg (120 D),0302000N0BBAGAG,pressurizedinhalation.inhalation
224,Beclomet Diprop_Pdr Inh 400mcg Disk Ref,0302000C0AAAQAQ,powderinhalation.inhalation
225,Tiotropium/Olodaterol_Inha2.5/2.5mcg+Dev,0301040X0AAAAAA,pressurizedinhalation.inhalation
226,Ipratrop Brom_Inha 20mcg (200 D),0301020I0AAAAAA,pressurizedinhalation.inhalation
227,Aloflute_Inh 125mcg/25mcg (120D),0302000N0BJAABF,pressurizedinhalation.inhalation
228,Atrovent_Inha 20mcg (200 D),0301020I0BBAAAA,pressurizedinhalation.inhalation
229,Formoterol Easyhaler_12mcg (120 D),0301011E0BEAAAE,powderinhalation.inhalation
230,Beclomet Diprop_Inha 200mcg (200D),0302000C0AAARAR,pressurizedinhalation.inhalation
231,Mannitol_Pdr Inh Cap 40mg + 2 Dev,0307000R0AAAAAA,powderinhalation.inhalation
232,Intal_Inha 5mg (112D) CFF,0303010Q0BBALAN,pressurizedinhalation.inhalation
233,Clenil Modulite_Inha 50mcg (200D),0302000C0BPAABE,pressurizedinhalation.inhalation
234,Easyhaler_Budesonide 100mcg (200 D),0302000K0BGAAAK,powderinhalation.inhalation
235,Combivent_Inha (200 D),0301040R0BBAAAA,pressurizedinhalation.inhalation
236,Beclomet Diprop_Inha B/A 50mcg (200 D),0302000C0AAASAS,pressurizedinhalation.inhalation
237,Beclomet Diprop_Pdr Inh 200mcg Disk Ref,0302000C0AAAKAK,powderinhalation.inhalation
238,Glycopyrronium Brom_Inh Cap 55mcg + Dev,0301020S0AAAAAA,powderinhalation.inhalation
239,Terbut Sulf_B/A Inha 500mcg (100 D),0301011V0AAALAL,powderinhalation.inhalation
240,Flutiform_Inha 125/5mcg (120 D),0302000N0BDAABJ,pressurizedinhalation.inhalation
241,Salbutamol_Pdr For Inh 100mcg (200 D),0301011R0AABZBZ,powderinhalation.inhalation
242,Salbulin Novolizer_Inh 100mcg (200D)+Dev,0301011R0BXAACB,powderinhalation.inhalation
243,Beclazone 100 E-Breathe_Inha 100mcg(200D,0302000C0BFAEAT,pressurizedinhalation.inhalation
244,Qvar 50_Inha 50mcg (200 D),0302000C0BJAABE,pressurizedinhalation.inhalation
245,Oxis 12_Turbohaler 12mcg (60 D),0301011E0BCABAC,powderinhalation.inhalation
246,Beclomet Diprop_Inha 200mcg (200 D) CFF,0302000C0AABVBV,pressurizedinhalation.inhalation
247,Sod Cromoglicate_Pdr For Inh Cap 20mg,0303010Q0AAADAD,powderinhalation.inhalation
248,Asmavent_Inha 100mcg (200D),0301011R0BYAAAP,pressurizedinhalation.inhalation
249,Salbulin_Inha 100mcg (200 D) CFF,0301011R0BDAEAP,pressurizedinhalation.inhalation
250,Budesonide_Inha 100mcg (120 D) CFF,0302000K0AAAZAZ,pressurizedinhalation.inhalation
251,Salbutamol_Inha B/A 100mcg (200 D),0301011R0AAADAD,pressurizedinhalation.inhalation
252,Beclomet Diprop_Inha B/A100mcg(200 D)CFF,0302000C0AABHBH,pressurizedinhalation.inhalation
253,Beclomet Diprop_Inh B/A 400mcg (100 D),0302000C0AABSBS,powderinhalation.inhalation
254,Tiotropium_Pdr For Inh Cap 18mcg + Dev,0301020Q0AAAAAA,powderinhalation.inhalation
255,Glycopyrronium Brom_Inh Cap 55mcg + Dev,0301020S0AAAAAA,powderinhalation.inhalation
256,Pulmicort_Turbohaler 100mcg (200 D),0302000K0BBAKAK,powderinhalation.inhalation
257,Fostair_Inh 200mcg/6mcg (120D) CFF,0302000C0BQABBZ,pressurizedinhalation.inhalation
258,Intal_Inha 5mg (112 D) CFF,0303010Q0BBALAN,pressurizedinhalation.inhalation
259,Vertine_Inha 25mcg (120 D) CFF,0301011U0BFAAAH,pressurizedinhalation.inhalation
260,Neovent_Inha 25mcg (120 D) CFF,0301011U0BEAAAH,pressurizedinhalation.inhalation
261,Beclomet Diprop_Pdr For Inh 200mcg(200D),0302000C0AABUBU,powderinhalation.inhalation
262,Budesonide/Formoterol Inh B/A 100/6(120D,0302000K0AAALAL,powderinhalation.inhalation
263,Anoro Ellipta_Inha 55mcg/22mcg (30D),0301040W0BBAAAA,powderinhalation.inhalation
264,Beclomet Diprop_Inha 100mcg (200D),0302000C0AAABAB,pressurizedinhalation.inhalation
265,Becodisks_Disk 400mcg Ref,0302000C0BHAFAQ,powderinhalation.inhalation
266,Neovent_Inha 25mcg (120 D) CFF,0301011U0BDAAAH,pressurizedinhalation.inhalation
267,Beclomet Diprop_Inha 250mcg (200D),0302000C0AAACAC,pressurizedinhalation.inhalation
268,Serevent_Disk 50mcg + Diskhaler,0301011U0BBAAAA,powderinhalation.inhalation
269,Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev,0301020I0AAAHAH,powderinhalation.inhalation
270,Salbutamol_Pdr For Inh 200mcg Disk Ref,0301011R0AAAKAK,powderinhalation.inhalation
