bnf_name,bnf_code,form_route
Salbutamol_Inha B/A 100mcg (200 D)      ,0301011R0AAADAD,pressurizedinhalation.inhalation
Umeclidinium Brom_Inha 65mcg/22mcg (30D),0301040W0AAAAAA,powderinhalation.inhalation
Pulmicort_Inha 100mcg (120 D) CFF,0302000K0BBAMAZ,pressurizedinhalation.inhalation
Atrovent_Inha 20mcg (200 D),0301020I0BBAAAA,pressurizedinhalation.inhalation
Seebri_Breezhaler Inh Cap 55mcg + Dev   ,0301020S0BBAAAA,powderinhalation.inhalation
Tilade_Inha 2mg (112 D) CFF             ,0303010J0BBAFAD,pressurizedinhalation.inhalation
Serevent_Evohaler 25mcg (120 D)         ,0301011U0BBAFAH,pressurizedinhalation.inhalation
Salbulin Novolizer_Inh 100mcg (200D) Ref,0301011R0BXABCC,powderinhalation.inhalation
Becotide 100_Inha 100mcg (200 D)        ,0302000C0BCAHAB,pressurizedinhalation.inhalation
Ventide_Inha (200 D)                    ,0302000C0BDAAAN,pressurizedinhalation.inhalation
Oxivent_Inha 100mcg (200 D)             ,0301020P0BBAAAA,pressurizedinhalation.inhalation
Beclomet Diprop_Pdr For Inh Cap 200mcg  ,0302000C0AAAFAF,powderinhalation.inhalation
Fluticasone Prop_Inha 50mcg (120 D) CFF,0302000N0AABHBH,pressurizedinhalation.inhalation
Sereflo_Inh 125mcg/25mcg (120D),0302000N0BIAABF,pressurizedinhalation.inhalation
Salbutamol/Ipratropium_Inh 100/20 (200D),0301040R0AAAAAA,pressurizedinhalation.inhalation
Serevent_Disk 50mcg Ref,0301011U0BBABAB,powderinhalation.inhalation
Oxis 12_Turbohaler 12mcg (60 D)         ,0301011E0BCABAC,powderinhalation.inhalation
Seretide 125_Evohaler 125mcg/25mcg(120D),0302000N0BCAEBF,pressurizedinhalation.inhalation
Beclomet/Formoterol_Inh 100/6 (120D) Dry,0302000C0AABYBY,powderinhalation.inhalation
Flixotide_Disk 500mcg Ref               ,0302000N0BBAQAQ,powderinhalation.inhalation
Budelin Novolizer_Inh 200mcg 100D Ref,0302000K0BFABAC,powderinhalation.inhalation
Soltel_Inha 25mcg (120D) CFF,0301011U0BGAAAH,pressurizedinhalation.inhalation
Primatene_Mist Inha 220mcg (300 D)      ,0301012A0BCABAB,pressurizedinhalation.inhalation
Salbutamol_Pdr For Inh 400mcg Disk + Dev,0301011R0AAAJAJ,powderinhalation.inhalation
Ipratrop Brom_Inha 40mcg (200 D)        ,0301020I0AAADAD,pressurizedinhalation.inhalation
Trelegy Ellipta_Inha 92/55/22mcg (30 D),0302000V0BCAAA0,powderinhalation.inhalation
Fobumix_Easyhaler 320mcg/9mcg (60 D),0302000K0BIAAAU,powderinhalation.inhalation
Becotide 200_Inha 200mcg (200 D),0302000C0BCAQAR,pressurizedinhalation.inhalation
Qvar 100_Autohaler 100mcg (200 D)       ,0302000C0BJADBH,pressurizedinhalation.inhalation
Asmabec Clickhaler_D/P Inh 100mcg(200 D),0302000C0BIAEBJ,powderinhalation.inhalation
Beclomet Diprop_Inha B/A 250mcg (200 D) ,0302000C0AAAUAU,pressurizedinhalation.inhalation
Asmavent_Inha 100mcg (200D)             ,0301011R0BYAAAP,pressurizedinhalation.inhalation
Mannitol_Pdr Inh Cap 40mg + 2 Dev       ,0307000R0AAAAAA,powderinhalation.inhalation
Tiotropium_Pdr For Inh Cap 18mcg,0301020Q0AAABAB,powderinhalation.inhalation
Ipratrop Brom_Inha 20mcg (200 D) CFF,0301020I0AAANAN,pressurizedinhalation.inhalation
Airomir_Autohaler 100mcg (200 D) CFF,0301011R0BMABBU,pressurizedinhalation.inhalation
Easyhaler_Budesonide 100mcg (200 D),0302000K0BGAAAK,powderinhalation.inhalation
Easyhaler_Beclomet 200mcg (200 D),0302000C0BNAABU,powderinhalation.inhalation
Budesonide_Pdr For Inh 100mcg (200 D),0302000K0AAAKAK,powderinhalation.inhalation
Budesonide/Formoterol_InhaB/A 400/12(60D,0302000K0AAAUAU,powderinhalation.inhalation
Easyhaler_Budesonide 100mcg (200 D)     ,0302000K0BGAAAK,powderinhalation.inhalation
Aclid/Formot_PdrFor Inh 396/11.8mcg(60D),0301040V0AAAAAA,powderinhalation.inhalation
Beclomet Diprop_Inha 50mcg (200 D) CFF  ,0302000C0AABEBE,pressurizedinhalation.inhalation
Sod Cromoglicate_Inha 5mg (112D) CFF    ,0303010Q0AAANAN,pressurizedinhalation.inhalation
Pulmicort_Inha 100mcg (120 D) CFF       ,0302000K0BBAMAZ,pressurizedinhalation.inhalation
Aerobec 100_Autohaler (200 D)           ,0302000C0BEACAT,pressurizedinhalation.inhalation
Budesonide_Pdr For Inh 200mcg (100 D),0302000K0AAAGAG,powderinhalation.inhalation
Olodaterol_Inha 2.5mcg (60D) CFF + Dev,0301011Z0AAAAAA,pressurizedinhalation.inhalation
Pulmicort_Inha 200mcg (200D)+NebuChamber,0302000K0BBALAT,pressurizedinhalation.inhalation
Fluticasone/Salmeterol_Inh 125/25mcg120D,0302000N0AABFBF,pressurizedinhalation.inhalation
Airomir_Autohaler 100mcg (200 D) CFF    ,0301011R0BMABBU,pressurizedinhalation.inhalation
Oxis 6_Turbohaler 6mcg (60 D)           ,0301011E0BCAAAB,powderinhalation.inhalation
AirSalb_Inha 100mcg (200 D) CFF         ,0301011R0BZAAAP,pressurizedinhalation.inhalation
Becodisks_Disk 200mcg Ref               ,0302000C0BHADAK,powderinhalation.inhalation
Becodisks_Disk 100mcg & Diskhaler       ,0302000C0BHAAAG,powderinhalation.inhalation
Becodisks_Disk 200mcg & Diskhaler       ,0302000C0BHACAH,powderinhalation.inhalation
DuoResp Spiromax_Inh 320mcg/9mcg (60 D),0302000K0BHABAU,powderinhalation.inhalation
Qvar 100_Autohaler 100mcg (200 D),0302000C0BJADBH,pressurizedinhalation.inhalation
Umeclidinium Brom_Inh 65mcg (30D),0301020T0AAAAAA,powderinhalation.inhalation
Fluticasone/Formoterol_Inh 125/5mcg 120D,0302000N0AABJBJ,pressurizedinhalation.inhalation
Pulmicort_Turbohaler 200mcg (100 D)     ,0302000K0BBAHAG,powderinhalation.inhalation
Fluticasone Prop_Pdr For Inh 50mcg (60D),0302000N0AAARAR,powderinhalation.inhalation
Easyhaler_Salbutamol Sulf 200mcg (200D) ,0301011R0BWABCA,powderinhalation.inhalation
Ciclesonide_Inh 80mcg (120 D) CFF       ,0302000U0AAAAAA,pressurizedinhalation.inhalation
Beclomet Diprop/Formoterol_Inh200/6(120D,0302000C0AABZBZ,pressurizedinhalation.inhalation
Asmanex Twisthaler_D/P Inh 400mcg (30 D),0302000R0BBACAC,powderinhalation.inhalation
Beclomet Diprop_Pdr For Inh Cap 400mcg  ,0302000C0AAAIAI,powderinhalation.inhalation
Pulmicort_Turbohaler 200mcg (100 D),0302000K0BBAHAG,powderinhalation.inhalation
Flixotide_Disk 50mcg Ref                ,0302000N0BBABAB,powderinhalation.inhalation
Becloforte_Disk 400mcg Ref              ,0302000C0BBADAQ,powderinhalation.inhalation
Pulmicort L.S._Inha 50mcg (200 D),0302000K0BBAEAA,pressurizedinhalation.inhalation
Fluticasone Prop_Pdr For Inh 100mcg(60D),0302000N0AAASAS,powderinhalation.inhalation
Relvar Ellipta_Inha 184mcg/22mcg (30 D) ,0302000V0BBAAAA,powderinhalation.inhalation
Qvar 50 E-Breathe_Inha 50mcg (200 D)    ,0302000C0BJAEBG,pressurizedinhalation.inhalation
Fluticasone/Vilanterol_Inha 92/22mcg 30D,0302000V0AAABAB,powderinhalation.inhalation
Ventolin_Accuhaler 200mcg (60 D)        ,0301011R0BEAHAQ,powderinhalation.inhalation
Flixotide_Evohaler 250mcg (120 D)       ,0302000N0BBAZBC,pressurizedinhalation.inhalation
Becotide_R/Cap 400mcg                   ,0302000C0BCAGAI,powderinhalation.inhalation
Tiotropium_Pdr For Inh Cap 18mcg + Dev,0301020Q0AAAAAA,powderinhalation.inhalation
Salmeterol_Inha 25mcg (120 D) CFF,0301011U0AAAHAH,pressurizedinhalation.inhalation
Tiotropium_Pdr For Inh Cap 10mcg + Dev,0301020Q0AAADAD,powderinhalation.inhalation
Flixotide_Disk 500mcg & Diskhaler       ,0302000N0BBAPAP,powderinhalation.inhalation
Intal_Inha 5mg (112 D)                  ,0303010Q0BBAFAB,pressurizedinhalation.inhalation
Beclazone 50 E-Breathe_Inha 50mcg (200D),0302000C0BFADAS,pressurizedinhalation.inhalation
Budesonide_Inha 200mcg (200 D) + Dev    ,0302000K0AAATAT,pressurizedinhalation.inhalation
Fostair NEXThaler_Inh 200mcg/6mcg (120D),0302000C0BRABCA,powderinhalation.inhalation
Bricanyl_Turbohaler 500mcg (100 D)      ,0301011V0BBAMAL,powderinhalation.inhalation
Beclomet Diprop_Inha 200mcg (200 D) CFF ,0302000C0AABVBV,pressurizedinhalation.inhalation
Striverdi Respimat_Inha 2.5mcg (60D)+Dev,0301011Z0BBAAAA,pressurizedinhalation.inhalation
Bricanyl_Inha 250mcg (400 D)            ,0301011V0BBADAA,pressurizedinhalation.inhalation
Salmeterol_Inha 25mcg (120 D)           ,0301011U0AAACAC,pressurizedinhalation.inhalation
Beclometasone 200 Cyclocaps_Cap 200mcg  ,0302000C0BMABAF,powderinhalation.inhalation
Atrovent Aerocaps_Cap 40mcg + Aerohaler ,0301020I0BBAHAH,powderinhalation.inhalation
Anoro Ellipta_Inha 55mcg/22mcg (30D),0301040W0BBAAAA,powderinhalation.inhalation
Oxis 6_Turbohaler 6mcg (60 D),0301011E0BCAAAB,powderinhalation.inhalation
Braltus_Pdr For Inh Cap 10mcg+Zonda Inh ,0301020Q0BCAAAD,powderinhalation.inhalation
Fostair NEXThaler_Inh 100mcg/6mcg (120D),0302000C0BRAABY,powderinhalation.inhalation
Budesonide/Formoterol Inh B/A 200/6(120D,0302000K0AAAMAM,powderinhalation.inhalation
Beclazone 100_Inha 100mcg (200 D)       ,0302000C0BFABAB,pressurizedinhalation.inhalation
Easyhaler_Salbutamol Sulph 200mcg (200D),0301011R0BWABCA,powderinhalation.inhalation
Becodisks_Disk 400mcg Ref               ,0302000C0BHAFAQ,powderinhalation.inhalation
Beclazone 250 E-Breathe_Inha 250mcg(200D,0302000C0BFAFAU,pressurizedinhalation.inhalation
Fostair_Inh 100mcg/6mcg (120D) CFF,0302000C0BQAABX,pressurizedinhalation.inhalation
Relvar Ellipta_Inha 92mcg/22mcg (30 D),0302000V0BBABAB,powderinhalation.inhalation
Terbut Sulph_Inha 250mcg (400 D) + Spac ,0301011V0AAAFAF,pressurizedinhalation.inhalation
Beclomet Diprop_Inha B/A 50mcg (200 D),0302000C0AAASAS,pressurizedinhalation.inhalation
Beclazone 50_Inha 50mcg (200 D),0302000C0BFAAAA,pressurizedinhalation.inhalation
Tiotropium_Pdr For Inh Cap 18mcg        ,0301020Q0AAABAB,powderinhalation.inhalation
Clenil Modulite_Inha 250mcg (200D)      ,0302000C0BPADBW,pressurizedinhalation.inhalation
Fluticasone Prop_Pdr For Inh 500mcg(60D),0302000N0AAAUAU,powderinhalation.inhalation
Beclomet Diprop_Inha 50mcg (200 D) CFF,0302000C0AABEBE,pressurizedinhalation.inhalation
Bronchitol_Pdr Inh Cap 40mg + 2 Dev,0307000R0BBAAAA,powderinhalation.inhalation
Fluticasone Prop_Inha 25mcg (120 D)     ,0302000N0AAAGAG,pressurizedinhalation.inhalation
Beclomet Diprop_Pdr Inh 200mcg Disk Ref,0302000C0AAAKAK,powderinhalation.inhalation
Duaklir Genuair_340mcg/12mcg (60D)      ,0301040V0BBAAAA,powderinhalation.inhalation
Seretide 50_Evohaler 50mcg/25mcg (120 D),0302000N0BCADBE,pressurizedinhalation.inhalation
Pulvinal Salbutamol_Inh 200mcg (100 D)  ,0301011R0BTAABX,powderinhalation.inhalation
Mometasone Fur_Pdr For Inh 200mcg (30 D),0302000R0AAAAAA,powderinhalation.inhalation
Pulmicort_Inha 200mcg (120 D) CFF       ,0302000K0BBANBA,pressurizedinhalation.inhalation
Fluticasone Prop_Pdr Inh 50mcg Disk+Dev ,0302000N0AAAAAA,powderinhalation.inhalation
Easyhaler_Salbutamol Sulph 100mcg (200D),0301011R0BWAABZ,powderinhalation.inhalation
Terbut Sulph_B/A Inha 500mcg (100 D)    ,0301011V0AAALAL,powderinhalation.inhalation
Beclazone 200_Inha 200mcg (200 D)       ,0302000C0BFAGAR,pressurizedinhalation.inhalation
Fluticasone Prop_Pdr Inh 250mcg Disk Ref,0302000N0AAAFAF,powderinhalation.inhalation
Seebri_Breezhaler Inh Cap 55mcg + Dev,0301020S0BBAAAA,powderinhalation.inhalation
Eklira_Inh 322mcg (60D) (Genuair),0301020R0BBAAAA,powderinhalation.inhalation
