month,chemical,chemical_code,items
2014-03-01,Nitrous Oxide,1501020R0,96
2014-03-01,Solifenacin/Tamsulosin,0704010W0,272
2014-04-01,Alogliptin,0601023AK,672
2014-04-01,Aripiprazole,0402020AD,4
2014-04-01,Avanafil,0704050AC,6
2014-04-01,Brimonidine Tart (Rosacea),1306030A0,350
2014-04-01,Canagliflozin,0601023AM,228
2014-04-01,Dapagliflozin/Metformin,0601023AL,28
2014-04-01,Fluticasone Furoate (Inh),0302000V0,11630
2014-04-01,Nitrous Oxide,1501020R0,32
2014-04-01,Perindopril + Calcium Channel Blocker,0205051AC,4
2014-04-01,Solifenacin/Tamsulosin,0704010W0,548
2014-05-01,Alogliptin,0601023AK,1134
2014-05-01,Aripiprazole,0402020AD,4
2014-05-01,Avanafil,0704050AC,24
2014-05-01,Brimonidine Tart (Rosacea),1306030A0,928
2014-05-01,Canagliflozin,0601023AM,532
2014-05-01,Dapagliflozin/Metformin,0601023AL,92
2014-05-01,Fluticasone Furoate (Inh),0302000V0,16000
2014-05-01,Nitrous Oxide,1501020R0,64
2014-05-01,Perindopril + Calcium Channel Blocker,0205051AC,12
2014-05-01,Solifenacin/Tamsulosin,0704010W0,828
2014-06-01,Alogliptin,0601023AK,1848
2014-06-01,Aripiprazole,0402020AD,12
2014-06-01,Avanafil,0704050AC,102
2014-06-01,Brimonidine Tart (Rosacea),1306030A0,1234
2014-06-01,Canagliflozin,0601023AM,1128
2014-06-01,Clindamycin/Tretinoin,1306010AB,2
2014-06-01,Dapagliflozin/Metformin,0601023AL,160
2014-06-01,Fluticasone Furoate (Inh),0302000V0,19200
2014-06-01,Nitrous Oxide,1501020R0,64
2014-06-01,Perindopril + Calcium Channel Blocker,0205051AC,32
2014-06-01,Solifenacin/Tamsulosin,0704010W0,1070
2014-07-01,Alogliptin,0601023AK,3156
2014-07-01,Aripiprazole,0402020AD,36
2014-07-01,Avanafil,0704050AC,150
2014-07-01,Brimonidine Tart (Rosacea),1306030A0,1550
2014-07-01,Brinzolamide/Brimonidine,1106000AL,16
2014-07-01,Canagliflozin,0601023AM,2356
2014-07-01,Clindamycin/Tretinoin,1306010AB,6
2014-07-01,Dapagliflozin/Metformin,0601023AL,284
2014-07-01,Fluticasone Furoate (Inh),0302000V0,24610
2014-07-01,Nitrous Oxide,1501020R0,144
2014-07-01,Perindopril + Calcium Channel Blocker,0205051AC,44
2014-07-01,Solifenacin/Tamsulosin,0704010W0,1394
2014-07-01,Umeclidinium Brom/Vilanterol,0301040W0,32
2014-08-01,Alogliptin,0601023AK,4236
2014-08-01,Aripiprazole,0402020AD,80
2014-08-01,Avanafil,0704050AC,222
2014-08-01,Brimonidine Tart (Rosacea),1306030A0,1204
2014-08-01,Brinzolamide/Brimonidine,1106000AL,14
2014-08-01,Canagliflozin,0601023AM,3392
2014-08-01,Clindamycin/Tretinoin,1306010AB,66
2014-08-01,Dapagliflozin/Metformin,0601023AL,392
2014-08-01,Empagliflozin,0601023AN,4
2014-08-01,Fluticasone Furoate (Inh),0302000V0,26415
2014-08-01,Nitrous Oxide,1501020R0,32
2014-08-01,Perindopril + Calcium Channel Blocker,0205051AC,96
2014-08-01,Solifenacin/Tamsulosin,0704010W0,1482
2014-08-01,Umeclidinium Brom/Vilanterol,0301040W0,116
2014-09-01,Alogliptin,0601023AK,5460
2014-09-01,Aripiprazole,0402020AD,108
2014-09-01,Avanafil,0704050AC,306
2014-09-01,Brimonidine Tart (Rosacea),1306030A0,1404
2014-09-01,Brinzolamide/Brimonidine,1106000AL,30
2014-09-01,Canagliflozin,0601023AM,5140
2014-09-01,Clindamycin/Tretinoin,1306010AB,306
2014-09-01,Dapagliflozin/Metformin,0601023AL,468
2014-09-01,Empagliflozin,0601023AN,96
2014-09-01,Fluticasone Furoate (Inh),0302000V0,30275
2014-09-01,Lurasidone,0402010AI,6
2014-09-01,Nitrous Oxide,1501020R0,160
2014-09-01,Perindopril + Calcium Channel Blocker,0205051AC,44
2014-09-01,Solifenacin/Tamsulosin,0704010W0,1694
2014-09-01,Umeclidinium Brom/Vilanterol,0301040W0,246
2014-10-01,Alogliptin,0601023AK,7536
2014-10-01,Aripiprazole,0402020AD,124
2014-10-01,Avanafil,0704050AC,702
2014-10-01,Brimonidine Tart (Rosacea),1306030A0,1448
2014-10-01,Brinzolamide/Brimonidine,1106000AL,282
2014-10-01,Canagliflozin,0601023AM,7716
2014-10-01,Clindamycin/Tretinoin,1306010AB,970
2014-10-01,Dapagliflozin/Metformin,0601023AL,684
2014-10-01,Empagliflozin,0601023AN,264
2014-10-01,Fluticasone Furoate (Inh),0302000V0,36245
2014-10-01,Lurasidone,0402010AI,12
2014-10-01,Nitrous Oxide,1501020R0,48
2014-10-01,Perindopril + Calcium Channel Blocker,0205051AC,80
2014-10-01,Solifenacin/Tamsulosin,0704010W0,2156
2014-10-01,Umeclidinium Brom,0301020T0,2
2014-10-01,Umeclidinium Brom/Vilanterol,0301040W0,650
2014-11-01,Alogliptin,0601023AK,8400
2014-11-01,Aripiprazole,0402020AD,144
2014-11-01,Avanafil,0704050AC,870
2014-11-01,Brimonidine Tart (Rosacea),1306030A0,1362
2014-11-01,Brinzolamide/Brimonidine,1106000AL,866
2014-11-01,Canagliflozin,0601023AM,10480
2014-11-01,Clindamycin/Tretinoin,1306010AB,1162
2014-11-01,Dapagliflozin/Metformin,0601023AL,840
2014-11-01,Empagliflozin,0601023AN,340
2014-11-01,Fluticasone Furoate (Inh),0302000V0,37795
2014-11-01,Ins Degludec/Liraglutide,0601023AU,10
2014-11-01,Lurasidone,0402010AI,48
2014-11-01,Nitrous Oxide,1501020R0,112
2014-11-01,Perindopril + Calcium Channel Blocker,0205051AC,168
2014-11-01,Solifenacin/Tamsulosin,0704010W0,2334
2014-11-01,Triamcinolone Hexacetonide,1001022Y0,21
2014-11-01,Umeclidinium Brom,0301020T0,42
2014-11-01,Umeclidinium Brom/Vilanterol,0301040W0,1026
2014-12-01,Alogliptin,0601023AK,11490
2014-12-01,Aripiprazole,0402020AD,192
2014-12-01,Avanafil,0704050AC,1104
2014-12-01,Brimonidine Tart (Rosacea),1306030A0,1314
2014-12-01,Brinzolamide/Brimonidine,1106000AL,1746
2014-12-01,Canagliflozin,0601023AM,14544
2014-12-01,Canagliflozin/Metformin,0601023AP,20
2014-12-01,Clindamycin/Tretinoin,1306010AB,1268
2014-12-01,Dapagliflozin/Metformin,0601023AL,1104
2014-12-01,Empagliflozin,0601023AN,712
2014-12-01,Fluticasone Furoate (Inh),0302000V0,46675
2014-12-01,Indacaterol/Glycopyrronium,0301040Y0,4
2014-12-01,Ins Degludec/Liraglutide,0601023AU,16
2014-12-01,Lurasidone,0402010AI,78
2014-12-01,Nitrous Oxide,1501020R0,64
2014-12-01,Perindopril + Calcium Channel Blocker,0205051AC,204
2014-12-01,Solifenacin/Tamsulosin,0704010W0,2836
2014-12-01,Umeclidinium Brom,0301020T0,320
2014-12-01,Umeclidinium Brom/Vilanterol,0301040W0,1784
2015-01-01,Aclidinium Brom/Formoterol,0301040V0,10
2015-01-01,Alogliptin,0601023AK,12552
2015-01-01,Aripiprazole,0402020AD,252
2015-01-01,Avanafil,0704050AC,1224
2015-01-01,Brimonidine Tart (Rosacea),1306030A0,1280
2015-01-01,Brinzolamide/Brimonidine,1106000AL,2386
2015-01-01,Canagliflozin,0601023AM,14580
2015-01-01,Canagliflozin/Metformin,0601023AP,24
2015-01-01,Clindamycin/Tretinoin,1306010AB,1350
2015-01-01,Dapagliflozin/Metformin,0601023AL,1212
2015-01-01,Dulaglutide,0601023AQ,8
2015-01-01,Empagliflozin,0601023AN,812
2015-01-01,Fluticasone Furoate (Inh),0302000V0,49835
2015-01-01,Indacaterol/Glycopyrronium,0301040Y0,16
2015-01-01,Ins Degludec/Liraglutide,0601023AU,20
2015-01-01,Lurasidone,0402010AI,114
2015-01-01,Nitrous Oxide,1501020R0,128
2015-01-01,Perindopril + Calcium Channel Blocker,0205051AC,232
2015-01-01,Solifenacin/Tamsulosin,0704010W0,2842
2015-01-01,Triamcinolone Hexacetonide,1001022Y0,35
2015-01-01,Umeclidinium Brom,0301020T0,714
2015-01-01,Umeclidinium Brom/Vilanterol,0301040W0,2356
2015-02-01,Aclidinium Brom/Formoterol,0301040V0,142
2015-02-01,Alogliptin,0601023AK,14694
2015-02-01,Aripiprazole,0402020AD,240
2015-02-01,Avanafil,0704050AC,1326
2015-02-01,Brimonidine Tart (Rosacea),1306030A0,1378
2015-02-01,Brinzolamide/Brimonidine,1106000AL,2844
2015-02-01,Canagliflozin,0601023AM,17036
2015-02-01,Canagliflozin/Metformin,0601023AP,52
2015-02-01,Clindamycin/Tretinoin,1306010AB,1416
2015-02-01,Dapagliflozin/Metformin,0601023AL,1356
2015-02-01,Dulaglutide,0601023AQ,32
2015-02-01,Empagliflozin,0601023AN,1184
2015-02-01,Fluticasone Furoate (Inh),0302000V0,52285
2015-02-01,Indacaterol/Glycopyrronium,0301040Y0,78
2015-02-01,Ins Degludec/Liraglutide,0601023AU,18
2015-02-01,Lurasidone,0402010AI,324
2015-02-01,Nitrous Oxide,1501020R0,240
2015-02-01,Perindopril + Calcium Channel Blocker,0205051AC,304
2015-02-01,Solifenacin/Tamsulosin,0704010W0,2908
2015-02-01,Umeclidinium Brom,0301020T0,1184
2015-02-01,Umeclidinium Brom/Vilanterol,0301040W0,2960
2015-03-01,Aclidinium Brom/Formoterol,0301040V0,438
2015-03-01,Alogliptin,0601023AK,21114
2015-03-01,Aripiprazole,0402020AD,348
2015-03-01,Avanafil,0704050AC,1626
2015-03-01,Brimonidine Tart (Rosacea),1306030A0,1686
2015-03-01,Brinzolamide/Brimonidine,1106000AL,3924
2015-03-01,Canagliflozin,0601023AM,25712
2015-03-01,Canagliflozin/Metformin,0601023AP,116
2015-03-01,Clindamycin/Tretinoin,1306010AB,1780
2015-03-01,Dapagliflozin/Metformin,0601023AL,1812
2015-03-01,Dulaglutide,0601023AQ,152
2015-03-01,Empagliflozin,0601023AN,1964
2015-03-01,Fluticasone Furoate (Inh),0302000V0,64810
2015-03-01,Indacaterol/Glycopyrronium,0301040Y0,244
2015-03-01,Ins Degludec/Liraglutide,0601023AU,16
2015-03-01,Lurasidone,0402010AI,444
2015-03-01,Nitrous Oxide,1501020R0,208
2015-03-01,Perindopril + Calcium Channel Blocker,0205051AC,316
2015-03-01,Solifenacin/Tamsulosin,0704010W0,3382
2015-03-01,Triamcinolone Hexacetonide,1001022Y0,42
2015-03-01,Umeclidinium Brom,0301020T0,2278
2015-03-01,Umeclidinium Brom/Vilanterol,0301040W0,4226
2015-04-01,Aclidinium Brom/Formoterol,0301040V0,602
2015-04-01,Alogliptin,0601023AK,23466
2015-04-01,Aripiprazole,0402020AD,424
2015-04-01,Avanafil,0704050AC,2100
2015-04-01,Brimonidine Tart (Rosacea),1306030A0,1644
2015-04-01,Brinzolamide/Brimonidine,1106000AL,4668
2015-04-01,Canagliflozin,0601023AM,29388
2015-04-01,Canagliflozin/Metformin,0601023AP,252
2015-04-01,Clindamycin/Tretinoin,1306010AB,1812
2015-04-01,Dapagliflozin/Metformin,0601023AL,1796
2015-04-01,Dulaglutide,0601023AQ,304
2015-04-01,Empagliflozin,0601023AN,2516
2015-04-01,Fluticasone Furoate (Inh),0302000V0,70725
2015-04-01,Indacaterol/Glycopyrronium,0301040Y0,394
2015-04-01,Ins Degludec/Liraglutide,0601023AU,32
2015-04-01,Lurasidone,0402010AI,558
2015-04-01,Nitrous Oxide,1501020R0,96
2015-04-01,Perindopril + Calcium Channel Blocker,0205051AC,252
2015-04-01,Solifenacin/Tamsulosin,0704010W0,3658
2015-04-01,Umeclidinium Brom,0301020T0,2556
2015-04-01,Umeclidinium Brom/Vilanterol,0301040W0,4812
2015-05-01,Aclidinium Brom/Formoterol,0301040V0,850
2015-05-01,Alogliptin,0601023AK,28188
2015-05-01,Aripiprazole,0402020AD,388
2015-05-01,Avanafil,0704050AC,2508
2015-05-01,Brimonidine Tart (Rosacea),1306030A0,1632
2015-05-01,Brinzolamide/Brimonidine,1106000AL,5274
2015-05-01,Canagliflozin,0601023AM,33888
2015-05-01,Canagliflozin/Metformin,0601023AP,432
2015-05-01,Clindamycin/Tretinoin,1306010AB,1854
2015-05-01,Dapagliflozin/Metformin,0601023AL,2076
2015-05-01,Dulaglutide,0601023AQ,496
2015-05-01,Empagliflozin,0601023AN,3572
2015-05-01,Fluticasone Furoate (Inh),0302000V0,73200
2015-05-01,Indacaterol/Glycopyrronium,0301040Y0,580
2015-05-01,Ins Degludec/Liraglutide,0601023AU,48
2015-05-01,Lurasidone,0402010AI,798
2015-05-01,Nitrous Oxide,1501020R0,80
2015-05-01,Perindopril + Calcium Channel Blocker,0205051AC,332
2015-05-01,Solifenacin/Tamsulosin,0704010W0,3768
2015-05-01,Triamcinolone Hexacetonide,1001022Y0,168
2015-05-01,Umeclidinium Brom,0301020T0,3280
2015-05-01,Umeclidinium Brom/Vilanterol,0301040W0,5648
2015-06-01,Aclidinium Brom/Formoterol,0301040V0,1186
2015-06-01,Alogliptin,0601023AK,35502
2015-06-01,Aripiprazole,0402020AD,444
2015-06-01,Avanafil,0704050AC,2952
2015-06-01,Brimonidine Tart (Rosacea),1306030A0,1720
2015-06-01,Brinzolamide/Brimonidine,1106000AL,6374
2015-06-01,Canagliflozin,0601023AM,39584
2015-06-01,Canagliflozin/Metformin,0601023AP,572
2015-06-01,Clindamycin/Tretinoin,1306010AB,2198
2015-06-01,Dapagliflozin/Metformin,0601023AL,2352
2015-06-01,Dulaglutide,0601023AQ,640
2015-06-01,Empagliflozin,0601023AN,5076
2015-06-01,Fluticasone Furoate (Inh),0302000V0,85160
2015-06-01,Indacaterol/Glycopyrronium,0301040Y0,868
2015-06-01,Ins Degludec/Liraglutide,0601023AU,96
2015-06-01,Ivermectin,1306030B0,4
2015-06-01,Lurasidone,0402010AI,918
2015-06-01,Nitrous Oxide,1501020R0,208
2015-06-01,Perindopril + Calcium Channel Blocker,0205051AC,312
2015-06-01,Solifenacin/Tamsulosin,0704010W0,4248
2015-06-01,Triamcinolone Hexacetonide,1001022Y0,77
2015-06-01,Umeclidinium Brom,0301020T0,4492
2015-06-01,Umeclidinium Brom/Vilanterol,0301040W0,7342
2015-07-01,Aclidinium Brom/Formoterol,0301040V0,1654
2015-07-01,Alogliptin,0601023AK,45510
2015-07-01,Aripiprazole,0402020AD,532
2015-07-01,Avanafil,0704050AC,2982
2015-07-01,Brimonidine Tart (Rosacea),1306030A0,1692
2015-07-01,Brinzolamide/Brimonidine,1106000AL,7762
2015-07-01,Canagliflozin,0601023AM,46744
2015-07-01,Canagliflozin/Metformin,0601023AP,760
2015-07-01,Ciclosporin (Eye Anti Inflam),1104020AE,3
2015-07-01,Clindamycin/Tretinoin,1306010AB,2268
2015-07-01,Dapagliflozin/Metformin,0601023AL,2500
2015-07-01,Dulaglutide,0601023AQ,896
2015-07-01,Edoxaban,0208020AA,6
2015-07-01,Empagliflozin,0601023AN,6900
2015-07-01,Fluticasone Furoate (Inh),0302000V0,100590
2015-07-01,Indacaterol/Glycopyrronium,0301040Y0,1182
2015-07-01,Ins Degludec/Liraglutide,0601023AU,234
2015-07-01,Ivermectin,1306030B0,74
2015-07-01,Lurasidone,0402010AI,1278
2015-07-01,Nitrous Oxide,1501020R0,48
2015-07-01,Perindopril + Calcium Channel Blocker,0205051AC,360
2015-07-01,Solifenacin/Tamsulosin,0704010W0,4576
2015-07-01,Tiotropium Brom/Olodaterol,0301040X0,4
2015-07-01,Triamcinolone Hexacetonide,1001022Y0,231
2015-07-01,Umeclidinium Brom,0301020T0,6148
2015-07-01,Umeclidinium Brom/Vilanterol,0301040W0,8872
2015-08-01,Aclidinium Brom/Formoterol,0301040V0,1986
2015-08-01,Alogliptin,0601023AK,48840
2015-08-01,Aripiprazole,0402020AD,540
2015-08-01,Avanafil,0704050AC,2796
2015-08-01,Brimonidine Tart (Rosacea),1306030A0,1402
2015-08-01,Brinzolamide/Brimonidine,1106000AL,7572
2015-08-01,Canagliflozin,0601023AM,46572
2015-08-01,Canagliflozin/Metformin,0601023AP,768
2015-08-01,Ciclosporin (Eye Anti Inflam),1104020AE,21
2015-08-01,Clindamycin/Tretinoin,1306010AB,2026
2015-08-01,Dapagliflozin/Metformin,0601023AL,2456
2015-08-01,Dulaglutide,0601023AQ,1064
2015-08-01,Edoxaban,0208020AA,12
2015-08-01,Empagliflozin,0601023AN,7608
2015-08-01,Fluticasone Furoate (Inh),0302000V0,96365
2015-08-01,Indacaterol/Glycopyrronium,0301040Y0,1366
2015-08-01,Ins Degludec/Liraglutide,0601023AU,258
2015-08-01,Ivermectin,1306030B0,156
2015-08-01,Lurasidone,0402010AI,1152
2015-08-01,Nitrous Oxide,1501020R0,64
2015-08-01,Perindopril + Calcium Channel Blocker,0205051AC,316
2015-08-01,Solifenacin/Tamsulosin,0704010W0,4280
2015-08-01,Tafluprost & Timolol,1106000AM,14
2015-08-01,Tiotropium Brom/Olodaterol,0301040X0,20
2015-08-01,Triamcinolone Hexacetonide,1001022Y0,161
2015-08-01,Umeclidinium Brom,0301020T0,6892
2015-08-01,Umeclidinium Brom/Vilanterol,0301040W0,9120
2015-09-01,Aclidinium Brom/Formoterol,0301040V0,2582
2015-09-01,Alogliptin,0601023AK,60228
2015-09-01,Aripiprazole,0402020AD,604
2015-09-01,Avanafil,0704050AC,3546
2015-09-01,Brimonidine Tart (Rosacea),1306030A0,1576
2015-09-01,Brinzolamide/Brimonidine,1106000AL,8752
2015-09-01,Canagliflozin,0601023AM,53920
2015-09-01,Canagliflozin/Metformin,0601023AP,740
2015-09-01,Ciclosporin (Eye Anti Inflam),1104020AE,69
2015-09-01,Clindamycin/Tretinoin,1306010AB,2268
2015-09-01,Dapagliflozin/Metformin,0601023AL,2792
2015-09-01,Dulaglutide,0601023AQ,1444
2015-09-01,Edoxaban,0208020AA,60
2015-09-01,Empagliflozin,0601023AN,9680
2015-09-01,Fluticasone Furoate (Inh),0302000V0,110920
2015-09-01,Indacaterol/Glycopyrronium,0301040Y0,1596
2015-09-01,Ins Degludec/Liraglutide,0601023AU,378
2015-09-01,Ivermectin,1306030B0,276
2015-09-01,Lurasidone,0402010AI,1392
2015-09-01,Naloxegol,0106060B0,12
2015-09-01,Nitrous Oxide,1501020R0,96
2015-09-01,Perindopril + Calcium Channel Blocker,0205051AC,340
2015-09-01,Solifenacin/Tamsulosin,0704010W0,4782
2015-09-01,Tafluprost & Timolol,1106000AM,68
2015-09-01,Tiotropium Brom/Olodaterol,0301040X0,142
2015-09-01,Triamcinolone Hexacetonide,1001022Y0,238
2015-09-01,Umeclidinium Brom,0301020T0,9042
2015-09-01,Umeclidinium Brom/Vilanterol,0301040W0,10844
2015-09-01,Vortioxetine,0403040AB,6
2015-10-01,Aclidinium Brom/Formoterol,0301040V0,3400
2015-10-01,Alogliptin,0601023AK,57276
2015-10-01,Aripiprazole,0402020AD,648
2015-10-01,Avanafil,0704050AC,3468
2015-10-01,Brimonidine Tart (Rosacea),1306030A0,1600
2015-10-01,Brinzolamide/Brimonidine,1106000AL,9512
2015-10-01,Canagliflozin,0601023AM,65120
2015-10-01,Canagliflozin/Metformin,0601023AP,1024
2015-10-01,Ciclosporin (Eye Anti Inflam),1104020AE,105
2015-10-01,Ciprofloxain/Dexameth,1201010AE,4
2015-10-01,Clindamycin/Tretinoin,1306010AB,2756
2015-10-01,Dapagliflozin/Metformin,0601023AL,2904
2015-10-01,Dulaglutide,0601023AQ,1932
2015-10-01,Edoxaban,0208020AA,144
2015-10-01,Empagliflozin,0601023AN,13388
2015-10-01,Empagliflozin/Metformin,0601023AR,56
2015-10-01,Fluticasone Furoate (Inh),0302000V0,123275
2015-10-01,Indacaterol/Glycopyrronium,0301040Y0,2086
2015-10-01,Ins Degludec/Liraglutide,0601023AU,492
2015-10-01,Ivermectin,1306030B0,476
2015-10-01,Lurasidone,0402010AI,1320
2015-10-01,Naloxegol,0106060B0,20
2015-10-01,Nitrous Oxide,1501020R0,192
2015-10-01,Perindopril + Calcium Channel Blocker,0205051AC,388
2015-10-01,Solifenacin/Tamsulosin,0704010W0,5010
2015-10-01,Tafluprost & Timolol,1106000AM,130
2015-10-01,Tiotropium Brom/Olodaterol,0301040X0,360
2015-10-01,Triamcinolone Hexacetonide,1001022Y0,126
2015-10-01,Umeclidinium Brom,0301020T0,11210
2015-10-01,Umeclidinium Brom/Vilanterol,0301040W0,12646
2015-10-01,Vortioxetine,0403040AB,6
2015-11-01,Aclidinium Brom/Formoterol,0301040V0,4242
2015-11-01,Alogliptin,0601023AK,61848
2015-11-01,Aripiprazole,0402020AD,644
2015-11-01,Avanafil,0704050AC,3450
2015-11-01,Brimonidine Tart (Rosacea),1306030A0,1584
2015-11-01,Brinzolamide/Brimonidine,1106000AL,10232
2015-11-01,Canagliflozin,0601023AM,68448
2015-11-01,Canagliflozin/Metformin,0601023AP,1224
2015-11-01,Ciclosporin (Eye Anti Inflam),1104020AE,216
2015-11-01,Ciprofloxain/Dexameth,1201010AE,40
2015-11-01,Clindamycin/Tretinoin,1306010AB,2574
2015-11-01,Dapagliflozin/Metformin,0601023AL,3212
2015-11-01,Dulaglutide,0601023AQ,2548
2015-11-01,Edoxaban,0208020AA,318
2015-11-01,Empagliflozin,0601023AN,16400
2015-11-01,Empagliflozin/Metformin,0601023AR,288
2015-11-01,Fluticasone Furoate (Inh),0302000V0,130185
2015-11-01,Indacaterol/Glycopyrronium,0301040Y0,2464
2015-11-01,Ins Degludec/Liraglutide,0601023AU,630
2015-11-01,Ivermectin,1306030B0,616
2015-11-01,Lurasidone,0402010AI,1536
2015-11-01,Naloxegol,0106060B0,72
2015-11-01,Nitrous Oxide,1501020R0,80
2015-11-01,Perindopril + Calcium Channel Blocker,0205051AC,448
2015-11-01,Solifenacin/Tamsulosin,0704010W0,5096
2015-11-01,Tafluprost & Timolol,1106000AM,146
2015-11-01,Tiotropium Brom/Olodaterol,0301040X0,576
2015-11-01,Triamcinolone Hexacetonide,1001022Y0,329
2015-11-01,Umeclidinium Brom,0301020T0,13480
2015-11-01,Umeclidinium Brom/Vilanterol,0301040W0,13644
2015-11-01,Vortioxetine,0403040AB,66
2015-12-01,Aclidinium Brom/Formoterol,0301040V0,5670
2015-12-01,Alogliptin,0601023AK,89838
2015-12-01,Aripiprazole,0402020AD,660
2015-12-01,Avanafil,0704050AC,4194
2015-12-01,Brimonidine Tart (Rosacea),1306030A0,1542
2015-12-01,Brinzolamide/Brimonidine,1106000AL,12010
2015-12-01,Canagliflozin,0601023AM,77716
2015-12-01,Canagliflozin/Metformin,0601023AP,1480
2015-12-01,Ciclosporin (Eye Anti Inflam),1104020AE,444
2015-12-01,Ciprofloxain/Dexameth,1201010AE,396
2015-12-01,Clindamycin/Tretinoin,1306010AB,2790
2015-12-01,Dapagliflozin/Metformin,0601023AL,3756
2015-12-01,Dulaglutide,0601023AQ,4052
2015-12-01,Edoxaban,0208020AA,528
2015-12-01,Empagliflozin,0601023AN,23504
2015-12-01,Empagliflozin/Metformin,0601023AR,720
2015-12-01,Fluticasone Furoate (Inh),0302000V0,154080
2015-12-01,Indacaterol/Glycopyrronium,0301040Y0,3152
2015-12-01,Ins Degludec/Liraglutide,0601023AU,720
2015-12-01,Ivermectin,1306030B0,844
2015-12-01,Lurasidone,0402010AI,1650
2015-12-01,Naloxegol,0106060B0,176
2015-12-01,Nitrous Oxide,1501020R0,96
2015-12-01,Perindopril + Calcium Channel Blocker,0205051AC,500
2015-12-01,Solifenacin/Tamsulosin,0704010W0,5748
2015-12-01,Tafluprost & Timolol,1106000AM,216
2015-12-01,Tiotropium Brom/Olodaterol,0301040X0,1230
2015-12-01,Triamcinolone Hexacetonide,1001022Y0,441
2015-12-01,Umeclidinium Brom,0301020T0,16832
2015-12-01,Umeclidinium Brom/Vilanterol,0301040W0,16586
2015-12-01,Vortioxetine,0403040AB,216
2016-01-01,Aclidinium Brom/Formoterol,0301040V0,5748
2016-01-01,Alogliptin,0601023AK,94356
2016-01-01,Aripiprazole,0402020AD,748
2016-01-01,Avanafil,0704050AC,3954
2016-01-01,Brimonidine Tart (Rosacea),1306030A0,1602
2016-01-01,Brinzolamide/Brimonidine,1106000AL,11358
2016-01-01,Canagliflozin,0601023AM,74800
2016-01-01,Canagliflozin/Metformin,0601023AP,1484
2016-01-01,Ciclosporin (Eye Anti Inflam),1104020AE,585
2016-01-01,Ciprofloxain/Dexameth,1201010AE,556
2016-01-01,Clindamycin/Tretinoin,1306010AB,2646
2016-01-01,Dapagliflozin/Metformin,0601023AL,3448
2016-01-01,Dulaglutide,0601023AQ,4764
2016-01-01,Edoxaban,0208020AA,576
2016-01-01,Empagliflozin,0601023AN,26064
2016-01-01,Empagliflozin/Metformin,0601023AR,920
2016-01-01,Fluticasone Furoate (Inh),0302000V0,137535
2016-01-01,Indacaterol/Glycopyrronium,0301040Y0,3236
2016-01-01,Ins Degludec/Liraglutide,0601023AU,796
2016-01-01,Ivermectin,1306030B0,900
