pct,month,BNFCode,BNFName,TotalItems,TotalCost
08F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,39,1027.4499999999998
01K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,95,2768.0299999999993
99G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,14,296.84000000000003
09L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,45,1329.6500000000003
08D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,7,180.45
03D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,5,158.16
07G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,31,791.5499999999998
04J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1101.82
07N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,54,1587.4599999999998
03R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1317.33
07R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,8,242.13
02T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,29,806.9599999999999
07W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,16,408.64
09X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,53,1605.7999999999997
01X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,20,493.00000000000006
06P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,25,668.24
00C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,6,148.65
03W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,65,2029.29
08K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,75,1968.8199999999997
09C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,430.11
06Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,24,816.5999999999999
04K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,16,440.39
06L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,25,859.3399999999999
14Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,42,1307.1199999999997
08M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,11,304.12
05T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,61,1724.2499999999998
00X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,11,331.11
07T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,6,188.44
08E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,1054.7599999999998
07Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,21,454.09999999999997
01Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,25,724.9200000000001
10R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,11,299.41
06T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,862.1199999999999
15F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,68,2261.8299999999995
01D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,29,988.8599999999999
99D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,32,742.33
02Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,563.56
02R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,32,1333.8300000000002
07Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,17,568.74
99E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,64,2253.33
06V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,113,3005.08
05Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,48,1540.09
02W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,4,116.87
12D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,23,825.8600000000001
99M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,836.73
02E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,26,742.41
03L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,479.81
08Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,22,662.5699999999999
07J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,65,1851.3100000000002
09Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,765.59
08T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,406.64
09D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,32,995.7999999999998
10J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1062.97
00R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,11,336.37
99K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,72,1846.3799999999997
00P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,50,1678.64
00K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,410.50000000000006
07H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,21,550.21
00N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,490.57
02G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,7,214.56
99P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,102,3098.230000000001
15A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,129,3791.05
09G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,95,3223.82
03X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,7,242.1
06A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,45,1325.26
01R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,16,434.45
01C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,17,522.7700000000001
03E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,870.7099999999999
09H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,578.0899999999999
03H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,21,658.7600000000001
06Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,86,2335.22
04H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,933.0500000000001
08J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,20,526.1
15D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,23,633.9799999999998
09W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,26,822.0899999999999
03N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,63,2153.33
08C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,8,197.76
10Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,41,1265.4099999999999
06N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,117,3407.92
03V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,10,278.03000000000003
06W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,61,1830.6699999999994
01T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,438.66999999999996
08Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,13,367.89000000000004
00Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,17,559.8
10D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,5,89.11
02Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,65,1992.1699999999996
08H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,19,580.63
10E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,9,263.78000000000003
08R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,9,254.1
01J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,10,277.53
08N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,26,581.1999999999999
00D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,6,261.84999999999997
05W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,44,1384.69
00M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,36,1068.68
11J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,50,1578.8799999999997
07M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,59,1695.1599999999994
00Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,546.15
01F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,13,375.69000000000005
04E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,25,749.29
14L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,46,1318.8099999999997
04L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,9,274.33
11X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,36,1099.54
01H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,1018.76
05V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1014.06
07V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,959.49
05J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,22,633.56
04G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,48,1454.9299999999996
04C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,16,529.64
05G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,69,1956.9199999999998
02N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,417.43
00L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,519.16
11A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,131,3977.8
05R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,17,412.33
06M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,23,756.0899999999999
08L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,37,1262.03
10X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,36,1179.53
99F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,20,606.8699999999999
11N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,123,3847.9900000000007
08P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,21,519.68
00V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,19,548.4200000000001
05X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,461.02
07X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,51,1331.2
05Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,987.2700000000001
07K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,31,1082.1599999999999
15C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,145,4708.539999999999
01A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,55,1405.04
08A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,19,540.52
03T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,57,1668.03
01E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,47,1427.9299999999998
09E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,24,656.51
06H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,48,1343.2099999999996
09N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,677.48
09J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,26,676.5699999999999
02X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,1029.1
03J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,315.0199999999999
01V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,29,1132.6399999999999
07L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,13,395.44999999999993
99Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,40,1341.76
01W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,7,311.1
03M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,3,103.94
05L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,51,1500.5599999999997
06K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,107,3115.9799999999996
08G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,6,152.22
09F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,40,1251.03
12F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,48,1670.2199999999998
04D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,42,1219.0699999999997
99A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,68,2003.7999999999997
04F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,485.94000000000005
02P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,49,1547.56
03K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,582.97
09A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,30,957.7099999999999
13T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,72,2051.06
04Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,8,275.71
05C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,28,781.64
04Y,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1107.75
05H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,19,568.16
03A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,44,1348.5900000000001
01G,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,10,285.09000000000003
02H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,30,907.72
05G,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,138,3656.5699999999993
08G,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,483.78
07V,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,95,2415.8500000000004
09N,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,68,1882.29
07N,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,112,3037.8300000000004
99G,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,718.95
08F,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,66,1678.3
09D,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,58,1902.2899999999997
10R,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,9,207.54000000000005
99D,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,890.6599999999999
15E,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,288,7805.360000000004
09X,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,100,2481.27
05Y,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,58,1720.3099999999997
07H,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,51,1244.8899999999999
06H,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,197,5341.51
05F,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,89,2092.7200000000003
04M,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,2,59.28
06W,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,107,2888.01
05C,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,57,1613.2899999999997
09E,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,45,1184.83
03E,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,71,2193.0600000000004
13T,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,130,3809.0300000000007
05J,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,29,796.02
99A,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,144,3748.6600000000008
06V,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,137,3764.87
08K,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,123,3020.8
5QM,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,2,39.54
5M1,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,13,414.93
01R,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,45,1458.57
05T,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,81,2064.95
11J,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,114,3150.32
07J,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,88,2550.9599999999996
AC2,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,2,39.54
03M,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,141,3513.8599999999997
5M2,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,6,132.38
02Y,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,123,2881.46
11X,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,79,2117.56
15D,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,108,2838.3300000000004
10D,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,10,345.73999999999995
00L,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,22,597.5699999999999
01E,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,62,1749.2399999999998
08W,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,57,1422.1999999999998
03A,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,78,2155.8999999999996
06A,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,74,2054.01
04H,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,57,1523.99
01A,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,131,3385.74
14L,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,101,2834.5400000000004
06Y,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,44,1340.0900000000001
10K,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,64,1747.7299999999998
00Y,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,887.92
08P,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,29,789.67
08Q,2012-03-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,25,802.1999999999998
