bnf_code,presentation,form_route,chemical,match_bnf_code,match_presentation
0302000C0AABGBG,Beclomet Diprop_Inha B/A 50mcg(200 D)CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABIBI,Beclomet Diprop_Pdr For Inh 50mcg(200 D)
0302000C0AABHBH,Beclomet Diprop_Inha B/A100mcg(200 D)CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABJBJ,Beclomet Diprop_Pdr For Inh 100mcg(200 D
0302000C0AABXBX,Beclomet Diprop/Formoterol_Inh100/6(120D,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABYBY,Beclomet/Formoterol_Inh 100/6 (120D) Dry
0302000C0AABZBZ,Beclomet/Formoterol_Inh 200/6 (120D) CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AACACA,Beclomet/Formoterol_Inh 200/6 (120D) Dry
0302000K0AAAZAZ,Budesonide_Inha 100mcg (120 D) CFF,pressurizedinhalation.inhalation,Budesonide,0302000K0AAAKAK,Budesonide_Pdr For Inh 100mcg (200 D)
0302000K0AABABA,Budesonide_Inha 200mcg (120 D) CFF,pressurizedinhalation.inhalation,Budesonide,0302000K0AAAVAV,Budesonide_Pdr For Inh 200mcg (100D)+Dev
0302000K0AAADAD,Budesonide_Inha 200mcg (200 D),pressurizedinhalation.inhalation,Budesonide,0302000K0AAAVAV,Budesonide_Pdr For Inh 200mcg (100D)+Dev
0302000K0AAATAT,Budesonide_Inha 200mcg (200 D) + Dev,pressurizedinhalation.inhalation,Budesonide,0302000K0AAAVAV,Budesonide_Pdr For Inh 200mcg (100D)+Dev
0302000K0AAAAAA,Budesonide_Inha 50mcg (200 D),pressurizedinhalation.inhalation,Budesonide,0302000K0AAAKAK,Budesonide_Pdr For Inh 100mcg (200 D)
0302000K0AABBBB,Budesonide/Formoterol_Inha200/6(120D)CFF,pressurizedinhalation.inhalation,Budesonide,0302000K0AAAMAM,Budesonide/Formoterol_InhaB/A 200/6(120D
0302000U0AAABAB,Ciclesonide_Inh 160mcg (120 D) CFF,pressurizedinhalation.inhalation,Ciclesonide,0,0
0302000U0AAAAAA,Ciclesonide_Inh 80mcg (120 D) CFF,pressurizedinhalation.inhalation,Ciclesonide,0,0
0301040M0AAAAAA,Fenoterol/Ipratrop_Inha 100/40mcg (200D),pressurizedinhalation.inhalation,Fenoterol Hydrobromide,0,0
0302000N0AABABA,Fluticasone Prop_Inha 125mcg (120 D) CFF,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAATAT,Fluticasone Prop_Pdr For Inh 250mcg(60D)
0302000N0AABCBC,Fluticasone Prop_Inha 250mcg (120 D) CFF,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAATAT,Fluticasone Prop_Pdr For Inh 250mcg(60D)
0302000N0AAAGAG,Fluticasone Prop_Inha 25mcg (120 D),pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAARAR,Fluticasone Prop_Pdr For Inh 50mcg (60D)
0302000N0AABHBH,Fluticasone Prop_Inha 50mcg (120 D) CFF,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAARAR,Fluticasone Prop_Pdr For Inh 50mcg (60D)
0302000N0AABJBJ,Fluticasone/Formoterol_Inh 125/5mcg 120D,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0,0
0302000N0AABLBL,Fluticasone/Formoterol_Inh 50/5mcg 120 D,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0,0
0302000N0AABFBF,Fluticasone/Salmeterol_Inh 125/25mcg120D,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAAYAY,Fluticasone/Salmeterol_Inh 250/50mcg 60D
0302000N0AABGBG,Fluticasone/Salmeterol_Inh 250/25mcg120D,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAAZAZ,Fluticasone/Salmeterol_Inh 500/50mcg 60D
0302000N0AABEBE,Fluticasone/Salmeterol_Inh 50/25mcg 120D,pressurizedinhalation.inhalation,Fluticasone Propionate (Inh),0302000N0AAAXAX,Fluticasone/Salmeterol_Inh 100/50mcg 60D
0301011E0AAADAD,Formoterol Fumar_Inh 12mcg (100D) CFF,pressurizedinhalation.inhalation,Formoterol Fumarate,0301011E0AAACAC,Formoterol Fumar_Pdr For Inh 12mcg(60 D)
0301040M0AAACAC,Gppe Inha B/A_Duovent (200 D),pressurizedinhalation.inhalation,Fenoterol Hydrobromide,0,0
0301020I0AAAAAA,Ipratrop Brom_Inha 20mcg (200 D),pressurizedinhalation.inhalation,Ipratropium Bromide,0301020I0AAAHAH,Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev
0301020I0AAANAN,Ipratrop Brom_Inha 20mcg (200 D) CFF,pressurizedinhalation.inhalation,Ipratropium Bromide,0301020I0AAAHAH,Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev
0301020I0AAADAD,Ipratrop Brom_Inha 40mcg (200 D),pressurizedinhalation.inhalation,Ipratropium Bromide,0301020I0AAAHAH,Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev
0301020I0AAAGAG,Ipratrop Brom_Inha B/A 20mcg (200 D),pressurizedinhalation.inhalation,Ipratropium Bromide,0301020I0AAAHAH,Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev
0303010J0AAACAC,Nedocromil Sod_Inha 2mg (112 D) + Spac,pressurizedinhalation.inhalation,Nedocromil Sodium,0,0
0303010J0AAADAD,Nedocromil Sod_Inha 2mg (112 D) CFF,pressurizedinhalation.inhalation,Nedocromil Sodium,0,0
0301011Z0AAAAAA,Olodaterol_Inha 2.5mcg (60D) CFF + Dev,pressurizedinhalation.inhalation,Olodaterol,0,0
0301011R0AAAAAA,Salbutamol_Inha 100mcg (200 D),pressurizedinhalation.inhalation,Salbutamol,0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D)
0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF,pressurizedinhalation.inhalation,Salbutamol,0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D)
0301011R0AAADAD,Salbutamol_Inha B/A 100mcg (200 D),pressurizedinhalation.inhalation,Salbutamol,0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D)
0301011R0AABUBU,Salbutamol_Inha B/A 100mcg (200 D) CFF,pressurizedinhalation.inhalation,Salbutamol,0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D)
0301040R0AAAAAA,Salbutamol/Ipratropium_Inh 100/20 (200D),pressurizedinhalation.inhalation,Salbutamol,0,0
0301011U0AAACAC,Salmeterol_Inha 25mcg (120 D),pressurizedinhalation.inhalation,Salmeterol,0301011U0AAAEAE,Salmeterol_Pdr For Inh 50mcg (60 D)
0301011U0AAAHAH,Salmeterol_Inha 25mcg (120 D) CFF,pressurizedinhalation.inhalation,Salmeterol,0301011U0AAAEAE,Salmeterol_Pdr For Inh 50mcg (60 D)
0303010Q0AAABAB,Sod Cromoglicate_Inha 5mg (112 D),pressurizedinhalation.inhalation,Sodium Cromoglicate,0,0
0303010Q0AAANAN,Sod Cromoglicate_Inha 5mg (112D) CFF,pressurizedinhalation.inhalation,Sodium Cromoglicate,0,0
0303010Q0AAAHAH,Sod Cromoglicate_Inha B/A 5mg (112 D),pressurizedinhalation.inhalation,Sodium Cromoglicate,0,0
0301011V0AAAAAA,Terbut Sulf_Inha 250mcg (400 D),pressurizedinhalation.inhalation,Terbutaline Sulphate,0301011V0AAALAL,Terbut Sulf_B/A Inha 500mcg (100 D)
0301011V0AAAFAF,Terbut Sulf_Inha 250mcg (400 D) + Spac,pressurizedinhalation.inhalation,Terbutaline Sulphate,0301011V0AAALAL,Terbut Sulf_B/A Inha 500mcg (100 D)
0301020Q0AAACAC,Tiotropium_Inha 2.5mcg (60D) CFF + Dev,pressurizedinhalation.inhalation,Tiotropium,0301020Q0AAAAAA,Tiotropium_Pdr For Inh Cap 18mcg + Dev
0301040X0AAAAAA,Tiotropium/Olodaterol_Inha2.5/2.5mcg 60D,pressurizedinhalation.inhalation,Tiotropium Brom/Olodaterol,0,0

