month,year,bnfcode,bnfname,total_items,total_qty,adq,TotalCost
2017-01-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2717,150529,100352.65934092201,945707.8012899997
2010-09-01,2010,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1327,71728,9563.727427727998,8110.180000000001
2017-10-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2299,130366,86910.66032218799,818927.4238800015
2018-07-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,410,22498,2999.7314809980026,133741.13366999995
2012-08-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1213,69528,9270.394275528006,8749.559999999996
2013-12-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1018,57599,7679.861924349004,59645.340000000026
2015-11-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1769,91503,30500.99182573197,238408.88000000012
2017-07-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,527,29118,3882.3976026180003,172381.59393000015
2013-06-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3737,221371,147580.655893278,284468.19
2012-06-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1102,61865,8248.661573115,7700.38
2015-12-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,936,53012,7068.262302012001,130883.69999999998
2013-07-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4043,236162,157441.321840116,303664.6999999999
2012-03-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1230,67356,8980.794454356,7642.059999999999
2014-06-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,878,47991,6398.7960487410055,49594.840000000004
2017-10-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,470,27226,3630.1310917260007,161283.53918000002
2012-06-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2847,169964,56654.651483216,27742.749999999996
2013-11-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2041,112217,37405.656641948,134877.81000000006
2018-12-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1694,90233,60155.328941994114,640286.5604499994
2010-08-01,2010,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4171,243277,162184.65482718605,68408.94999999998
2019-01-01,2019,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1761,97488,64991.99525558404,697296.9764500008
2018-05-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2138,116779,77852.66098342207,735514.5313600006
2013-11-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,997,57964,7728.528560964008,60068.34999999995
2017-01-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,619,35994,4799.197036494,212893.75574000002
2018-04-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2079,114330,76219.99443594014,719559.5837800007
2016-01-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3055,179896,119930.65791172802,534859.0800000002
2012-11-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1155,65435,8724.661279185006,9200.230000000003
2017-07-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1238,63358,21119.327673351923,419863.22636
2012-05-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3965,240774,160515.98828233196,66482.40000000004
2018-02-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,909,43658,14552.662766551977,289844.48543000047
2018-09-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,376,19031,2537.4650997810027,113005.82928999994
2012-09-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2868,171931,57310.317974163954,31019.36999999999
2017-03-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,619,36501,4866.796994751001,216488.37530999997
2018-08-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,941,42378,14125.996214231975,281810.2660599998
2014-05-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3844,220575,147049.98926535004,284073.6999999999
2017-06-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,540,32416,4322.1306644159995,192151.8691200001
2018-05-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,425,23347,3112.9314110970026,138822.23998000007
2011-04-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1184,64295,8572.661373045006,7272.1399999999985
2015-01-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3529,199664,133109.32361635205,256802.22
2011-02-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3116,184914,61637.98348101598,30200.760000000017
2019-01-01,2019,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,830,39595,13198.329796179984,263211.13070000004
2017-12-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,482,28296,3772.797670296002,167770.78287
2016-05-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3090,171297,114197.99166354598,848629.9600000005
2014-09-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3727,211517,141011.32303950595,272600.45
2015-09-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1812,97245,32414.991312779977,200415.03999999998
2011-06-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4197,251875,167916.6544087501,63125.47
2011-07-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1153,63816,8508.794745816007,7221.550000000005
2016-04-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1769,91206,30401.99185226399,410305.08999999973
2017-02-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2636,147874,98582.65947013198,929892.3742099998
2011-07-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3991,235440,156959.98854192,58989.52999999995
2015-08-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3246,182776,121850.657771568,359932.6200000004
2015-05-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,815,50127,6683.595872877003,51870.060000000005
2017-06-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1286,61748,20582.661150511918,409608.7935799998
2013-10-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1047,59402,7920.261775902006,61703.03999999995
2014-11-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3477,196611,131073.99043159795,252696.1600000001
2016-11-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,2957,166889,111259.3252114019,1048202.3400000009
2011-09-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3178,189332,63110.64975300797,30919.069999999996
2014-02-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,887,48754,6500.529319254006,50340.62000000003
2017-09-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1130,56680,18893.328269919937,376085.4835799993
2011-04-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3144,192786,64261.98277778397,31450.029999999984
2012-03-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3192,187608,62535.98324035194,30692.520000000008
2017-02-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,561,33536,4471.463905536001,199026.49307999996
2013-03-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1072,67956,9060.794404955997,29554.519999999993
2018-03-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2129,119431,79620.66085435804,752278.567130001
2011-10-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3071,181214,60404.65047821592,29579.479999999996
2013-10-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3987,228729,152485.98886852193,294489.0099999999
2013-08-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1048,62180,8290.661547180003,64417.83000000002
2011-08-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4007,237603,158401.98843665404,59543.439999999995
2015-06-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,854,50735,6764.662489485001,52552.91
2012-12-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3722,218091,145393.989386238,60237.82000000003
2015-10-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1770,94103,31367.658260131953,228266.5300000001
2017-02-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1278,63013,21004.32770417197,418208.5222700003
2017-05-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1327,67372,22457.327314767917,447238.9913499999
2016-06-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1661,85329,28442.99237727599,415826.9300000001
2011-02-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1207,64279,8570.528041029005,7278.54
2018-11-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,389,18981,2530.798437231002,112654.30558999999
2010-09-01,2010,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4399,260315,173543.32066467003,85600.41000000002
2014-07-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2033,111291,37096.99005800396,133639.81999999998
2017-10-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1156,57168,19055.994892991952,379032.0010699994
2011-01-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4042,234754,156502.655241972,58779.09999999997
2017-07-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2439,139109,92739.32656336192,873495.19043
2018-07-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2047,110604,73735.99461727204,696734.3378100012
2014-05-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1999,111011,37003.65674968396,133268.17999999996
2014-03-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1935,106849,35616.32378815596,128346.32999999993
2011-08-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1252,68156,9087.461055155996,7713.179999999999
2018-09-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1769,94513,63008.662067034136,595112.1769200002
2010-10-01,2010,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4054,237316,158210.65511728803,69131.43999999994
2012-10-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1187,67665,9021.994428915004,9512.91
2017-11-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2354,130701,87133.99363921821,820259.596589999
2012-09-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3613,214345,142896.65623521004,59109.62
2014-08-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,925,52303,6973.729027053004,54063.840000000055
2017-08-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1183,59318,19772.661367591936,393124.6047099999
2019-01-01,2019,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,377,19252,2566.931748252001,114323.05613999996
2011-06-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3272,197098,65699.31572591196,32179.86999999997
2015-01-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,873,49491,6598.7959252410055,51090.21000000007
2013-01-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1036,61609,8214.52826085901,26567.290000000008
2018-01-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,495,26615,3548.6644753650025,157833.30004000006
2010-09-01,2010,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3562,208291,69430.31472600398,33987.64000000001
2016-10-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,2973,164696,109797.32531812796,1035124.9499999995
2013-11-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3884,224110,149406.6557599801,288129.3800000002
2016-04-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3258,187154,124769.324225172,804289.94
2016-06-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3193,181703,121135.32449045402,900669.3100000002
2015-05-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1803,95280,31759.991488319956,114427.9
2013-12-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3976,231641,154427.32206013802,298031.28000000014
2016-06-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,769,44182,5890.929695682002,192975.27
2012-08-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3922,235898,157265.32185296403,65116.87
2011-03-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3442,203753,67917.64846473199,33278.130000000005
2011-04-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3954,232470,154979.98868645995,58212.08000000003
2012-03-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3955,241653,161101.98823955408,60684.85999999999
2015-12-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3584,203913,135941.99007623398,606157.0299999998
2014-01-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1080,61084,8144.528304084001,63096.58999999997
2012-04-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3691,222011,148007.32252879796,55643.21999999994
2013-02-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2109,115277,38425.656368587945,53442.4
2010-08-01,2010,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1265,69533,9271.060941783007,7861.380000000005
2015-04-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,870,50271,6702.795861021006,51994.37999999999
2017-04-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,505,30049,4006.5308592990013,178006.29047999997
2017-04-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1200,60504,20167.994594975975,401159.12870999996
2015-01-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1947,102905,34301.657473819956,123333.1999999999
2016-09-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1635,84967,28322.325742947996,563735.8499999997
2011-01-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1248,67961,9061.461071211006,7686.060000000004
2014-04-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3787,213757,142504.65626382604,275075.4
2013-01-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4005,237210,158139.98845578003,65658.97999999997
2013-05-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2232,122626,40875.32237874392,147331.42000000007
2016-09-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,709,41585,5544.663242835,247475.58
2017-09-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,505,29680,3957.33088968,175941.13305000012
2016-08-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1623,79911,26636.992861283983,530221.6900000001
2012-10-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3852,230790,153859.98876821995,63675.45000000001
2018-11-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1832,98647,65764.6618658461,688626.3393400018
2016-03-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,806,47288,6305.062773288001,190638.35000000003
2012-11-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2948,170880,56959.98473471995,30893.36000000002
2010-11-01,2010,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4259,250250,166833.32115449995,62665.51
2014-01-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2097,117257,39085.65619170796,140621.99000000002
2013-03-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2277,136542,45513.987802248,63829.14999999998
2012-02-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3066,181749,60582.98376375602,29730.91
2016-12-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1516,77167,25722.326439747943,511957.08000000025
2013-01-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2603,146459,48819.65358299596,67859.92000000004
2014-07-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,961,55729,7430.528744979014,57660.540000000045
2015-11-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,788,45414,6055.196260914009,108207.9199999999
2016-07-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3126,177937,118624.65800706601,883983.7000000001
2012-04-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1131,65332,8710.927954332008,7392.819999999998
2015-04-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1907,101693,33897.65758209196,122122.6199999999
2015-02-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1697,91325,30441.658508299963,109689.63
2014-04-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,939,53263,7101.728948013007,55028.400000000016
2015-05-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3381,193773,129181.990569714,249728.87
2017-06-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2665,149965,99976.65936836996,942520.2407299991
2016-11-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1571,79788,26595.992872271952,528907.0900000005
2016-08-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3121,173061,115373.99157769799,1087256.6100000006
2016-11-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,676,40262,5368.263351762,237209.77
2014-10-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3775,217163,144775.322764734,279751.7600000001
2011-11-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1261,70805,9440.660837055006,8015.060000000001
2012-04-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2926,171551,57183.65134144394,28017.089999999982
2015-02-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,834,47303,6307.062772053002,48933.80999999998
2011-09-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1272,70079,9343.860896829008,7932.6200000000035
2013-12-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2175,117084,39027.98954049594,140456.86000000004
2011-05-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1245,68630,9150.661016130003,7773.769999999995
2013-05-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4082,236226,157483.988503668,303759.81999999995
2018-10-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,902,40265,13421.663069659984,267497.2389900001
2011-06-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1307,69706,9294.127594206002,7889.469999999998
