month,bnf_name,bnf_code,quantity,actual_cost
2011-05-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,453,2251.380000000001
2011-05-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,526,4388.500000000001
2011-05-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,7,39.55
2011-05-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,200,1668.6099999999997
2011-05-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,42,255.39
2011-05-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,23,124.04
2011-05-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,43,220.35999999999999
2011-05-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,1297,6241.790000000004
2011-05-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,2,16.76
2011-05-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,1006,6028.26
2011-05-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,3441,20905.82
2011-06-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,2,16.74
2011-06-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,8,43.120000000000005
2011-06-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,143,687.8699999999997
2011-06-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,1,5.65
2011-06-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,667,5561.59
2011-06-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,893,4813.44
2011-06-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,21,127.64000000000001
2011-06-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,147,751.78
2011-06-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,8,66.96
2011-06-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,2095,12720.479999999996
2011-06-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,13,108.4
2011-06-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,1337,7798.639999999997
2011-06-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,1743,8655.33
2011-06-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,8638,47751.69
2011-07-01,Invivac_Vac 0.5ml Pfs                   ,1404000H0BKAAAF,1,6.07
2011-07-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,2,11.3
2011-07-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,828,5026.8200000000015
2011-07-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,2526,14733.06
2011-07-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,67,361.20999999999987
2011-07-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,337,2809.5300000000007
2011-07-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,2,16.74
2011-07-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,2,10.78
2011-07-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,49,297.59999999999997
2011-07-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,128,635.95
2011-07-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,4,20.450000000000003
2011-07-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,1,8.34
2011-07-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,1,8.37
2011-07-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,5081,29445.619999999984
2011-07-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,61,294.81999999999994
2011-08-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,1,8.37
2011-08-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,618,3490.44
2011-08-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,484,2608.75
2011-08-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,1815,10988.779999999999
2011-08-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,4877,29612.269999999997
2011-08-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,35,212.80999999999997
2011-08-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,546,2943.1499999999996
2011-08-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,678,3260.9300000000003
2011-08-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,4,33.48
2011-08-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,15,125.15
2011-08-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,992,5788.289999999999
2011-08-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,13,66.57
2011-08-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,179,889.2900000000001
2011-08-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,1,5.99
2011-09-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,8388,50236.42999999999
2011-09-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,14118,117725.02999999997
2011-09-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,3168,17893.379999999997
2011-09-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,225408,1315230.499999999
2011-09-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,16,133.89
2011-09-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,1399,7540.83
2011-09-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,284181,1672804.8399999996
2011-09-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,1185,9881.280000000002
2011-09-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,3046,16418.46
2011-09-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,37105,184276.21
2011-09-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,221294,1343753.9900000007
2011-09-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,5,41.81999999999999
2011-09-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,16845,102282.79000000002
2011-09-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,6046,30918.030000000006
2011-09-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,28251,135879.61000000004
2011-10-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,106237,572481.7600000001
2011-10-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,162,1355.8099999999984
2011-10-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,566489,3440392.7800000003
2011-10-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,7597,63506.72999999999
2011-10-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,62226,318135.5499999999
2011-10-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,28127,151568.45999999996
2011-10-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,94033,783896.3299999996
2011-10-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,8187,46229.03
2011-10-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,2348184,13944911.359999998
2011-10-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,35,292.89000000000004
2011-10-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,977075,5931955.580000002
2011-10-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,263474,1267238.2700000012
2011-10-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,1165888,6802137.540000002
2011-10-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,19746,118228.42000000003
2011-10-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,180376,895845.8400000002
2011-11-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,951896,5640935.629999994
2011-11-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,163,1364.279999999999
2011-11-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,266301,1617201.8799999992
2011-11-01,Invivac_Vac 0.5ml Pfs                   ,1404000H0BKAAAF,5,30.36
2011-11-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,82731,410881.52000000014
2011-11-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,30599,156534.1399999999
2011-11-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,93,778.5000000000001
2011-11-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,14974,80723.48999999999
2011-11-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,107468,516976.4500000001
2011-11-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,2210,18431.020000000008
2011-11-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,476078,2778237.9999999995
2011-11-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,3288,18573.66
2011-11-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,430728,2615974.329999997
2011-11-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,8499,50908.17000000001
2011-11-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,46624,251351.84000000008
2011-11-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,41492,346034.67999999993
2011-12-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,164947,964064.8799999995
2011-12-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,33,276.81999999999994
2011-12-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,4566,27391.93
2011-12-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,92611,563277.5800000002
2011-12-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,314412,1857700.5199999996
2011-12-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,240,2012.9300000000014
2011-12-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,1207,10081.8
2011-12-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,17506,89713.51000000008
2011-12-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,31393,156160.45999999996
2011-12-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,19759,106686.32999999994
2011-12-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,3103,17555.62
2011-12-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,143017,869869.0700000005
2011-12-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,4587,24766.19
2011-12-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,33394,160904.75999999998
2011-12-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,14336,119785.29000000001
2012-01-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,9200,49650.51000000001
2012-01-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,12662,60976.159999999974
2012-01-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,1029,5553.099999999999
2012-01-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,2059,12346.009999999998
2012-01-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,43818,266378.56
2012-01-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,63283,384714.80000000016
2012-01-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,16071,79903.71999999999
2012-01-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,1358,7679.139999999999
2012-01-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,43,359.88999999999993
2012-01-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,63303,369803.41000000003
2012-01-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,114103,675456.4000000001
2012-01-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,4574,38186.61999999998
2012-01-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,7250,37142.7
2012-01-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,363,3034.730000000002
2012-01-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,421,3514.8600000000006
2012-02-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,5155,25652.469999999994
2012-02-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,97,813.6299999999995
2012-02-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,1023,6138.2
2012-02-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,25507,149112.9000000001
2012-02-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,101,843.7400000000001
2012-02-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,18,150.98
2012-02-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,470,2659.65
2012-02-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,9491,45735.36999999997
2012-02-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,2408,13004.699999999997
2012-02-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,20132,122471.85000000011
2012-02-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,23534,143164.55000000005
2012-02-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,2535,21177.739999999987
2012-02-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,1819,9329.649999999987
2012-02-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,1419,7662.849999999999
2012-02-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,54595,321510.14999999985
2012-03-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,36,302.0
2012-03-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,4410,26829.840000000015
2012-03-01,Influenza_Vac Inact Paed 0.25ml Pfs     ,1404000H0AAAGAG,1,6.12
2012-03-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,77,435.81
2012-03-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,1274,6532.229999999992
2012-03-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,13435,81740.40000000001
2012-03-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,5060,24385.949999999975
2012-03-01,Preflucel_Vac Inact 0.5ml Pfs           ,1404000H0BSAAAF,8,66.4
2012-03-01,Influenza_Vac(Live Atten)NslSusp 0.2mlUd,1404000H0AAAJAJ,1,12.96
2012-03-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,9921,57983.839999999946
2012-03-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,166,996.13
2012-03-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,356,2974.650000000001
2012-03-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,30845,182371.48999999993
2012-03-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,3,25.17
2012-03-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,42,351.0
2012-03-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,1308,7064.549999999998
2012-03-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,383,2068.52
2012-03-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,1424,7088.919999999997
2012-04-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,21,118.64000000000001
2012-04-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,1399,6948.08
2012-04-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,2106,10773.610000000006
2012-04-01,Preflucel_Vac Inact 0.5ml Pfs           ,1404000H0BSAAAF,91,753.79
2012-04-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,7,58.58999999999999
2012-04-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,2705,16425.74999999999
2012-04-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,175,943.3999999999996
2012-04-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,135,1125.77
2012-04-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,4392,26668.41999999999
2012-04-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,8064,47051.92000000004
2012-04-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,116,625.2899999999998
2012-04-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,12,71.88
2012-04-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,1435,6902.230000000006
2012-04-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,10,83.39
2012-04-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,13279,74612.19000000005
2012-05-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,11,91.89
2012-05-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,486,2342.23
2012-05-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,57,292.65000000000015
2012-05-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,11,66.0
2012-05-01,Preflucel_Vac Inact 0.5ml Pfs           ,1404000H0BSAAAF,1,8.33
2012-05-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,2,16.78
2012-05-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,6345,37088.10999999996
2012-05-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,412,2050.77
2012-05-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,10654,64812.280000000035
2012-05-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,6,32.4
2012-05-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,9479,56986.110000000066
2012-05-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,17,142.59000000000003
2012-05-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,10,56.59
2012-05-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,25,135.12000000000006
2012-05-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,161,979.3900000000004
2012-05-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,442,3692.6400000000003
2012-06-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,6,35.93
2012-06-01,Preflucel_Vac Inact 0.5ml Pfs           ,1404000H0BSAAAF,1,8.28
2012-06-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,9,75.08
2012-06-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,9,48.510000000000005
2012-06-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,1,8.37
2012-06-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,2,16.71
2012-06-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,57,291.66
2012-06-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,3913,23683.58999999997
2012-06-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,4922,29878.85
2012-06-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,3092,18770.149999999987
2012-06-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,9211,45725.37000000001
2012-06-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,1804,10523.529999999999
2012-06-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,12,64.67
2012-06-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,575,2764.9100000000003
2012-06-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,5,28.240000000000002
2012-07-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,19,91.63999999999999
2012-07-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,5,62.77
2012-07-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,1,8.35
2012-07-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,61,365.86
2012-07-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,1,5.66
2012-07-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,7,37.79
2012-07-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,1344,7852.870000000002
2012-07-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,1495,9090.77
2012-07-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,315,1566.9800000000002
2012-07-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,1,8.38
2012-07-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,44,225.75000000000003
2012-07-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,48,291.86
2012-07-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,809,4513.509999999998
2012-07-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,1604,8658.509999999998
2012-07-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,3,25.14
2012-08-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,2,16.68
2012-08-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,20,96.27000000000001
2012-08-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,4,21.56
2012-08-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,62,376.74999999999994
2012-08-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,3,25.02
2012-08-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,26,157.9
2012-08-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,2,11.98
2012-08-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,847,4484.279999999999
2012-08-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,267,1439.5200000000002
2012-08-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,135,670.8900000000001
2012-08-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,2,16.74
2012-08-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,922,5381.509999999999
2012-08-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,697,3565.2300000000005
2012-09-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,2848,17296.990000000005
2012-09-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,114119,693088.4499999997
2012-09-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,742,6188.64
2012-09-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,2356,12734.44
2012-09-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,29920,148601.89999999997
